study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m200(aq),M_ffde0ec1126b,0.0,101325.0,0.0048097499966388,1.0,0.02,0.042,0.0,2.1,-200.0,TYR_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m160(aq),M_b54bf49d38ea,0.0,101325.0,0.0051281670021126,1.0,0.02,0.042,0.0,2.1,-160.0,TYR_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m120(aq),M_eb84077f6ff9,0.0,101325.0,0.0047680419957032,1.0,0.02,0.042,0.0,2.1,-120.0,TYR_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m080(aq),M_40f58ec6fd93,0.0,101325.0,0.0046207919949665,1.0,0.02,0.042,0.0,2.1,-80.0,TYR_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m040(aq),M_4ca4051e722b,0.0,101325.0,0.0050229159969603,1.0,0.02,0.042,0.0,2.1,-40.0,TYR_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_000(aq),M_6f391d545b11,0.0,101325.0,0.004667083005188,1.0,0.02,0.042,0.0,2.1,0.0,TYR_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p040(aq),M_60ff7e4d5d83,0.0,101325.0,0.0050535830087028,1.0,0.02,0.042,0.0,2.1,40.0,TYR_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p080(aq),M_467b9fc47391,0.0,101325.0,0.004596250000759,1.0,0.02,0.042,0.0,2.1,80.0,TYR_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p120(aq),M_4f2cb03e3701,0.0,101325.0,0.0046893749968148,1.0,0.02,0.042,0.0,2.1,120.0,TYR_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p160(aq),M_950418fb8037,0.0,101325.0,0.0048610420053591,1.0,0.02,0.042,0.0,2.1,160.0,TYR_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p200(aq),M_e773909868c2,0.0,101325.0,0.0046027089993003,1.0,0.02,0.042,0.0,2.1,200.0,TYR_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_3f3272a8ab8d,0.0,101325.0,0.0053631250048056,1.0,0.02,0.042,0.0,2.1,0.0,TYR_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
