study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
valine,deltaG_sweep,Valine(aq),Valine__dG_m200(aq),M_d1990a765e43,0.0,101325.0,0.0060848329885629,1.0,0.02,0.042,0.0,2.1,-200.0,VAL_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m160(aq),M_a25e054332f8,0.0,101325.0,0.0050656660023378,1.0,0.02,0.042,0.0,2.1,-160.0,VAL_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m120(aq),M_ded54dabe318,0.0,101325.0,0.0057110830093733,1.0,0.02,0.042,0.0,2.1,-120.0,VAL_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m080(aq),M_b4debc016989,0.0,101325.0,0.0051464999996824,1.0,0.02,0.042,0.0,2.1,-80.0,VAL_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m040(aq),M_4139a0d3f03b,0.0,101325.0,0.0055216670007212,1.0,0.02,0.042,0.0,2.1,-40.0,VAL_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_000(aq),M_d961f92245ca,0.0,101325.0,0.0049507920048199,1.0,0.02,0.042,0.0,2.1,0.0,VAL_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p040(aq),M_e4bf2ab9c717,0.0,101325.0,0.0050925000105053,1.0,0.02,0.042,0.0,2.1,40.0,VAL_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p080(aq),M_ac397ab244df,0.0,101325.0,0.0060424169932957,1.0,0.02,0.042,0.0,2.1,80.0,VAL_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p120(aq),M_c745475c8df3,0.0,101325.0,0.0058437080006115,1.0,0.02,0.042,0.0,2.1,120.0,VAL_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p160(aq),M_502a982a80c7,0.0,101325.0,0.0109157080005388,1.0,0.02,0.042,0.0,2.1,160.0,VAL_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p200(aq),M_0b2d77fa3659,0.0,101325.0,0.0067921670124633,1.0,0.02,0.042,0.0,2.1,200.0,VAL_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,101325.0,0.0075855420000152,1.0,0.02,0.042,0.0,2.1,0.0,VAL_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
