case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
VAL_DG_000001,valine,deltaG_sweep,Valine(aq),Valine__dG_m200(aq),M_d1990a765e43,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0060848329885629
VAL_DG_000002,valine,deltaG_sweep,Valine(aq),Valine__dG_m160(aq),M_a25e054332f8,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0050656660023378
VAL_DG_000003,valine,deltaG_sweep,Valine(aq),Valine__dG_m120(aq),M_ded54dabe318,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0057110830093733
VAL_DG_000004,valine,deltaG_sweep,Valine(aq),Valine__dG_m080(aq),M_b4debc016989,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0051464999996824
VAL_DG_000005,valine,deltaG_sweep,Valine(aq),Valine__dG_m040(aq),M_4139a0d3f03b,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0055216670007212
VAL_DG_000006,valine,deltaG_sweep,Valine(aq),Valine__dG_000(aq),M_d961f92245ca,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0049507920048199
VAL_DG_000007,valine,deltaG_sweep,Valine(aq),Valine__dG_p040(aq),M_e4bf2ab9c717,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0050925000105053
VAL_DG_000008,valine,deltaG_sweep,Valine(aq),Valine__dG_p080(aq),M_ac397ab244df,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0060424169932957
VAL_DG_000009,valine,deltaG_sweep,Valine(aq),Valine__dG_p120(aq),M_c745475c8df3,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0058437080006115
VAL_DG_000010,valine,deltaG_sweep,Valine(aq),Valine__dG_p160(aq),M_502a982a80c7,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0109157080005388
VAL_DG_000011,valine,deltaG_sweep,Valine(aq),Valine__dG_p200(aq),M_0b2d77fa3659,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0067921670124633
VAL_INV_000001,valine,inventory_landscape,Valine(aq),Valine(aq),M_3f7c7c74c57c,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0075855420000152
