thermo_variant_id,base_species,variant_species,deltaG_offset_kJ_mol
dG_m200,Valine(aq),Valine__dG_m200(aq),-200.0
dG_m160,Valine(aq),Valine__dG_m160(aq),-160.0
dG_m120,Valine(aq),Valine__dG_m120(aq),-120.0
dG_m080,Valine(aq),Valine__dG_m080(aq),-80.0
dG_m040,Valine(aq),Valine__dG_m040(aq),-40.0
dG_000,Valine(aq),Valine__dG_000(aq),0.0
dG_p040,Valine(aq),Valine__dG_p040(aq),40.0
dG_p080,Valine(aq),Valine__dG_p080(aq),80.0
dG_p120,Valine(aq),Valine__dG_p120(aq),120.0
dG_p160,Valine(aq),Valine__dG_p160(aq),160.0
dG_p200,Valine(aq),Valine__dG_p200(aq),200.0
