scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.970873786407767,0.970873786407767,1.0,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.015687334001995623,alanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.019417475728155338,0.01941747572815534,0.02,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.015687334001995623,alanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.015687334001995623,alanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.009708737864077669,0.00970873786407767,0.01,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.015687334001995623,alanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ALA_INV_000001,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.0,0.0,ok,,ALA_INV_000001,M_0d74ef0dfe9d,Alanine(aq),0.015687334001995623,alanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9669621273166801,0.970636215334421,1.0,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0016245000006165355,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.019339242546333603,0.015497553017944537,0.02,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0016245000006165355,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040290088638195,5.097629927090155e-47,0.004166666666666667,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0016245000006165355,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.009669621273166801,0.009787928221859707,0.01,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0016245000006165355,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ALA_INV_000002,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.004078303425774877,0.0,ok,,ALA_INV_000002,M_0d74ef0dfe9d,Alanine(aq),0.0016245000006165355,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ALA_INV_000003,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9630818619582665,0.9703947368421054,1.0,ok,,ALA_INV_000003,M_0d74ef0dfe9d,Alanine(aq),0.0010594159975880757,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ALA_INV_000003,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.019261637239165328,0.011513157894736845,0.02,ok,,ALA_INV_000003,M_0d74ef0dfe9d,Alanine(aq),0.0010594159975880757,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ALA_INV_000003,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.008025682182985553,1.384331121203969e-46,0.008333333333333333,ok,,ALA_INV_000003,M_0d74ef0dfe9d,Alanine(aq),0.0010594159975880757,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ALA_INV_000003,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.009630818619582664,0.009868421052631578,0.01,ok,,ALA_INV_000003,M_0d74ef0dfe9d,Alanine(aq),0.0010594159975880757,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ALA_INV_000003,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.008223684210526314,0.0,ok,,ALA_INV_000003,M_0d74ef0dfe9d,Alanine(aq),0.0010594159975880757,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ALA_INV_000004,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9592326139088729,0.9701492537313433,1.0,ok,,ALA_INV_000004,M_0d74ef0dfe9d,Alanine(aq),0.0009941669995896518,alanine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
ALA_INV_000004,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.01918465227817746,0.007462686567164185,0.02,ok,,ALA_INV_000004,M_0d74ef0dfe9d,Alanine(aq),0.0009941669995896518,alanine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
ALA_INV_000004,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.011990407673860911,3.231740728409599e-46,0.0125,ok,,ALA_INV_000004,M_0d74ef0dfe9d,Alanine(aq),0.0009941669995896518,alanine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
ALA_INV_000004,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.00959232613908873,0.009950248756218909,0.01,ok,,ALA_INV_000004,M_0d74ef0dfe9d,Alanine(aq),0.0009941669995896518,alanine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
ALA_INV_000004,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.012437810945273636,0.0,ok,,ALA_INV_000004,M_0d74ef0dfe9d,Alanine(aq),0.0009941669995896518,alanine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
ALA_INV_000005,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9554140127388535,0.9698996655518395,1.0,ok,,ALA_INV_000005,M_0d74ef0dfe9d,Alanine(aq),0.0010582500108284876,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0
ALA_INV_000005,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.019108280254777073,0.003344481605351175,0.02,ok,,ALA_INV_000005,M_0d74ef0dfe9d,Alanine(aq),0.0010582500108284876,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0
ALA_INV_000005,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.01592356687898089,9.70021273057073e-46,0.016666666666666666,ok,,ALA_INV_000005,M_0d74ef0dfe9d,Alanine(aq),0.0010582500108284876,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0
ALA_INV_000005,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,NH3(aq),0.009554140127388536,0.010033444816053514,0.01,ok,,ALA_INV_000005,M_0d74ef0dfe9d,Alanine(aq),0.0010582500108284876,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0
ALA_INV_000005,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.01672240802675585,0.0,ok,,ALA_INV_000005,M_0d74ef0dfe9d,Alanine(aq),0.0010582500108284876,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0
ALA_INV_000006,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9516256938937352,0.9688814129520606,1.0,ok,,ALA_INV_000006,M_0d74ef0dfe9d,Alanine(aq),0.000984459009487182,alanine,inventory_landscape,1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0
ALA_INV_000006,single_product_sensitivity,M_0d74ef0dfe9d.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.019032513877874704,4.665894048629266e-45,0.02,ok,,ALA_INV_000006,M_0d74ef0dfe9d,Alanine(aq),0.000984459009487182,alanine,inventory_landscape,1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0
