case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ALA_DG_000001,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m200(aq),M_6bf95729a162,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360199,True,significant,ok,0.0061942500033183
ALA_DG_000002,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m160(aq),M_855960a11da9,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360199,True,significant,ok,0.0061183750076452
ALA_DG_000003,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m120(aq),M_b603a8075f34,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360199,True,significant,ok,0.0056896250025602
ALA_DG_000004,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m080(aq),M_2d632c717188,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999952,-1.6989700043360199,True,significant,ok,0.0061736670031677
ALA_DG_000005,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m040(aq),M_0b73c3af89f2,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360199,True,significant,ok,0.0057236670108977
ALA_DG_000006,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_000(aq),M_46e71e9079be,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999952,-1.6989700043360199,True,significant,ok,0.0058748750016093
ALA_DG_000007,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p040(aq),M_4f3a2b56bf57,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999952,-1.6989700043360199,True,significant,ok,0.0058394580119056
ALA_DG_000008,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p080(aq),M_59763465d33c,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999952,-1.6989700043360199,True,significant,ok,0.0060806249966844
ALA_DG_000009,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p120(aq),M_91ca4102d727,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0190114068441064,-1.7209857441537404,0.019999999999999955,-1.6989700043360199,True,significant,ok,0.0060492500051623
ALA_DG_000010,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p160(aq),M_fcb427536b88,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0190114068441056,-1.7209857441537588,0.01999999999999915,-1.6989700043360372,True,significant,ok,0.0057139580021612
ALA_DG_000011,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p200(aq),M_b4f51d1ddeaa,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0190113697909197,-1.7209865905934771,0.01999996312327851,-1.6989708051045898,True,significant,ok,0.0056912500003818
ALA_INV_000001,alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_0d74ef0dfe9d,0.01,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0156873340019956
ALA_INV_000002,alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_0d74ef0dfe9d,0.01,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0040783034257748,-2.3895204658463856,0.0041666666666665955,-2.3802112417116135,True,significant,ok,0.0016245000006165
ALA_INV_000003,alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_0d74ef0dfe9d,0.01,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0082236842105263,-2.084933574936717,0.00833333333333332,-2.0791812460476256,True,significant,ok,0.001059415997588
ALA_INV_000004,alanine,inventory_landscape,Alanine(aq),Alanine(aq),M_0d74ef0dfe9d,0.01,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0124378109452736,-1.9052560487484524,0.012499999999999994,-1.9030899869919438,True,significant,ok,0.0009941669995896
