case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
ALA_INV_000001,ALA_INV_000001,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,91d68a0eff77ba45,ok,0.015687334001995623,
ALA_INV_000002,ALA_INV_000002,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,0b0e7cec7fb92813,ok,0.0016245000006165355,
ALA_INV_000003,ALA_INV_000003,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,0ac3e66a2679fd35,ok,0.0010594159975880757,
ALA_INV_000004,ALA_INV_000004,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,b51a10abc2f2451a,ok,0.0009941669995896518,
ALA_INV_000005,ALA_INV_000005,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,ea262f8283d1e780,ok,0.0010582500108284876,
ALA_INV_000006,ALA_INV_000006,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,df2e6af0d03e0e1b,ok,0.000984459009487182,
ALA_INV_000007,ALA_INV_000007,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,fcffd1f131d33fcc,ok,0.001009208004688844,
ALA_INV_000008,ALA_INV_000008,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,2517218b4be82031,ok,0.0014859589864499867,
ALA_INV_000009,ALA_INV_000009,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,9ccc25a999177743,ok,0.0011683339980663732,
ALA_INV_000010,ALA_INV_000010,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,8d3fffe20b277d62,ok,0.0010654579964466393,
ALA_INV_000011,ALA_INV_000011,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,40a12280840b861b,ok,0.0010565419943304732,
ALA_INV_000012,ALA_INV_000012,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,df9788a3b5fc0eab,ok,0.0010479579941602424,
ALA_INV_000013,ALA_INV_000013,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,4ee6b398ef77f2c7,ok,0.0013971669977763668,
ALA_INV_000014,ALA_INV_000014,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,4517d4a66ac438c4,ok,0.0010721670114435256,
ALA_INV_000015,ALA_INV_000015,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,4c352c3b4f5e73a5,ok,0.0010251249914290383,
ALA_INV_000016,ALA_INV_000016,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,9b647314aa828bc4,ok,0.0011641669989330694,
ALA_INV_000017,ALA_INV_000017,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,b7e8aeb6802612c5,ok,0.0010356249986216426,
ALA_INV_000018,ALA_INV_000018,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,c78584be1c578148,ok,0.0010132909956155345,
ALA_INV_000019,ALA_INV_000019,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,94628ac5da1e6b48,ok,0.001142209002864547,
ALA_INV_000020,ALA_INV_000020,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,fd244c1f4a9e9a02,ok,0.0010086249967571348,
ALA_INV_000021,ALA_INV_000021,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,d6b6b8d87a0e41dc,ok,0.0009945410129148513,
ALA_INV_000022,ALA_INV_000022,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,4264d72baef4c07d,ok,0.0010886669915635139,
ALA_INV_000023,ALA_INV_000023,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,3570bf5e3a5354cf,ok,0.0010444590006954968,
ALA_INV_000024,ALA_INV_000024,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,76dde660759eb9d2,ok,0.0011719579924829304,
ALA_INV_000025,ALA_INV_000025,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,e867cbb6ba280ee3,ok,0.0010283750016242266,
ALA_INV_000026,ALA_INV_000026,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,1b1cff30f5e154f8,ok,0.0009949579980457202,
ALA_INV_000027,ALA_INV_000027,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,430317b8b91c03dc,ok,0.0013159999944036826,
ALA_INV_000028,ALA_INV_000028,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,5843dea9e26bc0f3,ok,0.0010084590030601248,
ALA_INV_000029,ALA_INV_000029,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,364daec654a82313,ok,0.000996457994915545,
ALA_INV_000030,ALA_INV_000030,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,b4186914d64c8e15,ok,0.0010514169989619404,
ALA_INV_000031,ALA_INV_000031,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,d7eb8a52cd7559cb,ok,0.0010230409970972687,
ALA_INV_000032,ALA_INV_000032,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,3fbccb96e1f6274d,ok,0.0010360419983044267,
ALA_INV_000033,ALA_INV_000033,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,e02c97792deefacd,ok,0.0014970000047469512,
ALA_INV_000034,ALA_INV_000034,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,22dfd92f0b2f1fb2,ok,0.000979875010671094,
ALA_INV_000035,ALA_INV_000035,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,b4dabf1e3fcfc143,ok,0.0012413329968694597,
ALA_INV_000036,ALA_INV_000036,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,10458c57149c12f4,ok,0.0010112079908140004,
ALA_INV_000037,ALA_INV_000037,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,a9bd610b1e0d52a7,ok,0.0009980839968193322,
ALA_INV_000038,ALA_INV_000038,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,fb09d49607890bcd,ok,0.00105441699270159,
ALA_INV_000039,ALA_INV_000039,M_0d74ef0dfe9d,models/M_0d74ef0dfe9d.yaml,Alanine(aq),Alanine(aq),0.0,101325.0,6aa27ed072e3ab25,ok,0.0009738750086398795,
