scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
ARG_DG_000001,single_product_sensitivity,M_3bdcd1f3a0fe.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9274952919020716,1.0,ok,,ARG_DG_000001,M_3bdcd1f3a0fe,Arginine__dG_m200(aq),0.006096625002101,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0620000000000034,0.9850000000000032,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000001,single_product_sensitivity,M_3bdcd1f3a0fe.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.9070776073564486e-44,0.02,ok,,ARG_DG_000001,M_3bdcd1f3a0fe,Arginine__dG_m200(aq),0.006096625002101,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0620000000000034,2.0253164190125548e-44,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000001,single_product_sensitivity,M_3bdcd1f3a0fe.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0277777777777777,0.042,ok,,ARG_DG_000001,M_3bdcd1f3a0fe,Arginine__dG_m200(aq),0.006096625002101,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0620000000000034,0.029500000000000012,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000001,single_product_sensitivity,M_3bdcd1f3a0fe.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0376647834274952,0.05,ok,,ARG_DG_000001,M_3bdcd1f3a0fe,Arginine__dG_m200(aq),0.006096625002101,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0620000000000034,0.04000000000000003,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000001,single_product_sensitivity,M_3bdcd1f3a0fe.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine__dG_m200(aq),0.0,0.0070621468926553,0.0,ok,,ARG_DG_000001,M_3bdcd1f3a0fe,Arginine__dG_m200(aq),0.006096625002101,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0620000000000034,0.007499999999999953,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000002,single_product_sensitivity,M_bb8777389364.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9274952919020716,1.0,ok,,ARG_DG_000002,M_bb8777389364,Arginine__dG_m160(aq),0.0055997919989749,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0620000000000034,0.9850000000000032,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000002,single_product_sensitivity,M_bb8777389364.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.408547989188549e-41,0.02,ok,,ARG_DG_000002,M_bb8777389364,Arginine__dG_m160(aq),0.0055997919989749,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0620000000000034,1.495877964518244e-41,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000002,single_product_sensitivity,M_bb8777389364.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0277777777777777,0.042,ok,,ARG_DG_000002,M_bb8777389364,Arginine__dG_m160(aq),0.0055997919989749,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0620000000000034,0.029500000000000012,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000002,single_product_sensitivity,M_bb8777389364.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0376647834274952,0.05,ok,,ARG_DG_000002,M_bb8777389364,Arginine__dG_m160(aq),0.0055997919989749,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0620000000000034,0.04000000000000003,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000002,single_product_sensitivity,M_bb8777389364.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine__dG_m160(aq),0.0,0.0070621468926553,0.0,ok,,ARG_DG_000002,M_bb8777389364,Arginine__dG_m160(aq),0.0055997919989749,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0620000000000034,0.007499999999999953,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000003,single_product_sensitivity,M_15cdad376e97.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9274952919020716,1.0,ok,,ARG_DG_000003,M_15cdad376e97,Arginine__dG_m120(aq),0.0057930829934775,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0620000000000034,0.9850000000000032,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000003,single_product_sensitivity,M_15cdad376e97.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.040339069617241e-38,0.02,ok,,ARG_DG_000003,M_15cdad376e97,Arginine__dG_m120(aq),0.0057930829934775,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0620000000000034,1.1048400919335135e-38,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000003,single_product_sensitivity,M_15cdad376e97.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0277777777777777,0.042,ok,,ARG_DG_000003,M_15cdad376e97,Arginine__dG_m120(aq),0.0057930829934775,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0620000000000034,0.029500000000000012,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000003,single_product_sensitivity,M_15cdad376e97.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0376647834274952,0.05,ok,,ARG_DG_000003,M_15cdad376e97,Arginine__dG_m120(aq),0.0057930829934775,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0620000000000034,0.04000000000000003,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000003,single_product_sensitivity,M_15cdad376e97.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine__dG_m120(aq),0.0,0.0070621468926553,0.0,ok,,ARG_DG_000003,M_15cdad376e97,Arginine__dG_m120(aq),0.0057930829934775,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0620000000000034,0.007499999999999953,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000004,single_product_sensitivity,M_3800d6055617.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9274952919020716,1.0,ok,,ARG_DG_000004,M_3800d6055617,Arginine__dG_m080(aq),0.0056713330122875,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0620000000000034,0.9850000000000032,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000004,single_product_sensitivity,M_3800d6055617.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,7.683837455775235e-36,0.02,ok,,ARG_DG_000004,M_3800d6055617,Arginine__dG_m080(aq),0.0056713330122875,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0620000000000034,8.160235378033326e-36,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000004,single_product_sensitivity,M_3800d6055617.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0277777777777777,0.042,ok,,ARG_DG_000004,M_3800d6055617,Arginine__dG_m080(aq),0.0056713330122875,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0620000000000034,0.029500000000000012,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000004,single_product_sensitivity,M_3800d6055617.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0376647834274952,0.05,ok,,ARG_DG_000004,M_3800d6055617,Arginine__dG_m080(aq),0.0056713330122875,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0620000000000034,0.04000000000000003,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000004,single_product_sensitivity,M_3800d6055617.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine__dG_m080(aq),0.0,0.0070621468926553,0.0,ok,,ARG_DG_000004,M_3800d6055617,Arginine__dG_m080(aq),0.0056713330122875,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0620000000000034,0.007499999999999953,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000005,single_product_sensitivity,M_4cfdf87989d2.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9274952919020716,1.0,ok,,ARG_DG_000005,M_4cfdf87989d2,Arginine__dG_m040(aq),0.0057845830015139,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0620000000000034,0.9850000000000032,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000005,single_product_sensitivity,M_4cfdf87989d2.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,5.6752033832412845e-33,0.02,ok,,ARG_DG_000005,M_4cfdf87989d2,Arginine__dG_m040(aq),0.0057845830015139,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0620000000000034,6.027065993002263e-33,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000005,single_product_sensitivity,M_4cfdf87989d2.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0277777777777777,0.042,ok,,ARG_DG_000005,M_4cfdf87989d2,Arginine__dG_m040(aq),0.0057845830015139,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0620000000000034,0.029500000000000012,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000005,single_product_sensitivity,M_4cfdf87989d2.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0376647834274952,0.05,ok,,ARG_DG_000005,M_4cfdf87989d2,Arginine__dG_m040(aq),0.0057845830015139,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0620000000000034,0.04000000000000003,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000005,single_product_sensitivity,M_4cfdf87989d2.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine__dG_m040(aq),0.0,0.0070621468926553,0.0,ok,,ARG_DG_000005,M_4cfdf87989d2,Arginine__dG_m040(aq),0.0057845830015139,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0620000000000034,0.007499999999999953,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000006,single_product_sensitivity,M_69031b4d9f9e.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9274952919020716,1.0,ok,,ARG_DG_000006,M_69031b4d9f9e,Arginine__dG_000(aq),0.0062784999900031,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,0.0,1.0620000000000034,0.9850000000000032,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000006,single_product_sensitivity,M_69031b4d9f9e.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,4.191646894464895e-30,0.02,ok,,ARG_DG_000006,M_69031b4d9f9e,Arginine__dG_000(aq),0.0062784999900031,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,0.0,1.0620000000000034,4.451529001921733e-30,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000006,single_product_sensitivity,M_69031b4d9f9e.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0277777777777777,0.042,ok,,ARG_DG_000006,M_69031b4d9f9e,Arginine__dG_000(aq),0.0062784999900031,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,0.0,1.0620000000000034,0.029500000000000012,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000006,single_product_sensitivity,M_69031b4d9f9e.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0376647834274952,0.05,ok,,ARG_DG_000006,M_69031b4d9f9e,Arginine__dG_000(aq),0.0062784999900031,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,0.0,1.0620000000000034,0.04000000000000003,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000006,single_product_sensitivity,M_69031b4d9f9e.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine__dG_000(aq),0.0,0.0070621468926553,0.0,ok,,ARG_DG_000006,M_69031b4d9f9e,Arginine__dG_000(aq),0.0062784999900031,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,0.0,1.0620000000000034,0.007499999999999953,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000007,single_product_sensitivity,M_7210d7a0b9a9.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9274952919020716,1.0,ok,,ARG_DG_000007,M_7210d7a0b9a9,Arginine__dG_p040(aq),0.0060487080045277,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,40.0,1.0620000000000034,0.9850000000000032,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
ARG_DG_000007,single_product_sensitivity,M_7210d7a0b9a9.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,3.095907320006196e-27,0.02,ok,,ARG_DG_000007,M_7210d7a0b9a9,Arginine__dG_p040(aq),0.0060487080045277,arginine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,40.0,1.0620000000000034,3.2878535738465906e-27,5.6452018201278964e-15,C:1.06200000e+00;H:1.06200000e+00;N:1.06200000e+00;O:1.06200000e+00
