scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
ARG_INV_000001,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.970873786407767,0.970873786407767,1.0,ok,,ARG_INV_000001,M_49a335dc6bb9,Arginine(aq),0.006192374989041127,arginine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ARG_INV_000001,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.019417475728155338,0.01941747572815534,0.02,ok,,ARG_INV_000001,M_49a335dc6bb9,Arginine(aq),0.006192374989041127,arginine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ARG_INV_000001,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,ARG_INV_000001,M_49a335dc6bb9,Arginine(aq),0.006192374989041127,arginine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ARG_INV_000001,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.009708737864077669,0.00970873786407767,0.01,ok,,ARG_INV_000001,M_49a335dc6bb9,Arginine(aq),0.006192374989041127,arginine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ARG_INV_000001,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine(aq),0.0,0.0,0.0,ok,,ARG_INV_000001,M_49a335dc6bb9,Arginine(aq),0.006192374989041127,arginine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ARG_INV_000002,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.9669621273166801,0.977886977886978,1.0,ok,,ARG_INV_000002,M_49a335dc6bb9,Arginine(aq),0.0017585000023245811,arginine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ARG_INV_000002,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.019339242546333603,0.013104013104013107,0.02,ok,,ARG_INV_000002,M_49a335dc6bb9,Arginine(aq),0.0017585000023245811,arginine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ARG_INV_000002,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040290088638195,5.709837264828884e-46,0.004166666666666667,ok,,ARG_INV_000002,M_49a335dc6bb9,Arginine(aq),0.0017585000023245811,arginine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ARG_INV_000002,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.009669621273166801,0.006552006552006555,0.01,ok,,ARG_INV_000002,M_49a335dc6bb9,Arginine(aq),0.0017585000023245811,arginine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ARG_INV_000002,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine(aq),0.0,0.0024570024570024574,0.0,ok,,ARG_INV_000002,M_49a335dc6bb9,Arginine(aq),0.0017585000023245811,arginine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ARG_INV_000003,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.9630818619582665,0.9850746268656717,1.0,ok,,ARG_INV_000003,M_49a335dc6bb9,Arginine(aq),0.0013004999927943572,arginine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ARG_INV_000003,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.019261637239165328,0.006633499170812607,0.02,ok,,ARG_INV_000003,M_49a335dc6bb9,Arginine(aq),0.0013004999927943572,arginine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ARG_INV_000003,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,C2H2(aq),0.008025682182985553,4.42827277258957e-45,0.008333333333333333,ok,,ARG_INV_000003,M_49a335dc6bb9,Arginine(aq),0.0013004999927943572,arginine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ARG_INV_000003,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,NH3(aq),0.009630818619582664,0.003316749585406304,0.01,ok,,ARG_INV_000003,M_49a335dc6bb9,Arginine(aq),0.0013004999927943572,arginine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ARG_INV_000003,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,Arginine(aq),0.0,0.004975124378109453,0.0,ok,,ARG_INV_000003,M_49a335dc6bb9,Arginine(aq),0.0013004999927943572,arginine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ARG_INV_000004,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,H2O(l),0.9592326139088729,0.9924433249370223,1.0,ok,,ARG_INV_000004,M_49a335dc6bb9,Arginine(aq),0.0010662080021575093,arginine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
ARG_INV_000004,single_product_sensitivity,M_49a335dc6bb9.yaml,Arginine(aq),0.0,273.15,101325.0,HCN(aq),0.01918465227817746,3.2210031224633597e-15,0.02,ok,,ARG_INV_000004,M_49a335dc6bb9,Arginine(aq),0.0010662080021575093,arginine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
