study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m200(aq),M_3bdcd1f3a0fe,0.0,101325.0,0.006096625002101,1.0,0.02,0.042,0.05,2.1,-200.0,ARG_DG_000001,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m160(aq),M_bb8777389364,0.0,101325.0,0.0055997919989749,1.0,0.02,0.042,0.05,2.1,-160.0,ARG_DG_000002,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m120(aq),M_15cdad376e97,0.0,101325.0,0.0057930829934775,1.0,0.02,0.042,0.05,2.1,-120.0,ARG_DG_000003,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m080(aq),M_3800d6055617,0.0,101325.0,0.0056713330122875,1.0,0.02,0.042,0.05,2.1,-80.0,ARG_DG_000004,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m040(aq),M_4cfdf87989d2,0.0,101325.0,0.0057845830015139,1.0,0.02,0.042,0.05,2.1,-40.0,ARG_DG_000005,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_000(aq),M_69031b4d9f9e,0.0,101325.0,0.0062784999900031,1.0,0.02,0.042,0.05,2.1,0.0,ARG_DG_000006,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p040(aq),M_7210d7a0b9a9,0.0,101325.0,0.0060487080045277,1.0,0.02,0.042,0.05,2.1,40.0,ARG_DG_000007,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p080(aq),M_9163883da197,0.0,101325.0,0.0060575840034289,1.0,0.02,0.042,0.05,2.1,80.0,ARG_DG_000008,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p120(aq),M_f5892fa18944,0.0,101325.0,0.005774666002253,1.0,0.02,0.042,0.05,2.1,120.0,ARG_DG_000009,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p160(aq),M_bf2956db0c7b,0.0,101325.0,0.0057180000003427,1.0,0.02,0.042,0.05,2.1,160.0,ARG_DG_000010,0.0070621468926553,-2.151063253353754,0.007499999999999953,-2.1249387366083026,True,significant,ok,nan,5.6452018201278964e-15,False
arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p200(aq),M_6812e7b84e9e,0.0,101325.0,0.0057918329985113,1.0,0.02,0.042,0.05,2.1,200.0,ARG_DG_000011,0.007062146892655,-2.151063253353773,0.007499999999999633,-2.124938736608321,True,significant,ok,nan,2.299897037829884e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0061923749890411,1.0,0.02,0.0,0.01,0.0,0.0,ARG_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,3.664813867694687e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0017585000023245,1.0,0.02,0.0041666666666666,0.01,0.2083333333333333,0.0,ARG_INV_000002,0.0024570024570024,-2.60959440922523,0.002499999999999952,-2.602059991327971,True,significant,ok,nan,9.601928861622937e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0013004999927943,1.0,0.02,0.0083333333333333,0.01,0.4166666666666667,0.0,ARG_INV_000003,0.0049751243781094,-2.3031960574204935,0.004999999999999964,-2.3010299956639844,True,significant,ok,nan,7.291016878135331e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0010662080021575,1.0,0.02,0.0125,0.01,0.625,0.0,ARG_INV_000004,0.007556675062971,-2.1216692520435267,0.007499999999998789,-2.12493873660837,True,significant,ok,nan,3.3558378578090052e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0012486249906942,1.0,0.02,0.0166666666666666,0.01,0.8333333333333334,0.0,ARG_INV_000005,0.0075250836120401,-2.123488670213069,0.007499999999999981,-2.1249387366083012,True,significant,ok,nan,4.010170122391862e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0010512080043554,1.0,0.02,0.0208333333333333,0.01,1.0416666666666667,0.0,ARG_INV_000006,0.0074937552039966,-2.1253004979635852,0.0074999999999999555,-2.1249387366083026,True,significant,ok,nan,8.65252915111693e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0010393749980721,1.0,0.02,0.025,0.01,1.25,0.0,ARG_INV_000007,0.0074626865671641,-2.127104798364812,0.007499999999999949,-2.124938736608303,True,significant,ok,nan,1.0605115459105933e-14,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.001070250000339,1.0,0.02,0.0291666666666666,0.01,1.4583333333333337,0.0,ARG_INV_000008,0.0074318744838976,-2.1289016337037276,0.007499999999999995,-2.1249387366083003,True,significant,ok,nan,6.600830534517858e-16,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0010747500055003,1.0,0.02,0.0333333333333333,0.01,1.6666666666666667,0.0,ARG_INV_000009,0.0074013157894736,-2.130691065497396,0.0074999999999999425,-2.1249387366083035,True,significant,ok,nan,1.1175271234713705e-14,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0010492909932509,1.0,0.02,0.0375,0.01,1.875,0.0,ARG_INV_000010,0.0073710073710073,-2.1324731545055617,0.007499999999999951,-2.1249387366083026,True,significant,ok,nan,9.383703205676969e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0010614579950924,1.0,0.02,0.0416666666666666,0.01,2.083333333333333,0.0,ARG_INV_000011,0.0073409461663947,-2.134247960743076,0.007499999999999937,-2.1249387366083035,True,significant,ok,nan,1.0649447609781246e-14,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.001000665986794,1.0,0.02,0.0458333333333333,0.01,2.291666666666667,0.0,ARG_INV_000012,0.0073111291632818,-2.1360155434919963,0.007499999999999933,-2.124938736608304,True,significant,ok,nan,1.1255551053876456e-14,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0009937919967342,1.0,0.02,0.05,0.01,2.5,0.0,ARG_INV_000013,0.0072815533980582,-2.1377759613134755,0.007499999999999962,-2.124938736608302,True,significant,ok,nan,6.898473162719404e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0011099170078523,1.0,0.02,0.0541666666666666,0.01,2.708333333333333,0.0,ARG_INV_000014,0.0072522159548751,-2.139529272059405,0.0075,-2.1249387366083,True,significant,ok,nan,1.0735436176875002e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0010212089982815,1.0,0.02,0.0583333333333333,0.01,2.916666666666667,0.0,ARG_INV_000015,0.007223113964687,-2.1412755328838258,0.007500000000000001,-2.1249387366083,True,significant,ok,nan,6.415413946469606e-16,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0010021670022979,1.0,0.02,0.0625,0.01,3.125,0.0,ARG_INV_000016,0.0071942446043165,-2.143014800254098,0.007499999999999962,-2.124938736608302,True,significant,ok,nan,6.3897728035980135e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0011024169943993,1.0,0.02,0.0666666666666666,0.01,3.333333333333333,0.0,ARG_INV_000017,0.0071656050955414,-2.1447471299618526,0.007499999999999996,-2.1249387366083003,True,significant,ok,nan,8.485781079937504e-16,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0009965829958673,1.0,0.02,0.0708333333333333,0.01,3.541666666666667,0.0,ARG_INV_000018,0.007137192704203,-2.1464725771337574,0.007499999999999986,-2.124938736608301,True,significant,ok,nan,1.9017301611342887e-15,False
arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_49a335dc6bb9,0.0,101325.0,0.0012857090041507,1.0,0.02,0.075,0.01,3.75,0.0,ARG_INV_000019,0.0071090047393364,-2.148191196242017,0.007499999999999919,-2.124938736608305,True,significant,ok,nan,1.2838598009883298e-14,False
