scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
ASP_DG_000001,single_product_sensitivity,M_05d7a31015ca.yaml,Asparagine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9076137418755804,1.0,ok,,ASP_DG_000001,M_05d7a31015ca,Asparagine__dG_m200(aq),0.0057302920031361,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0770000000000017,0.9775000000000017,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000001,single_product_sensitivity,M_05d7a31015ca.yaml,Asparagine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.8712243448473384e-37,0.02,ok,,ASP_DG_000001,M_05d7a31015ca,Asparagine__dG_m200(aq),0.0057302920031361,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0770000000000017,2.0153086194005866e-37,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000001,single_product_sensitivity,M_05d7a31015ca.yaml,Asparagine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0343546889507892,0.042,ok,,ASP_DG_000001,M_05d7a31015ca,Asparagine__dG_m200(aq),0.0057302920031361,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0770000000000017,0.037000000000000026,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000001,single_product_sensitivity,M_05d7a31015ca.yaml,Asparagine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0510677808727947,0.05,ok,,ASP_DG_000001,M_05d7a31015ca,Asparagine__dG_m200(aq),0.0057302920031361,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0770000000000017,0.05499999999999998,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000001,single_product_sensitivity,M_05d7a31015ca.yaml,Asparagine(aq),0.0,273.15,101325.0,Asparagine__dG_m200(aq),0.0,0.0069637883008356,0.0,ok,,ASP_DG_000001,M_05d7a31015ca,Asparagine__dG_m200(aq),0.0057302920031361,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0770000000000017,0.007499999999999953,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000002,single_product_sensitivity,M_db5e76e8e632.yaml,Asparagine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9076137418755804,1.0,ok,,ASP_DG_000002,M_db5e76e8e632,Asparagine__dG_m160(aq),0.0055757079971954,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0770000000000017,0.9775000000000017,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000002,single_product_sensitivity,M_db5e76e8e632.yaml,Asparagine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.3820671870788443e-34,0.02,ok,,ASP_DG_000002,M_db5e76e8e632,Asparagine__dG_m160(aq),0.0055757079971954,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0770000000000017,1.4884863604839176e-34,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000002,single_product_sensitivity,M_db5e76e8e632.yaml,Asparagine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0343546889507892,0.042,ok,,ASP_DG_000002,M_db5e76e8e632,Asparagine__dG_m160(aq),0.0055757079971954,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0770000000000017,0.037000000000000026,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000002,single_product_sensitivity,M_db5e76e8e632.yaml,Asparagine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0510677808727947,0.05,ok,,ASP_DG_000002,M_db5e76e8e632,Asparagine__dG_m160(aq),0.0055757079971954,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0770000000000017,0.05499999999999998,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000002,single_product_sensitivity,M_db5e76e8e632.yaml,Asparagine(aq),0.0,273.15,101325.0,Asparagine__dG_m160(aq),0.0,0.0069637883008356,0.0,ok,,ASP_DG_000002,M_db5e76e8e632,Asparagine__dG_m160(aq),0.0055757079971954,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0770000000000017,0.007499999999999953,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000003,single_product_sensitivity,M_8cfe626c58c1.yaml,Asparagine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9076137418755804,1.0,ok,,ASP_DG_000003,M_8cfe626c58c1,Asparagine__dG_m120(aq),0.0090582499979063,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0770000000000017,0.9775000000000017,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000003,single_product_sensitivity,M_8cfe626c58c1.yaml,Asparagine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.0207805355809074e-31,0.02,ok,,ASP_DG_000003,M_8cfe626c58c1,Asparagine__dG_m120(aq),0.0090582499979063,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0770000000000017,1.099380636820639e-31,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000003,single_product_sensitivity,M_8cfe626c58c1.yaml,Asparagine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0343546889507892,0.042,ok,,ASP_DG_000003,M_8cfe626c58c1,Asparagine__dG_m120(aq),0.0090582499979063,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0770000000000017,0.037000000000000026,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000003,single_product_sensitivity,M_8cfe626c58c1.yaml,Asparagine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0510677808727947,0.05,ok,,ASP_DG_000003,M_8cfe626c58c1,Asparagine__dG_m120(aq),0.0090582499979063,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0770000000000017,0.05499999999999998,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000003,single_product_sensitivity,M_8cfe626c58c1.yaml,Asparagine(aq),0.0,273.15,101325.0,Asparagine__dG_m120(aq),0.0,0.0069637883008356,0.0,ok,,ASP_DG_000003,M_8cfe626c58c1,Asparagine__dG_m120(aq),0.0090582499979063,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.0770000000000017,0.007499999999999953,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000004,single_product_sensitivity,M_976cd6534111.yaml,Asparagine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9076137418755804,1.0,ok,,ASP_DG_000004,M_976cd6534111,Asparagine__dG_m080(aq),0.0058680839865701,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0770000000000017,0.9775000000000017,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000004,single_product_sensitivity,M_976cd6534111.yaml,Asparagine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,7.539380133858284e-29,0.02,ok,,ASP_DG_000004,M_976cd6534111,Asparagine__dG_m080(aq),0.0058680839865701,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0770000000000017,8.119912404165386e-29,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000004,single_product_sensitivity,M_976cd6534111.yaml,Asparagine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0343546889507892,0.042,ok,,ASP_DG_000004,M_976cd6534111,Asparagine__dG_m080(aq),0.0058680839865701,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0770000000000017,0.037000000000000026,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000004,single_product_sensitivity,M_976cd6534111.yaml,Asparagine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0510677808727947,0.05,ok,,ASP_DG_000004,M_976cd6534111,Asparagine__dG_m080(aq),0.0058680839865701,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0770000000000017,0.05499999999999998,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000004,single_product_sensitivity,M_976cd6534111.yaml,Asparagine(aq),0.0,273.15,101325.0,Asparagine__dG_m080(aq),0.0,0.0069637883008356,0.0,ok,,ASP_DG_000004,M_976cd6534111,Asparagine__dG_m080(aq),0.0058680839865701,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-80.0,1.0770000000000017,0.007499999999999953,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000005,single_product_sensitivity,M_f42ad95f9800.yaml,Asparagine(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9076137418755804,1.0,ok,,ASP_DG_000005,M_f42ad95f9800,Asparagine__dG_m040(aq),0.0058065830089617,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0770000000000017,0.9775000000000017,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000005,single_product_sensitivity,M_f42ad95f9800.yaml,Asparagine(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,5.56850868699793e-26,0.02,ok,,ASP_DG_000005,M_f42ad95f9800,Asparagine__dG_m040(aq),0.0058065830089617,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0770000000000017,5.99728385589678e-26,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000005,single_product_sensitivity,M_f42ad95f9800.yaml,Asparagine(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0343546889507892,0.042,ok,,ASP_DG_000005,M_f42ad95f9800,Asparagine__dG_m040(aq),0.0058065830089617,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0770000000000017,0.037000000000000026,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000005,single_product_sensitivity,M_f42ad95f9800.yaml,Asparagine(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0510677808727947,0.05,ok,,ASP_DG_000005,M_f42ad95f9800,Asparagine__dG_m040(aq),0.0058065830089617,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0770000000000017,0.05499999999999998,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
ASP_DG_000005,single_product_sensitivity,M_f42ad95f9800.yaml,Asparagine(aq),0.0,273.15,101325.0,Asparagine__dG_m040(aq),0.0,0.0069637883008356,0.0,ok,,ASP_DG_000005,M_f42ad95f9800,Asparagine__dG_m040(aq),0.0058065830089617,asparagine,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-40.0,1.0770000000000017,0.007499999999999953,3.092543244081211e-15,C:1.07700000e+00;H:1.07700000e+00;N:1.07700000e+00;O:1.07700000e+00
