case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ASP_DG_000001,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m200(aq),M_05d7a31015ca,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0057302920031361
ASP_DG_000002,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m160(aq),M_db5e76e8e632,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0055757079971954
ASP_DG_000003,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m120(aq),M_8cfe626c58c1,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0090582499979063
ASP_DG_000004,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m080(aq),M_976cd6534111,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0058680839865701
ASP_DG_000005,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m040(aq),M_f42ad95f9800,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0058065830089617
ASP_DG_000006,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_000(aq),M_f32fbb5d5f68,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.005427124997368
ASP_DG_000007,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p040(aq),M_956019731545,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.007499999999999953,-2.1249387366083026,True,significant,ok,0.0054587500053457
ASP_DG_000008,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p080(aq),M_69397c3cc890,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0069637883008356,-2.157154439906285,0.007499999999999947,-2.124938736608303,True,significant,ok,0.0054621250019408
ASP_DG_000009,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p120(aq),M_71b69761d47c,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0069637883008292,-2.157154439906684,0.007499999999993278,-2.1249387366086894,True,significant,ok,0.0059865410003112
ASP_DG_000010,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p160(aq),M_32a6a57944bc,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0069637882960967,-2.157154440201825,0.0074999999950568,-2.1249387368945407,True,significant,ok,0.0056676249951124
ASP_DG_000011,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p200(aq),M_d5c6b0911d01,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0069637848007495,-2.157154658188116,0.00749999634905442,-2.124938948019754,True,significant,ok,0.0055875000107334
ASP_INV_000001,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_311f846fce8d,0.01,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0061465409962693
ASP_INV_000002,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_311f846fce8d,0.01,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0062189054726368,-2.2062860444124337,0.006249999999999983,-2.204119982655926,True,significant,ok,0.0011332080030115
ASP_INV_000003,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_311f846fce8d,0.01,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0074750830564784,-2.1263839774824813,0.0074999999999999945,-2.1249387366083003,True,significant,ok,0.0013147079880582
ASP_INV_000004,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_311f846fce8d,0.01,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0074441687344913,-2.128183791421448,0.007499999999999994,-2.1249387366083003,True,significant,ok,0.0010545839904807
ASP_INV_000005,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_311f846fce8d,0.01,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0074135090609555,-2.129976177299915,0.007499999999999979,-2.1249387366083012,True,significant,ok,0.0010140420054085
ASP_INV_000006,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_311f846fce8d,0.01,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.007383100902379,-2.131761196179057,0.007499999999999999,-2.1249387366083,True,significant,ok,0.0011192499950993
ASP_INV_000007,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_311f846fce8d,0.01,0.02,0.025,1.25,0.0,0.0,101325.0,0.0073529411764705,-2.1335389083702228,0.0074999999999999295,-2.124938736608304,True,significant,ok,0.0010131249873666
