case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ASP_INV_000001,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,ASP_INV_000001,M_b439542ee0cb,f81e49aaea73092d
ASP_INV_000002,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,ASP_INV_000002,M_b439542ee0cb,8acc5ee6c44bc4e5
ASP_INV_000003,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,ASP_INV_000003,M_b439542ee0cb,b2313423a8651514
ASP_INV_000004,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,ASP_INV_000004,M_b439542ee0cb,a793aed0e5d482b8
ASP_INV_000005,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,ASP_INV_000005,M_b439542ee0cb,625d83c41074151b
ASP_INV_000006,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,ASP_INV_000006,M_b439542ee0cb,f78fedc6c19a0d77
ASP_INV_000007,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,ASP_INV_000007,M_b439542ee0cb,103520d6d8a93dd1
ASP_INV_000008,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,ASP_INV_000008,M_b439542ee0cb,6c8d5facaf07dad8
ASP_INV_000009,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,ASP_INV_000009,M_b439542ee0cb,740537619b850d64
ASP_INV_000010,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,ASP_INV_000010,M_b439542ee0cb,ec07ed5bbd938915
ASP_INV_000011,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,ASP_INV_000011,M_b439542ee0cb,94157d6b64485964
ASP_INV_000012,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,ASP_INV_000012,M_b439542ee0cb,5d1007f71ec3848e
ASP_INV_000013,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,ASP_INV_000013,M_b439542ee0cb,b7df575ae1aaa0f5
ASP_INV_000014,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,ASP_INV_000014,M_b439542ee0cb,758de9f7ad57e356
ASP_INV_000015,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,ASP_INV_000015,M_b439542ee0cb,4bbc3767e7c47d8c
ASP_INV_000016,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,ASP_INV_000016,M_b439542ee0cb,c956f8067faab98c
ASP_INV_000017,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,ASP_INV_000017,M_b439542ee0cb,02702d0439ad9318
ASP_INV_000018,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,ASP_INV_000018,M_b439542ee0cb,72ca53496e7dc070
ASP_INV_000019,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,ASP_INV_000019,M_b439542ee0cb,01ac81ca283fe99d
ASP_INV_000020,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,ASP_INV_000020,M_b439542ee0cb,766324699ff95f06
ASP_INV_000021,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,ASP_INV_000021,M_b439542ee0cb,ed8da66157723334
ASP_INV_000022,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.08750000000000001,0.01,4.375,0.0,0.0,101325.0,ASP_INV_000022,M_b439542ee0cb,54462ea21c9601ee
ASP_INV_000023,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.09166666666666667,0.01,4.583333333333334,0.0,0.0,101325.0,ASP_INV_000023,M_b439542ee0cb,0bf6c0292aa4cf19
ASP_INV_000024,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.09583333333333334,0.01,4.791666666666667,0.0,0.0,101325.0,ASP_INV_000024,M_b439542ee0cb,1fc820e4cd64738c
ASP_INV_000025,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.1,0.01,5.0,0.0,0.0,101325.0,ASP_INV_000025,M_b439542ee0cb,74f3c87a26c817fb
ASP_INV_000026,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.0,0.01583333333333333,0.0,0.0,0.0,101325.0,ASP_INV_000026,M_b439542ee0cb,22e79a2b3e53d620
ASP_INV_000027,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.004166666666666667,0.01583333333333333,0.20833333333333334,0.0,0.0,101325.0,ASP_INV_000027,M_b439542ee0cb,bbe3f57dc48abac5
ASP_INV_000028,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.008333333333333333,0.01583333333333333,0.4166666666666667,0.0,0.0,101325.0,ASP_INV_000028,M_b439542ee0cb,7fd0f6e788cde434
ASP_INV_000029,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.0125,0.01583333333333333,0.625,0.0,0.0,101325.0,ASP_INV_000029,M_b439542ee0cb,ec6f34e2bd10f2ed
ASP_INV_000030,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.016666666666666666,0.01583333333333333,0.8333333333333334,0.0,0.0,101325.0,ASP_INV_000030,M_b439542ee0cb,c38142be66dc266b
ASP_INV_000031,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.020833333333333336,0.01583333333333333,1.0416666666666667,0.0,0.0,101325.0,ASP_INV_000031,M_b439542ee0cb,9e37cf56ada3605c
ASP_INV_000032,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.025,0.01583333333333333,1.25,0.0,0.0,101325.0,ASP_INV_000032,M_b439542ee0cb,fa9a05489dc67912
ASP_INV_000033,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.02916666666666667,0.01583333333333333,1.4583333333333335,0.0,0.0,101325.0,ASP_INV_000033,M_b439542ee0cb,c6a4fd6e90a747ee
ASP_INV_000034,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.03333333333333333,0.01583333333333333,1.6666666666666667,0.0,0.0,101325.0,ASP_INV_000034,M_b439542ee0cb,77bc65bdb529dffa
ASP_INV_000035,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.0375,0.01583333333333333,1.875,0.0,0.0,101325.0,ASP_INV_000035,M_b439542ee0cb,6ad5446ccdca924a
ASP_INV_000036,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.04166666666666667,0.01583333333333333,2.0833333333333335,0.0,0.0,101325.0,ASP_INV_000036,M_b439542ee0cb,6f444f521308f4a7
ASP_INV_000037,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.04583333333333334,0.01583333333333333,2.291666666666667,0.0,0.0,101325.0,ASP_INV_000037,M_b439542ee0cb,4cf60a91e39cd42a
ASP_INV_000038,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.05,0.01583333333333333,2.5,0.0,0.0,101325.0,ASP_INV_000038,M_b439542ee0cb,102fce4ee71ad736
ASP_INV_000039,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.05416666666666667,0.01583333333333333,2.7083333333333335,0.0,0.0,101325.0,ASP_INV_000039,M_b439542ee0cb,43ea4e574e51a4a3
ASP_INV_000040,asparticacid,inventory_landscape,AsparticAcid(aq),AsparticAcid(aq),1.0,0.02,0.05833333333333334,0.01583333333333333,2.916666666666667,0.0,0.0,101325.0,ASP_INV_000040,M_b439542ee0cb,2517c1c21dcc2eb5
