model_id,yaml_path,model_mode,target_variant,base_species,thermo_variant_id,species_set_hash,thermo_hash
M_b439542ee0cb,models/M_b439542ee0cb.yaml,single_product_sensitivity,AsparticAcid(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),base,12bfee87aa9c,813e6cb0058e
M_4433a22ced23,models/M_4433a22ced23.yaml,single_product_sensitivity,AsparticAcid__dG_m200(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m200,8a09e24b452c,9aa88338b236
M_a36a0254e212,models/M_a36a0254e212.yaml,single_product_sensitivity,AsparticAcid__dG_m160(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m160,264168d545db,ed95e0279e85
M_201d7b99b1eb,models/M_201d7b99b1eb.yaml,single_product_sensitivity,AsparticAcid__dG_m120(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m120,0a847986cd4a,1bcf85b7b548
M_825b674fa7ee,models/M_825b674fa7ee.yaml,single_product_sensitivity,AsparticAcid__dG_m080(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m080,1754decf256d,c6ecb5cb6c7f
M_18432456ec52,models/M_18432456ec52.yaml,single_product_sensitivity,AsparticAcid__dG_m040(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_m040,f55bf3658007,878d0952ea73
M_089a7df7aeb0,models/M_089a7df7aeb0.yaml,single_product_sensitivity,AsparticAcid__dG_000(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_000,1f452d832b01,0d6bf20e5a9b
M_c32dd932ecff,models/M_c32dd932ecff.yaml,single_product_sensitivity,AsparticAcid__dG_p040(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p040,8846a8a18c28,03c10f3eca3a
M_0debade76a81,models/M_0debade76a81.yaml,single_product_sensitivity,AsparticAcid__dG_p080(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p080,1d9c9be825b3,f5c41bac1891
M_022a0b527865,models/M_022a0b527865.yaml,single_product_sensitivity,AsparticAcid__dG_p120(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p120,d26bbb640c74,8312fc2dbd90
M_b4c9275d5735,models/M_b4c9275d5735.yaml,single_product_sensitivity,AsparticAcid__dG_p160(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p160,3ee86ce30792,4509490e5937
M_1da6b3bdf97c,models/M_1da6b3bdf97c.yaml,single_product_sensitivity,AsparticAcid__dG_p200(aq),H2O(l);HCN(aq);C2H2(aq);NH3(aq),dG_p200,31ea91a5ea47,5c6b3f8d7127
