study_id,target_product,n_cases,n_ok,n_failed,n_suspect_balance,total_runtime_seconds,inventory_accessible_fraction,max_X_eq,summary_path,figures_path
alanine,Alanine(aq),911,911,0,0,1.0910849249630235,0.96,0.0201850294365012,studies/aa_nh3/alanine/results/sensitivity_case_summary.csv,studies/aa_nh3/alanine/figures
arginine,Arginine(aq),911,911,0,0,1.0871277331606968,0.96,0.007556675062971,studies/aa_nh3/arginine/results/sensitivity_case_summary.csv,studies/aa_nh3/arginine/figures
asparagine,Asparagine(aq),911,911,0,0,1.0507725938222845,0.96,0.0074750830564784,studies/aa_nh3/asparagine/results/sensitivity_case_summary.csv,studies/aa_nh3/asparagine/figures
asparticacid,AsparticAcid(aq),911,911,0,0,1.0567142951330886,0.96,0.0074750830564784,studies/aa_nh3/asparticacid/results/sensitivity_case_summary.csv,studies/aa_nh3/asparticacid/figures
glutamicacid,GlutamicAcid(aq),911,911,0,0,1.1043287308566052,0.96,0.0085990684342529,studies/aa_nh3/glutamicacid/results/sensitivity_case_summary.csv,studies/aa_nh3/glutamicacid/figures
glutamine,Glutamine(aq),911,911,0,0,1.0399896586895476,0.96,0.0085990684342529,studies/aa_nh3/glutamine/results/sensitivity_case_summary.csv,studies/aa_nh3/glutamine/figures
glycine,Glycine(aq),911,911,0,0,1.0742763794405177,0.96,0.0149501661129568,studies/aa_nh3/glycine/results/sensitivity_case_summary.csv,studies/aa_nh3/glycine/figures
histidine,Histidine(aq),911,911,0,0,1.0321438069804116,0.96,0.005962239152037,studies/aa_nh3/histidine/results/sensitivity_case_summary.csv,studies/aa_nh3/histidine/figures
isoleucine,Isoleucine(aq),911,911,0,0,1.095135175972199,0.96,0.0337837837837837,studies/aa_nh3/isoleucine/results/sensitivity_case_summary.csv,studies/aa_nh3/isoleucine/figures
leucine,Leucine(aq),911,911,0,0,1.0289127803261622,0.96,0.0337837837837837,studies/aa_nh3/leucine/results/sensitivity_case_summary.csv,studies/aa_nh3/leucine/figures
lysine,Lysine(aq),911,911,0,0,1.0385273326682625,0.96,0.0306643952299829,studies/aa_nh3/lysine/results/sensitivity_case_summary.csv,studies/aa_nh3/lysine/figures
phenylalanine,Phenylalanine(aq),911,911,0,0,1.0473135402280151,0.96,0.0119067306102199,studies/aa_nh3/phenylalanine/results/sensitivity_case_summary.csv,studies/aa_nh3/phenylalanine/figures
proline,Proline(aq),911,911,0,0,1.0394361572106852,0.96,0.0201680672268907,studies/aa_nh3/proline/results/sensitivity_case_summary.csv,studies/aa_nh3/proline/figures
serine,Serine(aq),911,911,0,0,1.0385278118046253,0.96,0.0120683875293328,studies/aa_nh3/serine/results/sensitivity_case_summary.csv,studies/aa_nh3/serine/figures
threonine,Threonine(aq),911,911,0,0,1.0387181159166634,0.96,0.0152155536770921,studies/aa_nh3/threonine/results/sensitivity_case_summary.csv,studies/aa_nh3/threonine/figures
tryptophan,Tryptophan(aq),911,911,0,0,1.1088392099918087,0.96,0.0065843621399176,studies/aa_nh3/tryptophan/results/sensitivity_case_summary.csv,studies/aa_nh3/tryptophan/figures
tyrosine,Tyrosine(aq),911,911,0,0,1.0622954161080544,0.96,0.0085297950479801,studies/aa_nh3/tyrosine/results/sensitivity_case_summary.csv,studies/aa_nh3/tyrosine/figures
valine,Valine(aq),911,911,0,0,1.4307482280564263,0.96,0.0442913385826771,studies/aa_nh3/valine/results/sensitivity_case_summary.csv,studies/aa_nh3/valine/figures
