case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
GLU_INV_000001,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,GLU_INV_000001,M_d8159ac2501c,7c7c51a2a45c3c86
GLU_INV_000002,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,GLU_INV_000002,M_d8159ac2501c,d66fb94c0d7c2943
GLU_INV_000003,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,GLU_INV_000003,M_d8159ac2501c,ac90449a14b21331
GLU_INV_000004,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,GLU_INV_000004,M_d8159ac2501c,9249a6bd84bf4504
GLU_INV_000005,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,GLU_INV_000005,M_d8159ac2501c,28871471d2d08f56
GLU_INV_000006,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,GLU_INV_000006,M_d8159ac2501c,28ef6d18c68b7299
GLU_INV_000007,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,GLU_INV_000007,M_d8159ac2501c,119f656f9d72d805
GLU_INV_000008,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,GLU_INV_000008,M_d8159ac2501c,5fb271d855b1d198
GLU_INV_000009,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,GLU_INV_000009,M_d8159ac2501c,6228ef68431314be
GLU_INV_000010,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,GLU_INV_000010,M_d8159ac2501c,494efc08e75bde8d
GLU_INV_000011,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,GLU_INV_000011,M_d8159ac2501c,66aed6950f6b94dd
GLU_INV_000012,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,GLU_INV_000012,M_d8159ac2501c,acf59bb065066ff4
GLU_INV_000013,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,GLU_INV_000013,M_d8159ac2501c,18869423cc6aee84
GLU_INV_000014,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,GLU_INV_000014,M_d8159ac2501c,cf9b3f0dd5f8eb34
GLU_INV_000015,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,GLU_INV_000015,M_d8159ac2501c,1a01d5af0ecfa5c3
GLU_INV_000016,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,GLU_INV_000016,M_d8159ac2501c,0999199c0569751e
GLU_INV_000017,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,GLU_INV_000017,M_d8159ac2501c,1db7d7ed2fba857c
GLU_INV_000018,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,GLU_INV_000018,M_d8159ac2501c,6a8b8d30b9afa62d
GLU_INV_000019,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,GLU_INV_000019,M_d8159ac2501c,416cbc4814d2ec1a
GLU_INV_000020,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,GLU_INV_000020,M_d8159ac2501c,d348139a770ec4ba
GLU_INV_000021,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,GLU_INV_000021,M_d8159ac2501c,138d6c279415ad55
