scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
GLU_DG_000001,single_product_sensitivity,M_aca350b06283.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9056806002143624,1.0,ok,,GLU_DG_000001,M_aca350b06283,GlutamicAcid__dG_m200(aq),0.0058788749884115,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0662857142857147,0.9657142857142862,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000001,single_product_sensitivity,M_aca350b06283.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.6814825685849657e-49,0.02,ok,,GLU_DG_000001,M_aca350b06283,GlutamicAcid__dG_m200(aq),0.0058788749884115,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0662857142857147,1.7929408417025986e-49,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000001,single_product_sensitivity,M_aca350b06283.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0286709539121114,0.042,ok,,GLU_DG_000001,M_aca350b06283,GlutamicAcid__dG_m200(aq),0.0058788749884115,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0662857142857147,0.03057142857142851,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000001,single_product_sensitivity,M_aca350b06283.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.057609860664523,0.05,ok,,GLU_DG_000001,M_aca350b06283,GlutamicAcid__dG_m200(aq),0.0058788749884115,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0662857142857147,0.0614285714285714,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000001,single_product_sensitivity,M_aca350b06283.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,GlutamicAcid__dG_m200(aq),0.0,0.0080385852090032,0.0,ok,,GLU_DG_000001,M_aca350b06283,GlutamicAcid__dG_m200(aq),0.0058788749884115,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.0662857142857147,0.008571428571428558,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000002,single_product_sensitivity,M_e44eb86a6299.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9056806002143624,1.0,ok,,GLU_DG_000002,M_e44eb86a6299,GlutamicAcid__dG_m160(aq),0.0057806669938145,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0662857142857147,0.9657142857142862,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000002,single_product_sensitivity,M_e44eb86a6299.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,3.190564468980141e-46,0.02,ok,,GLU_DG_000002,M_e44eb86a6299,GlutamicAcid__dG_m160(aq),0.0057806669938145,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0662857142857147,3.402053313781112e-46,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000002,single_product_sensitivity,M_e44eb86a6299.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0286709539121114,0.042,ok,,GLU_DG_000002,M_e44eb86a6299,GlutamicAcid__dG_m160(aq),0.0057806669938145,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0662857142857147,0.03057142857142851,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000002,single_product_sensitivity,M_e44eb86a6299.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.057609860664523,0.05,ok,,GLU_DG_000002,M_e44eb86a6299,GlutamicAcid__dG_m160(aq),0.0057806669938145,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0662857142857147,0.0614285714285714,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
GLU_DG_000002,single_product_sensitivity,M_e44eb86a6299.yaml,GlutamicAcid(aq),0.0,273.15,101325.0,GlutamicAcid__dG_m160(aq),0.0,0.0080385852090032,0.0,ok,,GLU_DG_000002,M_e44eb86a6299,GlutamicAcid__dG_m160(aq),0.0057806669938145,glutamicacid,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.0662857142857147,0.008571428571428558,2.2906530786746254e-15,C:1.06628571e+00;H:1.06628571e+00;N:1.06628571e+00;O:1.06628571e+00
