study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m200(aq),M_aca350b06283,0.0,101325.0,0.0058788749884115,1.0,0.02,0.042,0.05,2.1,-200.0,GLU_DG_000001,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m160(aq),M_e44eb86a6299,0.0,101325.0,0.0057806669938145,1.0,0.02,0.042,0.05,2.1,-160.0,GLU_DG_000002,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m120(aq),M_e02aa17618b9,0.0,101325.0,0.0060004999977536,1.0,0.02,0.042,0.05,2.1,-120.0,GLU_DG_000003,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m080(aq),M_6589a3ca6a27,0.0,101325.0,0.0063555420056218,1.0,0.02,0.042,0.05,2.1,-80.0,GLU_DG_000004,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m040(aq),M_5ddc3f6f14ab,0.0,101325.0,0.0056480409984942,1.0,0.02,0.042,0.05,2.1,-40.0,GLU_DG_000005,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_000(aq),M_754c46fb7285,0.0,101325.0,0.0057771659921854,1.0,0.02,0.042,0.05,2.1,0.0,GLU_DG_000006,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p040(aq),M_37ddbfad251a,0.0,101325.0,0.0062752079975325,1.0,0.02,0.042,0.05,2.1,40.0,GLU_DG_000007,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p080(aq),M_a363d3f911dc,0.0,101325.0,0.0058352919877506,1.0,0.02,0.042,0.05,2.1,80.0,GLU_DG_000008,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p120(aq),M_cf1c8a472823,0.0,101325.0,0.0058238329947926,1.0,0.02,0.042,0.05,2.1,120.0,GLU_DG_000009,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p160(aq),M_74956aab931c,0.0,101325.0,0.0063282080081989,1.0,0.02,0.042,0.05,2.1,160.0,GLU_DG_000010,0.0080385852090032,-2.094820380354801,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,2.2906530786746254e-15,False
