scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,H2O(l),0.970873786407767,0.970873786407767,1.0,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.006741207995219156,glutamine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,HCN(aq),0.019417475728155338,0.01941747572815534,0.02,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.006741207995219156,glutamine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.006741207995219156,glutamine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,NH3(aq),0.009708737864077669,0.00970873786407767,0.01,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.006741207995219156,glutamine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000001,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,Glutamine(aq),0.0,0.0,0.0,ok,,GLU_INV_000001,M_b9e610ff2a36,Glutamine(aq),0.006741207995219156,glutamine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,H2O(l),0.9669621273166801,0.9735872235872235,1.0,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011955420050071552,glutamine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,HCN(aq),0.019339242546333603,0.012489762489762489,0.02,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011955420050071552,glutamine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040290088638195,1.6242695347942164e-57,0.004166666666666667,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011955420050071552,glutamine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,NH3(aq),0.009669621273166801,0.010851760851760851,0.01,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011955420050071552,glutamine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000002,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,Glutamine(aq),0.0,0.003071253071253071,0.0,ok,,GLU_INV_000002,M_b9e610ff2a36,Glutamine(aq),0.0011955420050071552,glutamine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
GLU_INV_000003,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,H2O(l),0.9630818619582665,0.9763681592039801,1.0,ok,,GLU_INV_000003,M_b9e610ff2a36,Glutamine(aq),0.0011051249894080684,glutamine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
GLU_INV_000003,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,HCN(aq),0.019261637239165328,0.005389718076285244,0.02,ok,,GLU_INV_000003,M_b9e610ff2a36,Glutamine(aq),0.0011051249894080684,glutamine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
GLU_INV_000003,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,C2H2(aq),0.008025682182985553,1.2232889200078278e-56,0.008333333333333333,ok,,GLU_INV_000003,M_b9e610ff2a36,Glutamine(aq),0.0011051249894080684,glutamine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
GLU_INV_000003,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,NH3(aq),0.009630818619582664,0.012023217247097845,0.01,ok,,GLU_INV_000003,M_b9e610ff2a36,Glutamine(aq),0.0011051249894080684,glutamine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
GLU_INV_000003,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,Glutamine(aq),0.0,0.006218905472636815,0.0,ok,,GLU_INV_000003,M_b9e610ff2a36,Glutamine(aq),0.0011051249894080684,glutamine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
GLU_INV_000004,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,H2O(l),0.9592326139088729,0.977427445360086,1.0,ok,,GLU_INV_000004,M_b9e610ff2a36,Glutamine(aq),0.0010398329905001447,glutamine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
GLU_INV_000004,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,HCN(aq),0.01918465227817746,3.483520807331295e-33,0.02,ok,,GLU_INV_000004,M_b9e610ff2a36,Glutamine(aq),0.0010398329905001447,glutamine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
GLU_INV_000004,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,C2H2(aq),0.011990407673860911,0.0010748835542816187,0.0125,ok,,GLU_INV_000004,M_b9e610ff2a36,Glutamine(aq),0.0010398329905001447,glutamine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
GLU_INV_000004,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,NH3(aq),0.00959232613908873,0.012898602651379435,0.01,ok,,GLU_INV_000004,M_b9e610ff2a36,Glutamine(aq),0.0010398329905001447,glutamine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
GLU_INV_000004,single_product_sensitivity,M_b9e610ff2a36.yaml,Glutamine(aq),0.0,273.15,101325.0,Glutamine(aq),0.0,0.008599068434252956,0.0,ok,,GLU_INV_000004,M_b9e610ff2a36,Glutamine(aq),0.0010398329905001447,glutamine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
