case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
GLU_INV_000001,GLU_INV_000001,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,06e51c6925ec5ffe,ok,0.006741207995219156,
GLU_INV_000002,GLU_INV_000002,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,5f7a5a727bd837dc,ok,0.0011955420050071552,
GLU_INV_000003,GLU_INV_000003,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,d938a61dd9d70ba1,ok,0.0011051249894080684,
GLU_INV_000004,GLU_INV_000004,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,8297e0c2dddea9c8,ok,0.0010398329905001447,
GLU_INV_000005,GLU_INV_000005,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,6e40408136d830e0,ok,0.001268666994292289,
GLU_INV_000006,GLU_INV_000006,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,197a99b8a8a7b3cf,ok,0.0010524999961489812,
GLU_INV_000007,GLU_INV_000007,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,beb01212a22cca55,ok,0.0010234579967800528,
GLU_INV_000008,GLU_INV_000008,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,1ee6e3a1c31e9b16,ok,0.0010674999939510599,
GLU_INV_000009,GLU_INV_000009,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,c92c5d1eccf7e5c7,ok,0.0010004170035244897,
GLU_INV_000010,GLU_INV_000010,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,9183fea0e4974398,ok,0.0010049999982584268,
GLU_INV_000011,GLU_INV_000011,M_b9e610ff2a36,models/M_b9e610ff2a36.yaml,Glutamine(aq),Glutamine(aq),0.0,101325.0,cb4a06fd4dd79cfb,ok,0.0010426669905427843,
