study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m200(aq),M_319794f095fd,0.0,101325.0,0.005709624994779,1.0,0.02,0.042,0.05,2.1,-200.0,GLY_DG_000001,0.0139275766016713,-1.8561244442423006,0.015000000000000001,-1.8239087409443187,True,significant,ok,nan,1.855525946448728e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m160(aq),M_3a84907066e7,0.0,101325.0,0.0058487919886829,1.0,0.02,0.042,0.05,2.1,-160.0,GLY_DG_000002,0.0139275766016713,-1.8561244442423006,0.015000000000000001,-1.8239087409443187,True,significant,ok,nan,1.855525946448728e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m120(aq),M_81afb6fc1d27,0.0,101325.0,0.0055212089937413,1.0,0.02,0.042,0.05,2.1,-120.0,GLY_DG_000003,0.0139275766016713,-1.8561244442423006,0.015000000000000001,-1.8239087409443187,True,significant,ok,nan,1.855525946448728e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m080(aq),M_e0771dce76ec,0.0,101325.0,0.0055423750018235,1.0,0.02,0.042,0.05,2.1,-80.0,GLY_DG_000004,0.0139275766016713,-1.8561244442423006,0.014999999999999993,-1.8239087409443189,True,significant,ok,nan,1.0308477480270719e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m040(aq),M_093a4e494ac1,0.0,101325.0,0.0056174580095103,1.0,0.02,0.042,0.05,2.1,-40.0,GLY_DG_000005,0.0139275766016713,-1.8561244442423006,0.015000000000000001,-1.8239087409443187,True,significant,ok,nan,1.855525946448728e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_000(aq),M_1729b89e0bd0,0.0,101325.0,0.0055764580029062,1.0,0.02,0.042,0.05,2.1,0.0,GLY_DG_000006,0.0139275766016713,-1.8561244442423006,0.014999999999999989,-1.823908740944319,True,significant,ok,nan,1.030847748027072e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p040(aq),M_6cc8a181f012,0.0,101325.0,0.0056313750101253,1.0,0.02,0.042,0.05,2.1,40.0,GLY_DG_000007,0.0139275766016711,-1.8561244442423068,0.014999999999999793,-1.8239087409443246,True,significant,ok,nan,2.680204144870384e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p080(aq),M_5578719842a4,0.0,101325.0,0.0062120420043356,1.0,0.02,0.042,0.05,2.1,80.0,GLY_DG_000008,0.0139275765193093,-1.856124446810541,0.01499999991408806,-1.8239087434317243,True,significant,ok,nan,1.2370172974022408e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p120(aq),M_f6aac2186b74,0.0,101325.0,0.005872374997125,1.0,0.02,0.042,0.05,2.1,120.0,GLY_DG_000009,0.0138827629647416,-1.8575240914513196,0.01495325008822879,-1.825264403193858,True,significant,ok,nan,3.298378719901728e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p160(aq),M_aaae960aec9d,0.0,101325.0,0.0058014160022139,1.0,0.02,0.042,0.05,2.1,160.0,GLY_DG_000010,7.036946270317011e-07,-6.152615764958667,7.825071404184213e-07,-6.106511690803661,True,trace,ok,nan,2.7955301916989396e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p200(aq),M_373e6d140286,0.0,101325.0,0.0054851250024512,1.0,0.02,0.042,0.05,2.1,200.0,GLY_DG_000011,1.5788458175802782e-14,-13.801660279012292,1.7556765491492058e-14,-13.75555549176627,False,below_threshold,ok,nan,1.9968040011244547e-15,False
glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.0,101325.0,0.0065941659995587,1.0,0.02,0.0,0.01,0.0,0.0,GLY_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,3.664813867694687e-15,False
glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.0,101325.0,0.00133487500716,1.0,0.02,0.0041666666666666,0.01,0.2083333333333333,0.0,GLY_INV_000002,0.0124378109452736,-1.9052560487484524,0.012499999999999966,-1.9030899869919449,True,significant,ok,nan,6.186317351145152e-15,False
glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.0,101325.0,0.0011581250000745,1.0,0.02,0.0083333333333333,0.01,0.4166666666666667,0.0,GLY_INV_000003,0.0149501661129568,-1.8253539818185,0.014999999999999989,-1.823908740944319,True,significant,ok,nan,8.852276608306896e-16,False
glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.0,101325.0,0.0010766249906737,1.0,0.02,0.0125,0.01,0.625,0.0,GLY_INV_000004,0.0148883374689826,-1.8271537957574666,0.014999999999999987,-1.823908740944319,True,significant,ok,nan,1.983525006774471e-15,False
glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.0,101325.0,0.0011674590059556,1.0,0.02,0.0166666666666666,0.01,0.8333333333333334,0.0,GLY_INV_000005,0.014827018121911,-1.8289461816359338,0.014999999999999961,-1.82390874094432,True,significant,ok,nan,3.0727754223562816e-15,False
glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.0,101325.0,0.0010172500042244,1.0,0.02,0.0208333333333333,0.01,1.0416666666666667,0.0,GLY_INV_000006,0.014766201804758,-1.8307312005150758,0.014999999999999998,-1.8239087409443189,True,significant,ok,nan,1.5300858747910281e-15,False
