case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
GLY_DG_000001,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m200(aq),M_319794f095fd,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0139275766016713,-1.8561244442423006,0.015000000000000001,-1.8239087409443187,True,significant,ok,0.005709624994779
GLY_DG_000002,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m160(aq),M_3a84907066e7,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0139275766016713,-1.8561244442423006,0.015000000000000001,-1.8239087409443187,True,significant,ok,0.0058487919886829
GLY_DG_000003,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m120(aq),M_81afb6fc1d27,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0139275766016713,-1.8561244442423006,0.015000000000000001,-1.8239087409443187,True,significant,ok,0.0055212089937413
GLY_DG_000004,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m080(aq),M_e0771dce76ec,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0139275766016713,-1.8561244442423006,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0055423750018235
GLY_DG_000005,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m040(aq),M_093a4e494ac1,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0139275766016713,-1.8561244442423006,0.015000000000000001,-1.8239087409443187,True,significant,ok,0.0056174580095103
GLY_DG_000006,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_000(aq),M_1729b89e0bd0,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0139275766016713,-1.8561244442423006,0.014999999999999989,-1.823908740944319,True,significant,ok,0.0055764580029062
GLY_DG_000007,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p040(aq),M_6cc8a181f012,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0139275766016711,-1.8561244442423068,0.014999999999999793,-1.8239087409443246,True,significant,ok,0.0056313750101253
GLY_DG_000008,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p080(aq),M_5578719842a4,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0139275765193093,-1.856124446810541,0.01499999991408806,-1.8239087434317243,True,significant,ok,0.0062120420043356
GLY_DG_000009,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p120(aq),M_f6aac2186b74,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0138827629647416,-1.8575240914513196,0.01495325008822879,-1.825264403193858,True,significant,ok,0.005872374997125
GLY_DG_000010,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p160(aq),M_aaae960aec9d,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,7.036946270317011e-07,-6.152615764958667,7.825071404184213e-07,-6.106511690803661,True,trace,ok,0.0058014160022139
GLY_DG_000011,glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p200(aq),M_373e6d140286,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,1.5788458175802782e-14,-13.801660279012292,1.7556765491492058e-14,-13.75555549176627,False,below_threshold,ok,0.0054851250024512
GLY_INV_000001,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0065941659995587
GLY_INV_000002,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0124378109452736,-1.9052560487484524,0.012499999999999966,-1.9030899869919449,True,significant,ok,0.00133487500716
GLY_INV_000003,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0149501661129568,-1.8253539818185,0.014999999999999989,-1.823908740944319,True,significant,ok,0.0011581250000745
GLY_INV_000004,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0148883374689826,-1.8271537957574666,0.014999999999999987,-1.823908740944319,True,significant,ok,0.0010766249906737
GLY_INV_000005,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.014827018121911,-1.8289461816359338,0.014999999999999961,-1.82390874094432,True,significant,ok,0.0011674590059556
GLY_INV_000006,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.014766201804758,-1.8307312005150758,0.014999999999999998,-1.8239087409443189,True,significant,ok,0.0010172500042244
GLY_INV_000007,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.025,1.25,0.0,0.0,101325.0,0.0147058823529411,-1.8325089127062386,0.014999999999999942,-1.8239087409443204,True,significant,ok,0.0010028750111814
GLY_INV_000008,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0146460537021969,-1.8342793777831483,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0010797499999171
GLY_INV_000009,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.0145867098865478,-1.8360426545939172,0.014999999999999994,-1.8239087409443189,True,significant,ok,0.0010163330007344
GLY_INV_000010,glycine,inventory_landscape,Glycine(aq),Glycine(aq),M_badfe1d3e92b,0.01,0.02,0.0375,1.875,0.0,0.0,101325.0,0.0145278450363196,-1.8377988012727577,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0010302500013494
