case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
HIS_INV_000001,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,HIS_INV_000001,M_3d28fa691bc3,c544e7f657f0f230
HIS_INV_000002,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,HIS_INV_000002,M_3d28fa691bc3,39046e982de3e007
HIS_INV_000003,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,HIS_INV_000003,M_3d28fa691bc3,a5bdaafc72cf65e7
HIS_INV_000004,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,HIS_INV_000004,M_3d28fa691bc3,fd9119eb84ce34cf
HIS_INV_000005,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,HIS_INV_000005,M_3d28fa691bc3,e12394aae995cf72
HIS_INV_000006,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,HIS_INV_000006,M_3d28fa691bc3,89c8308c8f870d4f
HIS_INV_000007,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,HIS_INV_000007,M_3d28fa691bc3,dd2beb9c670f010a
HIS_INV_000008,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,HIS_INV_000008,M_3d28fa691bc3,1facca1172101726
HIS_INV_000009,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,HIS_INV_000009,M_3d28fa691bc3,f353c3675a6a2d8f
HIS_INV_000010,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,HIS_INV_000010,M_3d28fa691bc3,844ec3d81b3e982c
HIS_INV_000011,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,HIS_INV_000011,M_3d28fa691bc3,8ade3027690225de
HIS_INV_000012,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,HIS_INV_000012,M_3d28fa691bc3,293eacc760c34ecd
HIS_INV_000013,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,HIS_INV_000013,M_3d28fa691bc3,9e9e62b9803c4654
HIS_INV_000014,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,HIS_INV_000014,M_3d28fa691bc3,f494a92cc1c1782a
HIS_INV_000015,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,HIS_INV_000015,M_3d28fa691bc3,555c954e92c88461
HIS_INV_000016,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,HIS_INV_000016,M_3d28fa691bc3,2ead1da898dbdf28
HIS_INV_000017,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,HIS_INV_000017,M_3d28fa691bc3,1d5e2f895da1f7b3
HIS_INV_000018,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,HIS_INV_000018,M_3d28fa691bc3,a1951285d3332f95
HIS_INV_000019,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,HIS_INV_000019,M_3d28fa691bc3,0fd840cf290c85ab
HIS_INV_000020,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,HIS_INV_000020,M_3d28fa691bc3,1de5e128bfcc0d9e
HIS_INV_000021,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,HIS_INV_000021,M_3d28fa691bc3,91593321ec7a0035
HIS_INV_000022,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.08750000000000001,0.01,4.375,0.0,0.0,101325.0,HIS_INV_000022,M_3d28fa691bc3,cf67a3908bf5eedf
HIS_INV_000023,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.09166666666666667,0.01,4.583333333333334,0.0,0.0,101325.0,HIS_INV_000023,M_3d28fa691bc3,f91ce3c3930607ef
HIS_INV_000024,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.09583333333333334,0.01,4.791666666666667,0.0,0.0,101325.0,HIS_INV_000024,M_3d28fa691bc3,6114630ac5bf4b12
HIS_INV_000025,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.1,0.01,5.0,0.0,0.0,101325.0,HIS_INV_000025,M_3d28fa691bc3,4184f1f1bedf0264
HIS_INV_000026,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0,0.01583333333333333,0.0,0.0,0.0,101325.0,HIS_INV_000026,M_3d28fa691bc3,35f03cb9adda3cc1
HIS_INV_000027,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.004166666666666667,0.01583333333333333,0.20833333333333334,0.0,0.0,101325.0,HIS_INV_000027,M_3d28fa691bc3,3c00805ef5e6df42
HIS_INV_000028,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.008333333333333333,0.01583333333333333,0.4166666666666667,0.0,0.0,101325.0,HIS_INV_000028,M_3d28fa691bc3,102c819e4291985b
