scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
HIS_INV_000001,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,H2O(l),0.970873786407767,0.970873786407767,1.0,ok,,HIS_INV_000001,M_3d28fa691bc3,Histidine(aq),0.006856332998722792,histidine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
HIS_INV_000001,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,HCN(aq),0.019417475728155338,0.01941747572815534,0.02,ok,,HIS_INV_000001,M_3d28fa691bc3,Histidine(aq),0.006856332998722792,histidine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
HIS_INV_000001,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,HIS_INV_000001,M_3d28fa691bc3,Histidine(aq),0.006856332998722792,histidine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
HIS_INV_000001,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,NH3(aq),0.009708737864077669,0.00970873786407767,0.01,ok,,HIS_INV_000001,M_3d28fa691bc3,Histidine(aq),0.006856332998722792,histidine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
HIS_INV_000001,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,Histidine(aq),0.0,0.0,0.0,ok,,HIS_INV_000001,M_3d28fa691bc3,Histidine(aq),0.006856332998722792,histidine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
HIS_INV_000002,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,H2O(l),0.9669621273166801,0.9766584766584766,1.0,ok,,HIS_INV_000002,M_3d28fa691bc3,Histidine(aq),0.0011014579940820113,histidine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
HIS_INV_000002,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,HCN(aq),0.019339242546333603,0.009418509418509418,0.02,ok,,HIS_INV_000002,M_3d28fa691bc3,Histidine(aq),0.0011014579940820113,histidine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
HIS_INV_000002,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040290088638195,2.2010382499038395e-60,0.004166666666666667,ok,,HIS_INV_000002,M_3d28fa691bc3,Histidine(aq),0.0011014579940820113,histidine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
HIS_INV_000002,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,NH3(aq),0.009669621273166801,0.01085176085176085,0.01,ok,,HIS_INV_000002,M_3d28fa691bc3,Histidine(aq),0.0011014579940820113,histidine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
HIS_INV_000002,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,Histidine(aq),0.0,0.0030712530712530706,0.0,ok,,HIS_INV_000002,M_3d28fa691bc3,Histidine(aq),0.0011014579940820113,histidine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
HIS_INV_000003,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,H2O(l),0.9630818619582665,0.9817820470354421,1.0,ok,,HIS_INV_000003,M_3d28fa691bc3,Histidine(aq),0.001263874990399927,histidine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
HIS_INV_000003,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,HCN(aq),0.019261637239165328,3.9096429214669043e-25,0.02,ok,,HIS_INV_000003,M_3d28fa691bc3,Histidine(aq),0.001263874990399927,histidine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
HIS_INV_000003,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,C2H2(aq),0.008025682182985553,0.00033123550844650526,0.008333333333333333,ok,,HIS_INV_000003,M_3d28fa691bc3,Histidine(aq),0.001263874990399927,histidine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
HIS_INV_000003,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,NH3(aq),0.009630818619582664,0.011924478304074193,0.01,ok,,HIS_INV_000003,M_3d28fa691bc3,Histidine(aq),0.001263874990399927,histidine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
HIS_INV_000003,single_product_sensitivity,M_3d28fa691bc3.yaml,Histidine(aq),0.0,273.15,101325.0,Histidine(aq),0.0,0.005962239152037098,0.0,ok,,HIS_INV_000003,M_3d28fa691bc3,Histidine(aq),0.001263874990399927,histidine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
