case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
HIS_DG_000001,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m200(aq),M_a0da5a90d3a9,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055394999944837
HIS_DG_000002,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m160(aq),M_e5224823e4e0,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055232499871635
HIS_DG_000003,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m120(aq),M_e7a42b31ef0d,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055691669986117
HIS_DG_000004,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m080(aq),M_b6d07dfd6527,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0084265000041341
HIS_DG_000005,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m040(aq),M_732a96194f52,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.005545665990212
HIS_DG_000006,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_000(aq),M_c571c71426b9,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0057488339953124
HIS_DG_000007,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p040(aq),M_c7f15cd3fb91,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.005626291007502
HIS_DG_000008,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p080(aq),M_39e486ef4ff7,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0056574170012027
HIS_DG_000009,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p120(aq),M_a4d26da39a2f,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0055240830115508
HIS_DG_000010,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p160(aq),M_4a914d8da323,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0055555555555555,-2.2552725051033105,0.005999999999999947,-2.22184874961636,True,significant,ok,0.0055688339925836
HIS_DG_000011,histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p200(aq),M_9ffffa198e7a,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0055555555555487,-2.255272505103842,0.005999999999992815,-2.2218487496168766,True,significant,ok,0.0055850420030765
HIS_INV_000001,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0068563329987227
HIS_INV_000002,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.003071253071253,-2.512684396217174,0.0031249999999999425,-2.505149978319914,True,significant,ok,0.001101457994082
HIS_INV_000003,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.005962239152037,-2.224590607919799,0.005999999999999942,-2.2218487496163606,True,significant,ok,0.0012638749903999
HIS_INV_000004,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0059376546264225,-2.226385067467684,0.0059999999999999585,-2.2218487496163593,True,significant,ok,0.0011339579941704
HIS_INV_000005,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0059132720105124,-2.2281721429952355,0.005999999999999947,-2.22184874961636,True,significant,ok,0.0011599589925026
HIS_INV_000006,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0058890888270898,-2.2299518950224937,0.005999999999999996,-2.2218487496163566,True,significant,ok,0.0010678750113584
HIS_INV_000007,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.025,1.25,0.0,0.0,101325.0,0.0058651026392961,-2.231724383328523,0.005999999999999934,-2.221848749616361,True,significant,ok,0.0010375830024713
HIS_INV_000008,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0058413110498134,-2.233489666963388,0.005999999999999997,-2.2218487496163566,True,significant,ok,0.0014435409975703
HIS_INV_000009,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.0058177117000646,-2.235247804260046,0.005999999999999968,-2.221848749616359,True,significant,ok,0.0010931659926427
HIS_INV_000010,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0375,1.875,0.0,0.0,101325.0,0.005794302269435,-2.236998852845832,0.005999999999999957,-2.2218487496163597,True,significant,ok,0.0010206669976469
HIS_INV_000011,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0416666666666666,2.083333333333333,0.0,0.0,101325.0,0.005771080474511,-2.238742869653842,0.005999999999999945,-2.2218487496163606,True,significant,ok,0.0013475000014295
HIS_INV_000012,histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_3d28fa691bc3,0.01,0.02,0.0458333333333333,2.291666666666667,0.0,0.0,101325.0,0.0057480440683378,-2.2404799109340248,0.005999999999999951,-2.22184874961636,True,significant,ok,0.0010592920007184
