case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ISO_INV_000001,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,ISO_INV_000001,M_68ce2d69476b,fe26db23cfe78b19
ISO_INV_000002,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,ISO_INV_000002,M_68ce2d69476b,2854f76889acd5eb
ISO_INV_000003,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,ISO_INV_000003,M_68ce2d69476b,d7423246749a7e49
ISO_INV_000004,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,ISO_INV_000004,M_68ce2d69476b,dae425d802f88205
ISO_INV_000005,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,ISO_INV_000005,M_68ce2d69476b,41388355f0c65791
ISO_INV_000006,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,ISO_INV_000006,M_68ce2d69476b,a91f0fa2ba15f35b
ISO_INV_000007,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,ISO_INV_000007,M_68ce2d69476b,6ffdd3589e0e9c53
ISO_INV_000008,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,ISO_INV_000008,M_68ce2d69476b,96c7200cba5d73d9
ISO_INV_000009,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,ISO_INV_000009,M_68ce2d69476b,8ca186928f4dac51
ISO_INV_000010,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,ISO_INV_000010,M_68ce2d69476b,8e2190885d62c6b0
ISO_INV_000011,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,ISO_INV_000011,M_68ce2d69476b,3e5d83d16bf1fc27
ISO_INV_000012,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,ISO_INV_000012,M_68ce2d69476b,b3d1164fbf68f12d
ISO_INV_000013,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,ISO_INV_000013,M_68ce2d69476b,2c5e408b6aa5fe18
ISO_INV_000014,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,ISO_INV_000014,M_68ce2d69476b,11e2e035787f6eac
ISO_INV_000015,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,ISO_INV_000015,M_68ce2d69476b,67730599ee011568
ISO_INV_000016,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,ISO_INV_000016,M_68ce2d69476b,b9cafcd38a9212b8
ISO_INV_000017,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,ISO_INV_000017,M_68ce2d69476b,c03b6c160bffac10
ISO_INV_000018,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,ISO_INV_000018,M_68ce2d69476b,fa47110b7d7a5c4e
ISO_INV_000019,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,ISO_INV_000019,M_68ce2d69476b,e3aa26606bf8d391
ISO_INV_000020,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,ISO_INV_000020,M_68ce2d69476b,99f1f635c2eade74
ISO_INV_000021,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,ISO_INV_000021,M_68ce2d69476b,96ea1daa4c92f348
ISO_INV_000022,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.08750000000000001,0.01,4.375,0.0,0.0,101325.0,ISO_INV_000022,M_68ce2d69476b,44f163abcc0aff39
ISO_INV_000023,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.09166666666666667,0.01,4.583333333333334,0.0,0.0,101325.0,ISO_INV_000023,M_68ce2d69476b,2440ecbb019d7858
ISO_INV_000024,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.09583333333333334,0.01,4.791666666666667,0.0,0.0,101325.0,ISO_INV_000024,M_68ce2d69476b,016f2900880928a7
ISO_INV_000025,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.1,0.01,5.0,0.0,0.0,101325.0,ISO_INV_000025,M_68ce2d69476b,445aa2868c5e8c07
ISO_INV_000026,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0,0.01583333333333333,0.0,0.0,0.0,101325.0,ISO_INV_000026,M_68ce2d69476b,5189fbc51735c8a9
ISO_INV_000027,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.004166666666666667,0.01583333333333333,0.20833333333333334,0.0,0.0,101325.0,ISO_INV_000027,M_68ce2d69476b,5c5c5c54e5eff3ee
