scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.970873786407767,0.970873786407767,1.0,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.006537542009027675,isoleucine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.019417475728155338,0.01941747572815534,0.02,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.006537542009027675,isoleucine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.006537542009027675,isoleucine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,NH3(aq),0.009708737864077669,0.00970873786407767,0.01,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.006537542009027675,isoleucine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ISO_INV_000001,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,Isoleucine(aq),0.0,0.0,0.0,ok,,ISO_INV_000001,M_68ce2d69476b,Isoleucine(aq),0.006537542009027675,isoleucine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.9669621273166801,0.9707950243374796,1.0,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.001520083998912014,isoleucine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.019339242546333603,0.019469983775013525,0.02,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.001520083998912014,isoleucine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040290088638195,4.751888717649678e-33,0.004166666666666667,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.001520083998912014,isoleucine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,NH3(aq),0.009669621273166801,0.0083829096809086,0.01,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.001520083998912014,isoleucine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ISO_INV_000002,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,Isoleucine(aq),0.0,0.0013520822065981612,0.0,ok,,ISO_INV_000002,M_68ce2d69476b,Isoleucine(aq),0.001520083998912014,isoleucine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.9630818619582665,0.9707158351409979,1.0,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.0011395830078981817,isoleucine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.019261637239165328,0.019522776572668116,0.02,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.0011395830078981817,isoleucine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.008025682182985553,6.348863563205055e-33,0.008333333333333333,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.0011395830078981817,isoleucine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,NH3(aq),0.009630818619582664,0.007049891540130154,0.01,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.0011395830078981817,isoleucine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ISO_INV_000003,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,Isoleucine(aq),0.0,0.002711496746203904,0.0,ok,,ISO_INV_000003,M_68ce2d69476b,Isoleucine(aq),0.0011395830078981817,isoleucine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
ISO_INV_000004,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,H2O(l),0.9592326139088729,0.970636215334421,1.0,ok,,ISO_INV_000004,M_68ce2d69476b,Isoleucine(aq),0.0010840830072993413,isoleucine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
ISO_INV_000004,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,HCN(aq),0.01918465227817746,0.019575856443719418,0.02,ok,,ISO_INV_000004,M_68ce2d69476b,Isoleucine(aq),0.0010840830072993413,isoleucine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
ISO_INV_000004,single_product_sensitivity,M_68ce2d69476b.yaml,Isoleucine(aq),0.0,273.15,101325.0,C2H2(aq),0.011990407673860911,7.804316027061766e-33,0.0125,ok,,ISO_INV_000004,M_68ce2d69476b,Isoleucine(aq),0.0010840830072993413,isoleucine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
