case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
LEU_INV_000001,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,LEU_INV_000001,M_93d276dffea4,75609d5caa7a2fda
LEU_INV_000002,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,LEU_INV_000002,M_93d276dffea4,b46a9a6203ab42d8
LEU_INV_000003,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,LEU_INV_000003,M_93d276dffea4,38d7b3fac1590752
LEU_INV_000004,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,LEU_INV_000004,M_93d276dffea4,faa376989b83034e
LEU_INV_000005,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,LEU_INV_000005,M_93d276dffea4,3123f367f9e6571d
LEU_INV_000006,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,LEU_INV_000006,M_93d276dffea4,8e6e7f52c68850b7
LEU_INV_000007,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,LEU_INV_000007,M_93d276dffea4,5257851363aa1a68
LEU_INV_000008,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,LEU_INV_000008,M_93d276dffea4,8385345ef101f027
LEU_INV_000009,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,LEU_INV_000009,M_93d276dffea4,2d4279ea7a6e3c1c
LEU_INV_000010,leucine,inventory_landscape,Leucine(aq),Leucine(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,LEU_INV_000010,M_93d276dffea4,2466d41a1b031671
