case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
LEU_INV_000001,LEU_INV_000001,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,75609d5caa7a2fda,ok,0.0063697090081404895,
LEU_INV_000002,LEU_INV_000002,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,b46a9a6203ab42d8,ok,0.0011305829975754023,
LEU_INV_000003,LEU_INV_000003,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,38d7b3fac1590752,ok,0.0010198749951086938,
LEU_INV_000004,LEU_INV_000004,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,faa376989b83034e,ok,0.0010106249974342063,
LEU_INV_000005,LEU_INV_000005,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,3123f367f9e6571d,ok,0.0010383750050095841,
LEU_INV_000006,LEU_INV_000006,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,8e6e7f52c68850b7,ok,0.0009672919986769557,
LEU_INV_000007,LEU_INV_000007,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,5257851363aa1a68,ok,0.0009721249953145161,
LEU_INV_000008,LEU_INV_000008,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,8385345ef101f027,ok,0.0012007499899482355,
LEU_INV_000009,LEU_INV_000009,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,2d4279ea7a6e3c1c,ok,0.0010756249976111576,
LEU_INV_000010,LEU_INV_000010,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,2466d41a1b031671,ok,0.000999541996861808,
LEU_INV_000011,LEU_INV_000011,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,0de0aa436b68933c,ok,0.000993084002402611,
LEU_INV_000012,LEU_INV_000012,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,0c650968f1c02eaa,ok,0.0009551670082146302,
LEU_INV_000013,LEU_INV_000013,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,2c141af6fd19808d,ok,0.0009728750010253862,
LEU_INV_000014,LEU_INV_000014,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,1946c3387e4b0ad3,ok,0.0011553749936865643,
LEU_INV_000015,LEU_INV_000015,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,d17eb7e1bf36cc6f,ok,0.0010586249991320074,
LEU_INV_000016,LEU_INV_000016,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,6daaa497519d1019,ok,0.001302875010878779,
LEU_INV_000017,LEU_INV_000017,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,cb5c4c3ce5485b58,ok,0.0011617920099524781,
LEU_INV_000018,LEU_INV_000018,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,853ab820eada78a5,ok,0.0010749579960247502,
LEU_INV_000019,LEU_INV_000019,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,b83a38b45c800a95,ok,0.0010821670002769679,
LEU_INV_000020,LEU_INV_000020,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,2a4488ebec59739f,ok,0.0009857080003712326,
LEU_INV_000021,LEU_INV_000021,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,097513d6ec58e0e4,ok,0.0009728330041980371,
LEU_INV_000022,LEU_INV_000022,M_93d276dffea4,models/M_93d276dffea4.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,35ddd393122eb553,ok,0.0010464999941177666,
