case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
LYS_INV_000001,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,LYS_INV_000001,M_2ef2c3a4f1b6,3eed663e7ab546e8
LYS_INV_000002,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,LYS_INV_000002,M_2ef2c3a4f1b6,b4bdacfca4bd301d
LYS_INV_000003,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,LYS_INV_000003,M_2ef2c3a4f1b6,46858dbb3c1741bd
LYS_INV_000004,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,LYS_INV_000004,M_2ef2c3a4f1b6,43ea7da6b83eb9bb
LYS_INV_000005,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,LYS_INV_000005,M_2ef2c3a4f1b6,c3b7bbdb4e370e36
LYS_INV_000006,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,LYS_INV_000006,M_2ef2c3a4f1b6,7dff84ae4d9240dd
LYS_INV_000007,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,LYS_INV_000007,M_2ef2c3a4f1b6,888bdfe7db141fac
LYS_INV_000008,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,LYS_INV_000008,M_2ef2c3a4f1b6,f5773f4bee95220d
LYS_INV_000009,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,LYS_INV_000009,M_2ef2c3a4f1b6,4df532d9c270fb94
LYS_INV_000010,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,LYS_INV_000010,M_2ef2c3a4f1b6,6653534358442477
LYS_INV_000011,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,LYS_INV_000011,M_2ef2c3a4f1b6,0446e1f9602f54bc
LYS_INV_000012,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,LYS_INV_000012,M_2ef2c3a4f1b6,322056e7a3b31fdc
LYS_INV_000013,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,LYS_INV_000013,M_2ef2c3a4f1b6,47c34cb7962c9aa9
LYS_INV_000014,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,LYS_INV_000014,M_2ef2c3a4f1b6,330dd7f42174c732
LYS_INV_000015,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,LYS_INV_000015,M_2ef2c3a4f1b6,b0eafa029d2fc662
LYS_INV_000016,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,LYS_INV_000016,M_2ef2c3a4f1b6,1ad1bfef95585988
LYS_INV_000017,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,LYS_INV_000017,M_2ef2c3a4f1b6,60ed44d586b26fea
LYS_INV_000018,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,LYS_INV_000018,M_2ef2c3a4f1b6,e59f67b110810bbc
LYS_INV_000019,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,LYS_INV_000019,M_2ef2c3a4f1b6,c530b2c18f19166c
LYS_INV_000020,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,LYS_INV_000020,M_2ef2c3a4f1b6,233dc65d70ce3e57
LYS_INV_000021,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,LYS_INV_000021,M_2ef2c3a4f1b6,3a23b8f812d609da
LYS_INV_000022,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.08750000000000001,0.01,4.375,0.0,0.0,101325.0,LYS_INV_000022,M_2ef2c3a4f1b6,aff89ecca41288c1
LYS_INV_000023,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.09166666666666667,0.01,4.583333333333334,0.0,0.0,101325.0,LYS_INV_000023,M_2ef2c3a4f1b6,91fa0019b71a6be2
LYS_INV_000024,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.09583333333333334,0.01,4.791666666666667,0.0,0.0,101325.0,LYS_INV_000024,M_2ef2c3a4f1b6,023df6c12ea95390
LYS_INV_000025,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.1,0.01,5.0,0.0,0.0,101325.0,LYS_INV_000025,M_2ef2c3a4f1b6,5c9e418ac01dd27a
LYS_INV_000026,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0,0.01583333333333333,0.0,0.0,0.0,101325.0,LYS_INV_000026,M_2ef2c3a4f1b6,4ae3e95a8e588bfd
LYS_INV_000027,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.004166666666666667,0.01583333333333333,0.20833333333333334,0.0,0.0,101325.0,LYS_INV_000027,M_2ef2c3a4f1b6,2538226fa07a1a58
LYS_INV_000028,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.008333333333333333,0.01583333333333333,0.4166666666666667,0.0,0.0,101325.0,LYS_INV_000028,M_2ef2c3a4f1b6,8073a387ebff0486
LYS_INV_000029,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0125,0.01583333333333333,0.625,0.0,0.0,101325.0,LYS_INV_000029,M_2ef2c3a4f1b6,2cfc2b2ac73cfb33
LYS_INV_000030,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.016666666666666666,0.01583333333333333,0.8333333333333334,0.0,0.0,101325.0,LYS_INV_000030,M_2ef2c3a4f1b6,9817fa9a45f3fc1a
LYS_INV_000031,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.020833333333333336,0.01583333333333333,1.0416666666666667,0.0,0.0,101325.0,LYS_INV_000031,M_2ef2c3a4f1b6,ab4ab9c45d407b2a
LYS_INV_000032,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.025,0.01583333333333333,1.25,0.0,0.0,101325.0,LYS_INV_000032,M_2ef2c3a4f1b6,dbe42145ca40fa5e
LYS_INV_000033,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.02916666666666667,0.01583333333333333,1.4583333333333335,0.0,0.0,101325.0,LYS_INV_000033,M_2ef2c3a4f1b6,47be7d51c7d20d9c
LYS_INV_000034,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.03333333333333333,0.01583333333333333,1.6666666666666667,0.0,0.0,101325.0,LYS_INV_000034,M_2ef2c3a4f1b6,363c6b81a4cd9b43
