study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m200(aq),M_e3c1f95ff58d,0.0,101325.0,0.0054552920046262,1.0,0.02,0.042,0.05,2.1,-200.0,LYS_DG_000001,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m160(aq),M_8ededdb20164,0.0,101325.0,0.0055470000079367,1.0,0.02,0.042,0.05,2.1,-160.0,LYS_DG_000002,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m120(aq),M_24307822855c,0.0,101325.0,0.0055103750055423,1.0,0.02,0.042,0.05,2.1,-120.0,LYS_DG_000003,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m080(aq),M_90b2d3df7df0,0.0,101325.0,0.0059639170067384,1.0,0.02,0.042,0.05,2.1,-80.0,LYS_DG_000004,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m040(aq),M_efcf4b463ff8,0.0,101325.0,0.0055767919984646,1.0,0.02,0.042,0.05,2.1,-40.0,LYS_DG_000005,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_000(aq),M_58dc5700bf92,0.0,101325.0,0.0056266250030603,1.0,0.02,0.042,0.05,2.1,0.0,LYS_DG_000006,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p040(aq),M_4e05bd30a7ab,0.0,101325.0,0.0055287079885602,1.0,0.02,0.042,0.05,2.1,40.0,LYS_DG_000007,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p080(aq),M_fe500f1c4c0d,0.0,101325.0,0.0057434170012129,1.0,0.02,0.042,0.05,2.1,80.0,LYS_DG_000008,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p120(aq),M_2f1471c27b48,0.0,101325.0,0.005680417001713,1.0,0.02,0.042,0.05,2.1,120.0,LYS_DG_000009,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p160(aq),M_e364b475502c,0.0,101325.0,0.005724624992581,1.0,0.02,0.042,0.05,2.1,160.0,LYS_DG_000010,0.0153996577853825,-1.8124889300447935,0.015749999999999986,-1.802719441874381,True,significant,ok,nan,4.55921457191459e-15,False
lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p200(aq),M_ed0bcface25c,0.0,101325.0,0.0054674169950885,1.0,0.02,0.042,0.05,2.1,200.0,LYS_DG_000011,0.0153996577853825,-1.8124889300447935,0.01574999999999998,-1.8027194418743813,True,significant,ok,nan,2.822370925470938e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_2ef2c3a4f1b6,0.0,101325.0,0.0066562499996507,1.0,0.02,0.0,0.01,0.0,0.0,LYS_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,3.664813867694687e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_2ef2c3a4f1b6,0.0,101325.0,0.0015827080060262,1.0,0.02,0.0041666666666666,0.01,0.2083333333333333,0.0,LYS_INV_000002,0.0015239256324291,-2.8170362260500394,0.0015624999999999656,-2.806179973983897,True,significant,ok,nan,4.547820009436777e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_2ef2c3a4f1b6,0.0,101325.0,0.0011678750015562,1.0,0.02,0.0083333333333333,0.01,0.4166666666666667,0.0,LYS_INV_000003,0.0030618493570116,-2.514016180400654,0.003124999999999973,-2.50514997831991,True,significant,ok,nan,6.526724455849035e-15,False
lysine,inventory_landscape,Lysine(aq),Lysine(aq),M_2ef2c3a4f1b6,0.0,101325.0,0.0013521660002879,1.0,0.02,0.0125,0.01,0.625,0.0,LYS_INV_000004,0.0046139649338665,-2.3359257104404456,0.004687499999999998,-2.329058719264225,True,significant,ok,nan,6.556838533621348e-16,False
