case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
LYS_INV_000001,LYS_INV_000001,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,3eed663e7ab546e8,ok,0.006656249999650754,
LYS_INV_000002,LYS_INV_000002,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,b4bdacfca4bd301d,ok,0.0015827080060262233,
LYS_INV_000003,LYS_INV_000003,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,46858dbb3c1741bd,ok,0.00116787500155624,
LYS_INV_000004,LYS_INV_000004,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,43ea7da6b83eb9bb,ok,0.0013521660002879798,
LYS_INV_000005,LYS_INV_000005,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,c3b7bbdb4e370e36,ok,0.0010257079993607476,
LYS_INV_000006,LYS_INV_000006,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,7dff84ae4d9240dd,ok,0.0010087499977089465,
LYS_INV_000007,LYS_INV_000007,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,888bdfe7db141fac,ok,0.0012836249952670187,
LYS_INV_000008,LYS_INV_000008,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,f5773f4bee95220d,ok,0.0009923749894369394,
LYS_INV_000009,LYS_INV_000009,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,4df532d9c270fb94,ok,0.0009775409998837858,
LYS_INV_000010,LYS_INV_000010,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,6653534358442477,ok,0.0010204169957432896,
LYS_INV_000011,LYS_INV_000011,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,0446e1f9602f54bc,ok,0.0009802079875953496,
LYS_INV_000012,LYS_INV_000012,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,322056e7a3b31fdc,ok,0.000956667005084455,
LYS_INV_000013,LYS_INV_000013,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,47c34cb7962c9aa9,ok,0.0012727090070256963,
LYS_INV_000014,LYS_INV_000014,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,330dd7f42174c732,ok,0.0010630839969962835,
LYS_INV_000015,LYS_INV_000015,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,b0eafa029d2fc662,ok,0.0010118329955730587,
LYS_INV_000016,LYS_INV_000016,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,1ad1bfef95585988,ok,0.0012479580036597326,
LYS_INV_000017,LYS_INV_000017,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,60ed44d586b26fea,ok,0.001033415988786146,
LYS_INV_000018,LYS_INV_000018,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,e59f67b110810bbc,ok,0.0010084169916808605,
LYS_INV_000019,LYS_INV_000019,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,c530b2c18f19166c,ok,0.0010573329927865416,
LYS_INV_000020,LYS_INV_000020,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,233dc65d70ce3e57,ok,0.0009938329894794151,
LYS_INV_000021,LYS_INV_000021,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,3a23b8f812d609da,ok,0.0010324589966330677,
LYS_INV_000022,LYS_INV_000022,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,aff89ecca41288c1,ok,0.001041166004142724,
LYS_INV_000023,LYS_INV_000023,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,91fa0019b71a6be2,ok,0.000949624998611398,
LYS_INV_000024,LYS_INV_000024,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,023df6c12ea95390,ok,0.0009745830029714853,
LYS_INV_000025,LYS_INV_000025,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,5c9e418ac01dd27a,ok,0.0009946250065695494,
LYS_INV_000026,LYS_INV_000026,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,4ae3e95a8e588bfd,ok,0.0009603749931557104,
LYS_INV_000027,LYS_INV_000027,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,2538226fa07a1a58,ok,0.0009631249995436519,
LYS_INV_000028,LYS_INV_000028,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,8073a387ebff0486,ok,0.0009857089899014682,
LYS_INV_000029,LYS_INV_000029,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,2cfc2b2ac73cfb33,ok,0.0009733330080052838,
LYS_INV_000030,LYS_INV_000030,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,9817fa9a45f3fc1a,ok,0.0010207919985987246,
LYS_INV_000031,LYS_INV_000031,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,ab4ab9c45d407b2a,ok,0.0009868750057648867,
LYS_INV_000032,LYS_INV_000032,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,dbe42145ca40fa5e,ok,0.0009584999934304506,
LYS_INV_000033,LYS_INV_000033,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,47be7d51c7d20d9c,ok,0.0009762499976204708,
LYS_INV_000034,LYS_INV_000034,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,363c6b81a4cd9b43,ok,0.0009529579983791336,
LYS_INV_000035,LYS_INV_000035,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,d405d158dc957376,ok,0.0009595000010449439,
LYS_INV_000036,LYS_INV_000036,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,4a91bac9ca18b089,ok,0.0010689580085454509,
LYS_INV_000037,LYS_INV_000037,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,7c8df80c76beb00c,ok,0.0010029999975813553,
LYS_INV_000038,LYS_INV_000038,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,d02700a840b3fdee,ok,0.0010562499955995008,
LYS_INV_000039,LYS_INV_000039,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,47923bda01724e5c,ok,0.0010429579997435212,
LYS_INV_000040,LYS_INV_000040,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,f7ce2ea6fe904697,ok,0.0010157080105273053,
LYS_INV_000041,LYS_INV_000041,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,5006f17af2cee1b0,ok,0.0012296250060899183,
LYS_INV_000042,LYS_INV_000042,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,db373e7711388f6e,ok,0.0010073330049635842,
LYS_INV_000043,LYS_INV_000043,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,13982ee37c1dd9f2,ok,0.0009601250058040023,
LYS_INV_000044,LYS_INV_000044,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,f253a6efc0db0f2f,ok,0.0010003750066971406,
LYS_INV_000045,LYS_INV_000045,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,5e9f9c6d6d6f104d,ok,0.0009563750063534826,
LYS_INV_000046,LYS_INV_000046,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,31ab754c4cc0a638,ok,0.0009567079978296533,
LYS_INV_000047,LYS_INV_000047,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,969034e042cf166b,ok,0.0009881659934762865,
LYS_INV_000048,LYS_INV_000048,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,8d915707844c4eb5,ok,0.000986750004813075,
LYS_INV_000049,LYS_INV_000049,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,6624b8a96c05f51a,ok,0.0012038339918944985,
LYS_INV_000050,LYS_INV_000050,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,1ba58e9570c553c3,ok,0.0010162079997826368,
LYS_INV_000051,LYS_INV_000051,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,06530b4759e96563,ok,0.0009692079911474138,
LYS_INV_000052,LYS_INV_000052,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,28e11fd2a41943e8,ok,0.001480165999964811,
LYS_INV_000053,LYS_INV_000053,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,9e3080eeb059d40b,ok,0.0010095420002471656,
LYS_INV_000054,LYS_INV_000054,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,d7abe9918050a0ca,ok,0.0009908330102916807,
LYS_INV_000055,LYS_INV_000055,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,90155b75c95a437c,ok,0.0010135000047739595,
LYS_INV_000056,LYS_INV_000056,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,6fef196c09b0213d,ok,0.0009618750045774505,
LYS_INV_000057,LYS_INV_000057,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,9612c2ebb5ac8496,ok,0.0009639579948270693,
LYS_INV_000058,LYS_INV_000058,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,a1b93136b3a64567,ok,0.0010597910004435107,
LYS_INV_000059,LYS_INV_000059,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,5de0197a0b284000,ok,0.0010165830026380718,
LYS_INV_000060,LYS_INV_000060,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,ea42e03aac4af74b,ok,0.0010716250108089298,
LYS_INV_000061,LYS_INV_000061,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,1b7342f6fd8ecd96,ok,0.0009783329878700897,
LYS_INV_000062,LYS_INV_000062,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,45009d7457c25007,ok,0.0009543329942971468,
LYS_INV_000063,LYS_INV_000063,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,09a4c5ecbe89addb,ok,0.0009950829989975318,
LYS_INV_000064,LYS_INV_000064,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,acd529cb7a32ccc6,ok,0.0009939589945133775,
LYS_INV_000065,LYS_INV_000065,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,4bf8d1634fec0fc0,ok,0.0009876669937511906,
LYS_INV_000066,LYS_INV_000066,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,59fc878bd1b6387a,ok,0.0010220830008620396,
LYS_INV_000067,LYS_INV_000067,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,97ac3c29c1051ee6,ok,0.0009767499868758023,
LYS_INV_000068,LYS_INV_000068,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,c2aaafa28eb2649b,ok,0.0010532079904805869,
LYS_INV_000069,LYS_INV_000069,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,94acab4dfce9d524,ok,0.0010119590006070212,
LYS_INV_000070,LYS_INV_000070,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,6f40108e9a732b3f,ok,0.0009874590032268316,
LYS_INV_000071,LYS_INV_000071,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,9ce00fcdd9e83901,ok,0.0010127499990630895,
LYS_INV_000072,LYS_INV_000072,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,0613c3e9f19c5d9b,ok,0.0010017080057878047,
LYS_INV_000073,LYS_INV_000073,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,8fdaada9caafc9d5,ok,0.001127916999394074,
LYS_INV_000074,LYS_INV_000074,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,8c2b43d732fe23a0,ok,0.0010020000045187771,
LYS_INV_000075,LYS_INV_000075,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,83c6d896a7da179f,ok,0.000970749999396503,
LYS_INV_000076,LYS_INV_000076,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,e527ead54146ebf5,ok,0.0010107910056831315,
LYS_INV_000077,LYS_INV_000077,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,8aecefdefc84a5d8,ok,0.0009620829951018095,
LYS_INV_000078,LYS_INV_000078,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,e59fdb0fa7ab7043,ok,0.0009623750083846971,
LYS_INV_000079,LYS_INV_000079,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,a8db8036d190fcd9,ok,0.0009707910066936165,
LYS_INV_000080,LYS_INV_000080,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,c89dbc94ec6939d2,ok,0.0009755840001162142,
LYS_INV_000081,LYS_INV_000081,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,ebd6abee490bb125,ok,0.0010394580021966249,
LYS_INV_000082,LYS_INV_000082,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,0e57f92891883ab7,ok,0.0009635410096962005,
LYS_INV_000083,LYS_INV_000083,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,db238bcbc7fe7a0f,ok,0.0009619589982321486,
LYS_INV_000084,LYS_INV_000084,M_2ef2c3a4f1b6,models/M_2ef2c3a4f1b6.yaml,Lysine(aq),Lysine(aq),0.0,101325.0,70772400861b4199,ok,0.0010072079894598573,
