scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.970873786407767,0.970873786407767,1.0,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069632090016966686,phenylalanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.019417475728155338,0.01941747572815534,0.02,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069632090016966686,phenylalanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069632090016966686,phenylalanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.009708737864077669,0.00970873786407767,0.01,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069632090016966686,phenylalanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
PHE_INV_000001,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine(aq),0.0,0.0,0.0,ok,,PHE_INV_000001,M_fa595e829adc,Phenylalanine(aq),0.0069632090016966686,phenylalanine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,H2O(l),0.9669621273166801,0.970809376382132,1.0,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.0011112500069430098,phenylalanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,HCN(aq),0.019339242546333603,0.017617573345127528,0.02,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.0011112500069430098,phenylalanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040290088638195,1.3989240080181767e-40,0.004166666666666667,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.0011112500069430098,phenylalanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,NH3(aq),0.009669621273166801,0.01046734483266991,0.01,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.0011112500069430098,phenylalanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
PHE_INV_000002,single_product_sensitivity,M_fa595e829adc.yaml,Phenylalanine(aq),0.0,273.15,101325.0,Phenylalanine(aq),0.0,0.0011057054400707656,0.0,ok,,PHE_INV_000002,M_fa595e829adc,Phenylalanine(aq),0.0011112500069430098,phenylalanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
