case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
PHE_DG_000001,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m200(aq),M_547d0809b1c6,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.0058439999993424
PHE_DG_000002,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m160(aq),M_4cbe92d859dd,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.0058401249989401
PHE_DG_000003,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m120(aq),M_1e4e71d018b2,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.0058260410005459
PHE_DG_000004,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m080(aq),M_857ea6b6e263,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.0055443339952034
PHE_DG_000005,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_m040(aq),M_6e42f226d6ac,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.0055040410079527
PHE_DG_000006,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_000(aq),M_66f785b13967,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.006012957994244
PHE_DG_000007,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p040(aq),M_825ac122996c,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.0066712080006254
PHE_DG_000008,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p080(aq),M_9d203be6aa30,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.006506707999506
PHE_DG_000009,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p120(aq),M_83b386a4dc6b,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.0056512920127715
PHE_DG_000010,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p160(aq),M_fb58e530291d,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.005599833006272
PHE_DG_000011,phenylalanine,deltaG_sweep,Phenylalanine(aq),Phenylalanine__dG_p200(aq),M_a4906dcf30f0,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0109393992012502,-1.9610065290763252,0.011454545454545446,-1.9410221400406624,True,significant,ok,0.0055481669987784
PHE_INV_000001,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_fa595e829adc,0.01,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0069632090016966
PHE_INV_000002,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_fa595e829adc,0.01,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0011057054400707,-2.9563605536733477,0.0011363636363635713,-2.9444826721501935,True,significant,ok,0.001111250006943
PHE_INV_000003,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_fa595e829adc,0.01,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0022163120567375,-2.6543690909753033,0.0022727272727271885,-2.6434526764862034,True,significant,ok,0.0010422920022392
PHE_INV_000004,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_fa595e829adc,0.01,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0033318525099955,-2.4773142316088275,0.003409090909090857,-2.4673614174305127,True,significant,ok,0.001594750006916
PHE_INV_000005,phenylalanine,inventory_landscape,Phenylalanine(aq),Phenylalanine(aq),M_fa595e829adc,0.01,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0044523597506678,-2.3514097519254444,0.004545454545454501,-2.3424226808222106,True,significant,ok,0.0012217500043334
