case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
PRO_INV_000001,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,PRO_INV_000001,M_ca07d559b188,29ccafa1cc158cff
PRO_INV_000002,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,PRO_INV_000002,M_ca07d559b188,8ba87a36c9147e20
PRO_INV_000003,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,PRO_INV_000003,M_ca07d559b188,b52eff3058e74e98
PRO_INV_000004,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,PRO_INV_000004,M_ca07d559b188,a62e9f4cf9ae3513
PRO_INV_000005,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,PRO_INV_000005,M_ca07d559b188,f7cc1fb7ba442cb1
PRO_INV_000006,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,PRO_INV_000006,M_ca07d559b188,c1473fe49029e3e4
PRO_INV_000007,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,PRO_INV_000007,M_ca07d559b188,41dde55039592c50
PRO_INV_000008,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,PRO_INV_000008,M_ca07d559b188,5f052389de12b442
PRO_INV_000009,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,PRO_INV_000009,M_ca07d559b188,33a6888291724145
PRO_INV_000010,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,PRO_INV_000010,M_ca07d559b188,b347af251e591a4f
PRO_INV_000011,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,PRO_INV_000011,M_ca07d559b188,3b14fe915c4d4afd
PRO_INV_000012,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,PRO_INV_000012,M_ca07d559b188,3fb147bc3c2976ef
PRO_INV_000013,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,PRO_INV_000013,M_ca07d559b188,fdaa6a5b90e699aa
PRO_INV_000014,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,PRO_INV_000014,M_ca07d559b188,dedbc072b38e7fcc
PRO_INV_000015,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,PRO_INV_000015,M_ca07d559b188,a2d866789644b335
PRO_INV_000016,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,PRO_INV_000016,M_ca07d559b188,e17ce86da425e1fe
PRO_INV_000017,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,PRO_INV_000017,M_ca07d559b188,ea17270f0007c47c
PRO_INV_000018,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,PRO_INV_000018,M_ca07d559b188,40d7d02fc44b8f28
PRO_INV_000019,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,PRO_INV_000019,M_ca07d559b188,5aaa24ac9a9e83f1
PRO_INV_000020,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,PRO_INV_000020,M_ca07d559b188,529b870da2d6c03b
PRO_INV_000021,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,PRO_INV_000021,M_ca07d559b188,d8c1a6e69d5a4a87
PRO_INV_000022,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.08750000000000001,0.01,4.375,0.0,0.0,101325.0,PRO_INV_000022,M_ca07d559b188,02fb0dc5e9ceb125
PRO_INV_000023,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.09166666666666667,0.01,4.583333333333334,0.0,0.0,101325.0,PRO_INV_000023,M_ca07d559b188,1ce6ea43fa9e3c7b
PRO_INV_000024,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.09583333333333334,0.01,4.791666666666667,0.0,0.0,101325.0,PRO_INV_000024,M_ca07d559b188,6721c606415124e2
PRO_INV_000025,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.1,0.01,5.0,0.0,0.0,101325.0,PRO_INV_000025,M_ca07d559b188,bb7c67352b95b3da
PRO_INV_000026,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.0,0.01583333333333333,0.0,0.0,0.0,101325.0,PRO_INV_000026,M_ca07d559b188,3ae79d84bdaa0a35
PRO_INV_000027,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.004166666666666667,0.01583333333333333,0.20833333333333334,0.0,0.0,101325.0,PRO_INV_000027,M_ca07d559b188,8b9156ea3a3f886d
PRO_INV_000028,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.008333333333333333,0.01583333333333333,0.4166666666666667,0.0,0.0,101325.0,PRO_INV_000028,M_ca07d559b188,da75099753b4f345
PRO_INV_000029,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.0125,0.01583333333333333,0.625,0.0,0.0,101325.0,PRO_INV_000029,M_ca07d559b188,bafea2dfec8f63dd
PRO_INV_000030,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.016666666666666666,0.01583333333333333,0.8333333333333334,0.0,0.0,101325.0,PRO_INV_000030,M_ca07d559b188,8eb7c730819bef93
PRO_INV_000031,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.020833333333333336,0.01583333333333333,1.0416666666666667,0.0,0.0,101325.0,PRO_INV_000031,M_ca07d559b188,abb266a2bc6b5e46
PRO_INV_000032,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.025,0.01583333333333333,1.25,0.0,0.0,101325.0,PRO_INV_000032,M_ca07d559b188,5d9edeedfccbe806
PRO_INV_000033,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.02916666666666667,0.01583333333333333,1.4583333333333335,0.0,0.0,101325.0,PRO_INV_000033,M_ca07d559b188,9c6488a2f7e54015
PRO_INV_000034,proline,inventory_landscape,Proline(aq),Proline(aq),1.0,0.02,0.03333333333333333,0.01583333333333333,1.6666666666666667,0.0,0.0,101325.0,PRO_INV_000034,M_ca07d559b188,0147cf91b0e66aca
