study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
proline,deltaG_sweep,Proline(aq),Proline__dG_m200(aq),M_dd4cf420b818,0.0,101325.0,0.0057909160095732,1.0,0.02,0.042,0.05,2.1,-200.0,PRO_DG_000001,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,nan,1.2909570053780883e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_m160(aq),M_d2fed00085c2,0.0,101325.0,0.0058147499948972,1.0,0.02,0.042,0.05,2.1,-160.0,PRO_DG_000002,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,nan,1.2909570053780883e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_m120(aq),M_4650e199e97b,0.0,101325.0,0.0084721659950446,1.0,0.02,0.042,0.05,2.1,-120.0,PRO_DG_000003,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,nan,1.2909570053780883e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_m080(aq),M_21063c3a787a,0.0,101325.0,0.0057200840092264,1.0,0.02,0.042,0.05,2.1,-80.0,PRO_DG_000004,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,nan,1.2909570053780883e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_m040(aq),M_9717b513e0e2,0.0,101325.0,0.005550415997277,1.0,0.02,0.042,0.05,2.1,-40.0,PRO_DG_000005,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,nan,1.2909570053780883e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_000(aq),M_5846b8b6a179,0.0,101325.0,0.0055850420030765,1.0,0.02,0.042,0.05,2.1,0.0,PRO_DG_000006,0.0193798449612403,-1.7126497016272115,0.020000000000000004,-1.6989700043360187,True,significant,ok,nan,1.0757975044817402e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p040(aq),M_d9a050b9102a,0.0,101325.0,0.0056944170064525,1.0,0.02,0.042,0.05,2.1,40.0,PRO_DG_000007,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,nan,1.2909570053780883e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p080(aq),M_a226d20f4e8e,0.0,101325.0,0.0058674590109148,1.0,0.02,0.042,0.05,2.1,80.0,PRO_DG_000008,0.0193798449612403,-1.7126497016272115,0.020000000000000004,-1.6989700043360187,True,significant,ok,nan,1.0757975044817402e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p120(aq),M_948a48449007,0.0,101325.0,0.0062343750032596,1.0,0.02,0.042,0.05,2.1,120.0,PRO_DG_000009,0.0193798449612403,-1.7126497016272115,0.020000000000000004,-1.6989700043360187,True,significant,ok,nan,1.0757975044817402e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p160(aq),M_bd3d93be7918,0.0,101325.0,0.0055204160016728,1.0,0.02,0.042,0.05,2.1,160.0,PRO_DG_000010,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,nan,1.2909570053780883e-15,False
proline,deltaG_sweep,Proline(aq),Proline__dG_p200(aq),M_d17b7b0d9ab5,0.0,101325.0,0.0055355420045088,1.0,0.02,0.042,0.05,2.1,200.0,PRO_DG_000011,0.0193798449612403,-1.7126497016272115,0.019999999999999997,-1.698970004336019,True,significant,ok,nan,1.2909570053780883e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0066579169942997,1.0,0.02,0.0,0.01,0.0,0.0,PRO_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,3.664813867694687e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0013749999925494,1.0,0.02,0.0041666666666666,0.01,0.2083333333333333,0.0,PRO_INV_000002,0.0020308692120227,-2.6923180442592884,0.002083333333333291,-2.681241237375596,True,significant,ok,nan,4.761963907409272e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0010851669940166,1.0,0.02,0.0083333333333333,0.01,0.4166666666666667,0.0,PRO_INV_000003,0.0040783034257748,-2.3895204658463856,0.0041666666666665955,-2.3802112417116135,True,significant,ok,nan,9.780104947758293e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0010229999898001,1.0,0.02,0.0125,0.01,0.625,0.0,PRO_INV_000004,0.0061425061425061,-2.2116544005531855,0.006249999999999965,-2.2041199826559272,True,significant,ok,nan,5.45564139864941e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0015696659975219,1.0,0.02,0.0166666666666666,0.01,0.8333333333333334,0.0,PRO_INV_000005,0.0082236842105263,-2.084933574936717,0.008333333333333316,-2.0791812460476256,True,significant,ok,nan,5.039828203890514e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0011102919961558,1.0,0.02,0.0208333333333333,0.01,1.0416666666666667,0.0,PRO_INV_000006,0.0103220478943022,-1.986234130134997,0.010416666666666649,-1.982271233039569,True,significant,ok,nan,4.18052600519464e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0010509999992791,1.0,0.02,0.025,0.01,1.25,0.0,PRO_INV_000007,0.0124378109452736,-1.9052560487484524,0.012499999999999989,-1.903089986991944,True,significant,ok,nan,3.755978391766693e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0012711659946944,1.0,0.02,0.0291666666666666,0.01,1.4583333333333337,0.0,PRO_INV_000008,0.0145711906744379,-1.8365049587166136,0.014583333333333287,-1.8361431973613318,True,significant,ok,nan,5.546493045587785e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0010584999981801,1.0,0.02,0.0333333333333333,0.01,1.6666666666666667,0.0,PRO_INV_000009,0.0167224080267558,-1.7767011839884121,0.01666666666666664,-1.7781512503836443,True,significant,ok,nan,4.455744580435404e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0010114999895449,1.0,0.02,0.0375,0.01,1.875,0.0,PRO_INV_000010,0.0188916876574307,-1.7237292433714158,0.01874999999999999,-1.7269987279362626,True,significant,ok,nan,2.0135027146854204e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0011076670052716,1.0,0.02,0.0416666666666666,0.01,2.083333333333333,0.0,PRO_INV_000011,0.0201680672268907,-1.695335719680926,0.019999999999999973,-1.6989700043360194,True,significant,ok,nan,4.366255256509012e-15,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0010372499964432,1.0,0.02,0.0458333333333333,0.01,2.291666666666667,0.0,PRO_INV_000012,0.0200836820083682,-1.6971566635725506,0.02,-1.6989700043360187,True,significant,ok,nan,6.689209855482114e-16,False
proline,inventory_landscape,Proline(aq),Proline(aq),M_ca07d559b188,0.0,101325.0,0.0009825000015553,1.0,0.02,0.05,0.01,2.5,0.0,PRO_INV_000013,0.0199999999999999,-1.698970004336021,0.019999999999999945,-1.69897000433602,True,significant,ok,nan,6.439293542825894e-15,False
