study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
serine,deltaG_sweep,Serine(aq),Serine__dG_m200(aq),M_c68cdd0d8195,0.0,101325.0,0.006248207995668,1.0,0.02,0.042,0.05,2.1,-200.0,SER_DG_000001,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_m160(aq),M_1b087787f2c4,0.0,101325.0,0.0057563330046832,1.0,0.02,0.042,0.05,2.1,-160.0,SER_DG_000002,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_m120(aq),M_101c1b6765c1,0.0,101325.0,0.0054852910107001,1.0,0.02,0.042,0.05,2.1,-120.0,SER_DG_000003,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_m080(aq),M_e5ca8ea2701e,0.0,101325.0,0.0055442919983761,1.0,0.02,0.042,0.05,2.1,-80.0,SER_DG_000004,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_m040(aq),M_37f5ed544d3c,0.0,101325.0,0.0054684159986209,1.0,0.02,0.042,0.05,2.1,-40.0,SER_DG_000005,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_000(aq),M_e47b82f180a4,0.0,101325.0,0.0056269580090884,1.0,0.02,0.042,0.05,2.1,0.0,SER_DG_000006,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,nan,3.3265109352064586e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p040(aq),M_b8c42041f6f5,0.0,101325.0,0.0086051249963929,1.0,0.02,0.042,0.05,2.1,40.0,SER_DG_000007,0.0112359550561797,-1.9493900066449157,0.011999999999999936,-1.9208187539523776,True,significant,ok,nan,2.91069706830565e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p080(aq),M_9bd8fdbaf4c4,0.0,101325.0,0.0059416660078568,1.0,0.02,0.042,0.05,2.1,80.0,SER_DG_000008,0.0112359550551875,-1.9493900066832663,0.011999999998982198,-1.9208187539892108,True,significant,ok,nan,3.118604001745156e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p120(aq),M_b80f25520713,0.0,101325.0,0.0057491250045131,1.0,0.02,0.042,0.05,2.1,120.0,SER_DG_000009,0.0112359165051101,-1.9493914967314672,0.011999960456581601,-1.920820185078767,True,significant,ok,nan,2.07906905224796e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p160(aq),M_489a8d50ec60,0.0,101325.0,0.0058283749967813,1.0,0.02,0.042,0.05,2.1,160.0,SER_DG_000010,0.0098726928399788,-2.0055643745809593,0.010594900381874875,-1.9749031223704052,True,significant,ok,nan,2.6898144700202976e-15,False
serine,deltaG_sweep,Serine(aq),Serine__dG_p200(aq),M_4f87fa912f31,0.0,101325.0,0.005543209001189,1.0,0.02,0.042,0.05,2.1,200.0,SER_DG_000011,9.1075153309728e-09,-8.040600089023593,1.0127556709839873e-08,-7.9944953162804815,True,trace,ok,nan,2.5958452881479288e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0061711669986834,1.0,0.02,0.0,0.01,0.0,0.0,SER_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,3.664813867694687e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010926249960903,1.0,0.02,0.0041666666666666,0.01,0.2083333333333333,0.0,SER_INV_000002,0.0061804697156983,-2.20897851727626,0.0062499999999999275,-2.20411998265593,True,significant,ok,nan,6.148083004104677e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0012055830011377,1.0,0.02,0.0083333333333333,0.01,0.4166666666666667,0.0,SER_INV_000003,0.0120683875293328,-1.9183507525947785,0.011999999999999938,-1.9208187539523773,True,significant,ok,nan,5.917715753114299e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010294579988112,1.0,0.02,0.0125,0.01,0.625,0.0,SER_INV_000004,0.0120180270405608,-1.920166823159098,0.01199999999999998,-1.920818753952376,True,significant,ok,nan,3.4468616688412413e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010248750040773,1.0,0.02,0.0166666666666666,0.01,0.8333333333333334,0.0,SER_INV_000005,0.0119680851063829,-1.9219753311523202,0.011999999999999953,-1.920818753952377,True,significant,ok,nan,5.09344339754891e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0011065409926231,1.0,0.02,0.0208333333333333,0.01,1.0416666666666667,0.0,SER_INV_000006,0.0119185565303757,-1.9237763392982004,0.011999999999999952,-1.920818753952377,True,significant,ok,nan,3.5286015680852467e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009832499927142,1.0,0.02,0.025,0.01,1.25,0.0,SER_INV_000007,0.0118694362017804,-1.9255699095433767,0.011999999999999992,-1.9208187539523756,True,significant,ok,nan,1.5374008253958638e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009897909912979,1.0,0.02,0.0291666666666666,0.01,1.4583333333333337,0.0,SER_INV_000008,0.0118207190937448,-1.9273561030701554,0.011999999999999936,-1.9208187539523776,True,significant,ok,nan,2.6247269011003522e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0011596670083235,1.0,0.02,0.0333333333333333,0.01,1.6666666666666667,0.0,SER_INV_000009,0.0117724002616088,-1.9291349803090176,0.011999999999999933,-1.9208187539523776,True,significant,ok,nan,4.5744964389394825e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010306670010322,1.0,0.02,0.0375,0.01,1.875,0.0,SER_INV_000010,0.011724474841231,-1.9309066009509022,0.011999999999999945,-1.9208187539523771,True,significant,ok,nan,3.905034576111928e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009686249977676,1.0,0.02,0.0416666666666666,0.01,2.083333333333333,0.0,SER_INV_000011,0.0116769380473564,-1.9326710239592237,0.011999999999999943,-1.9208187539523773,True,significant,ok,nan,2.5928010954593305e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0012710410082945,1.0,0.02,0.0458333333333333,0.01,2.291666666666667,0.0,SER_INV_000012,0.0116297851720239,-1.9344283075816366,0.012000000000000004,-1.9208187539523751,True,significant,ok,nan,2.1519425449041948e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0011076250084443,1.0,0.02,0.05,0.01,2.5,0.0,SER_INV_000013,0.0115830115830115,-1.9361785093615926,0.011999999999999934,-1.9208187539523776,True,significant,ok,nan,4.929561692351072e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010415830038255,1.0,0.02,0.0541666666666666,0.01,2.708333333333333,0.0,SER_INV_000014,0.0115366127223201,-1.937921686149616,0.011999999999999962,-1.9208187539523764,True,significant,ok,nan,2.1347021784172206e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010383340122643,1.0,0.02,0.0583333333333333,0.01,2.916666666666667,0.0,SER_INV_000015,0.0114905841046919,-1.9396578941144211,0.011999999999999924,-1.920818753952378,True,significant,ok,nan,5.740699967739392e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009880409925244,1.0,0.02,0.0625,0.01,3.125,0.0,SER_INV_000016,0.0114449213161659,-1.9413871887537397,0.011999999999999953,-1.920818753952377,True,significant,ok,nan,2.7530566180499812e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0011535410012584,1.0,0.02,0.0666666666666666,0.01,3.333333333333333,0.0,SER_INV_000017,0.0113996200126662,-1.9431096249049897,0.011999999999999957,-1.9208187539523767,True,significant,ok,nan,3.796836183011934e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010219169926131,1.0,0.02,0.0708333333333333,0.01,3.541666666666667,0.0,SER_INV_000018,0.0113546759186248,-1.944825256755694,0.011999999999999978,-1.920818753952376,True,significant,ok,nan,2.101037107002346e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010297910048393,1.0,0.02,0.075,0.01,3.75,0.0,SER_INV_000019,0.0113100848256361,-1.9465341378537193,0.011999999999999919,-1.9208187539523782,True,significant,ok,nan,6.069079682211026e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0011539589904714,1.0,0.02,0.0791666666666666,0.01,3.9583333333333335,0.0,SER_INV_000020,0.0112658425911437,-1.948236321117291,0.01199999999999991,-1.9208187539523784,True,significant,ok,nan,6.253798918245282e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009873749950202,1.0,0.02,0.0833333333333333,0.01,4.166666666666667,0.0,SER_INV_000021,0.0112219451371571,-1.9499318588448389,0.011999999999999997,-1.9208187539523753,True,significant,ok,nan,2.4917723744704253e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009428749908693,1.0,0.02,0.0875,0.01,4.375,0.0,SER_INV_000022,0.0111783884489986,-1.951620802724643,0.011999999999999999,-1.9208187539523753,True,significant,ok,nan,6.20525211714107e-16,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010109590075444,1.0,0.02,0.0916666666666666,0.01,4.583333333333334,0.0,SER_INV_000023,0.0111351685740798,-1.9533032038442688,0.011999999999999997,-1.9208187539523753,True,significant,ok,nan,4.120840178008624e-16,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009598749893484,1.0,0.02,0.0958333333333333,0.01,4.791666666666667,0.0,SER_INV_000024,0.0110922816207055,-1.954979112699859,0.01199999999999991,-1.9208187539523784,True,significant,ok,nan,6.362701666315789e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009754589991644,1.0,0.02,0.1,0.01,5.0,0.0,SER_INV_000025,0.011049723756906,-1.9566485792052064,0.011999999999999929,-1.9208187539523778,True,significant,ok,nan,3.066914432666175e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009864580060821,1.0,0.02,0.0,0.0158333333333333,0.0,0.0,SER_INV_000026,0.0,,0.0,,False,below_threshold,ok,nan,3.644175334248299e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009644579986343,1.0,0.02,0.0041666666666666,0.0158333333333333,0.2083333333333333,0.0,SER_INV_000027,0.0061450225317492,-2.211476520361513,0.006249999999999927,-2.20411998265593,True,significant,ok,nan,6.549451681524877e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009542920015519,1.0,0.02,0.0083333333333333,0.0158333333333333,0.4166666666666667,0.0,SER_INV_000028,0.0119980003332777,-1.920891130334831,0.011999999999999929,-1.9208187539523778,True,significant,ok,nan,1.0212349768256718e-14,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010535409965086,1.0,0.02,0.0125,0.0158333333333333,0.625,0.0,SER_INV_000029,0.0119482243611018,-1.9226966309060731,0.011999999999999924,-1.920818753952378,True,significant,ok,nan,6.4115103313898765e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.000973125002929,1.0,0.02,0.0166666666666666,0.0158333333333333,0.8333333333333334,0.0,SER_INV_000030,0.0118988596926127,-1.9244946565011627,0.01199999999999992,-1.920818753952378,True,significant,ok,nan,3.963116399256876e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009734170016599,1.0,0.02,0.0208333333333333,0.0158333333333333,1.0416666666666667,0.0,SER_INV_000031,0.0118499012508229,-1.9262852687594807,0.011999999999999995,-1.9208187539523753,True,significant,ok,nan,4.385344402732677e-16,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010099589999299,1.0,0.02,0.025,0.0158333333333333,1.25,0.0,SER_INV_000032,0.0118013440419603,-1.9280685285611203,0.011999999999999972,-1.9208187539523762,True,significant,ok,nan,3.930637163072179e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009506670030532,1.0,0.02,0.0291666666666666,0.0158333333333333,1.4583333333333337,0.0,SER_INV_000033,0.0117531831537708,-1.929844496039286,0.011999999999999986,-1.9208187539523756,True,significant,ok,nan,1.9572981824929302e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0009649580024415,1.0,0.02,0.0333333333333333,0.0158333333333333,1.6666666666666667,0.0,SER_INV_000034,0.0117054137538611,-1.9316132305924816,0.01199999999999995,-1.920818753952377,True,significant,ok,nan,2.8157176368318036e-15,False
serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.0,101325.0,0.0010421670012874,1.0,0.02,0.0375,0.0158333333333333,1.875,0.0,SER_INV_000035,0.0116580310880829,-1.9333747908964114,0.011999999999999999,-1.9208187539523753,True,significant,ok,nan,2.372885998227342e-15,False
