case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
SER_DG_000001,serine,deltaG_sweep,Serine(aq),Serine__dG_m200(aq),M_c68cdd0d8195,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,0.006248207995668
SER_DG_000002,serine,deltaG_sweep,Serine(aq),Serine__dG_m160(aq),M_1b087787f2c4,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,0.0057563330046832
SER_DG_000003,serine,deltaG_sweep,Serine(aq),Serine__dG_m120(aq),M_101c1b6765c1,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,0.0054852910107001
SER_DG_000004,serine,deltaG_sweep,Serine(aq),Serine__dG_m080(aq),M_e5ca8ea2701e,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,0.0055442919983761
SER_DG_000005,serine,deltaG_sweep,Serine(aq),Serine__dG_m040(aq),M_37f5ed544d3c,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,0.0054684159986209
SER_DG_000006,serine,deltaG_sweep,Serine(aq),Serine__dG_000(aq),M_e47b82f180a4,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0112359550561797,-1.9493900066449157,0.01199999999999993,-1.9208187539523778,True,significant,ok,0.0056269580090884
SER_DG_000007,serine,deltaG_sweep,Serine(aq),Serine__dG_p040(aq),M_b8c42041f6f5,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0112359550561797,-1.9493900066449157,0.011999999999999936,-1.9208187539523776,True,significant,ok,0.0086051249963929
SER_DG_000008,serine,deltaG_sweep,Serine(aq),Serine__dG_p080(aq),M_9bd8fdbaf4c4,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0112359550551875,-1.9493900066832663,0.011999999998982198,-1.9208187539892108,True,significant,ok,0.0059416660078568
SER_DG_000009,serine,deltaG_sweep,Serine(aq),Serine__dG_p120(aq),M_b80f25520713,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0112359165051101,-1.9493914967314672,0.011999960456581601,-1.920820185078767,True,significant,ok,0.0057491250045131
SER_DG_000010,serine,deltaG_sweep,Serine(aq),Serine__dG_p160(aq),M_489a8d50ec60,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0098726928399788,-2.0055643745809593,0.010594900381874875,-1.9749031223704052,True,significant,ok,0.0058283749967813
SER_DG_000011,serine,deltaG_sweep,Serine(aq),Serine__dG_p200(aq),M_4f87fa912f31,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,9.1075153309728e-09,-8.040600089023593,1.0127556709839873e-08,-7.9944953162804815,True,trace,ok,0.005543209001189
SER_INV_000001,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0061711669986834
SER_INV_000002,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0061804697156983,-2.20897851727626,0.0062499999999999275,-2.20411998265593,True,significant,ok,0.0010926249960903
SER_INV_000003,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0120683875293328,-1.9183507525947785,0.011999999999999938,-1.9208187539523773,True,significant,ok,0.0012055830011377
SER_INV_000004,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0120180270405608,-1.920166823159098,0.01199999999999998,-1.920818753952376,True,significant,ok,0.0010294579988112
SER_INV_000005,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0119680851063829,-1.9219753311523202,0.011999999999999953,-1.920818753952377,True,significant,ok,0.0010248750040773
SER_INV_000006,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0119185565303757,-1.9237763392982004,0.011999999999999952,-1.920818753952377,True,significant,ok,0.0011065409926231
SER_INV_000007,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.025,1.25,0.0,0.0,101325.0,0.0118694362017804,-1.9255699095433767,0.011999999999999992,-1.9208187539523756,True,significant,ok,0.0009832499927142
SER_INV_000008,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0118207190937448,-1.9273561030701554,0.011999999999999936,-1.9208187539523776,True,significant,ok,0.0009897909912979
SER_INV_000009,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.0117724002616088,-1.9291349803090176,0.011999999999999933,-1.9208187539523776,True,significant,ok,0.0011596670083235
SER_INV_000010,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0375,1.875,0.0,0.0,101325.0,0.011724474841231,-1.9309066009509022,0.011999999999999945,-1.9208187539523771,True,significant,ok,0.0010306670010322
SER_INV_000011,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0416666666666666,2.083333333333333,0.0,0.0,101325.0,0.0116769380473564,-1.9326710239592237,0.011999999999999943,-1.9208187539523773,True,significant,ok,0.0009686249977676
SER_INV_000012,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0458333333333333,2.291666666666667,0.0,0.0,101325.0,0.0116297851720239,-1.9344283075816366,0.012000000000000004,-1.9208187539523751,True,significant,ok,0.0012710410082945
SER_INV_000013,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.05,2.5,0.0,0.0,101325.0,0.0115830115830115,-1.9361785093615926,0.011999999999999934,-1.9208187539523776,True,significant,ok,0.0011076250084443
SER_INV_000014,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0541666666666666,2.708333333333333,0.0,0.0,101325.0,0.0115366127223201,-1.937921686149616,0.011999999999999962,-1.9208187539523764,True,significant,ok,0.0010415830038255
SER_INV_000015,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0583333333333333,2.916666666666667,0.0,0.0,101325.0,0.0114905841046919,-1.9396578941144211,0.011999999999999924,-1.920818753952378,True,significant,ok,0.0010383340122643
SER_INV_000016,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0625,3.125,0.0,0.0,101325.0,0.0114449213161659,-1.9413871887537397,0.011999999999999953,-1.920818753952377,True,significant,ok,0.0009880409925244
SER_INV_000017,serine,inventory_landscape,Serine(aq),Serine(aq),M_daa244b2e9b7,0.01,0.02,0.0666666666666666,3.333333333333333,0.0,0.0,101325.0,0.0113996200126662,-1.9431096249049897,0.011999999999999957,-1.9208187539523767,True,significant,ok,0.0011535410012584
