case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
THR_INV_000001,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,THR_INV_000001,M_34d1e4e1238a,57d11afe6325a5c0
THR_INV_000002,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,THR_INV_000002,M_34d1e4e1238a,773c2803f2fbe0a4
THR_INV_000003,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,THR_INV_000003,M_34d1e4e1238a,38e907d1e548372d
THR_INV_000004,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,THR_INV_000004,M_34d1e4e1238a,733ad6623f006bee
THR_INV_000005,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,THR_INV_000005,M_34d1e4e1238a,748a18e1e8002f52
THR_INV_000006,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,THR_INV_000006,M_34d1e4e1238a,7c3c156687b3d1e3
THR_INV_000007,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,THR_INV_000007,M_34d1e4e1238a,e48ab61b6673152b
THR_INV_000008,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,THR_INV_000008,M_34d1e4e1238a,1c09418a9f0b6eb3
THR_INV_000009,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,THR_INV_000009,M_34d1e4e1238a,611aba0e1d8c6173
THR_INV_000010,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,THR_INV_000010,M_34d1e4e1238a,3a4cbb7a53cd174b
THR_INV_000011,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,THR_INV_000011,M_34d1e4e1238a,39d0449486153155
THR_INV_000012,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,THR_INV_000012,M_34d1e4e1238a,a8f53c120da1456f
THR_INV_000013,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,THR_INV_000013,M_34d1e4e1238a,7ae3689034d94310
THR_INV_000014,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,THR_INV_000014,M_34d1e4e1238a,0bb90be36366679e
THR_INV_000015,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,THR_INV_000015,M_34d1e4e1238a,4a0e778fa8a03d2f
THR_INV_000016,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,THR_INV_000016,M_34d1e4e1238a,bf196bd8d22ab025
THR_INV_000017,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,THR_INV_000017,M_34d1e4e1238a,6b5ec4d23cb989be
THR_INV_000018,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,THR_INV_000018,M_34d1e4e1238a,cf2aa1daecd52ca0
THR_INV_000019,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,THR_INV_000019,M_34d1e4e1238a,db2f329b270c1a36
THR_INV_000020,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,THR_INV_000020,M_34d1e4e1238a,9fec66dd16d6af75
THR_INV_000021,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,THR_INV_000021,M_34d1e4e1238a,76f5d36e5dc339ab
THR_INV_000022,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.08750000000000001,0.01,4.375,0.0,0.0,101325.0,THR_INV_000022,M_34d1e4e1238a,a40e407626b2ddd3
THR_INV_000023,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.09166666666666667,0.01,4.583333333333334,0.0,0.0,101325.0,THR_INV_000023,M_34d1e4e1238a,39f3e200017fa7ec
THR_INV_000024,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.09583333333333334,0.01,4.791666666666667,0.0,0.0,101325.0,THR_INV_000024,M_34d1e4e1238a,c036465ac17dcaf2
THR_INV_000025,threonine,inventory_landscape,Threonine(aq),Threonine(aq),1.0,0.02,0.1,0.01,5.0,0.0,0.0,101325.0,THR_INV_000025,M_34d1e4e1238a,dd63f0b4004f3c02
