scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.970873786407767,0.970873786407767,1.0,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.006885915994644165,threonine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.019417475728155338,0.01941747572815534,0.02,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.006885915994644165,threonine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.006885915994644165,threonine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.009708737864077669,0.00970873786407767,0.01,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.006885915994644165,threonine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
THR_INV_000001,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine(aq),0.0,0.0,0.0,ok,,THR_INV_000001,M_34d1e4e1238a,Threonine(aq),0.006885915994644165,threonine,inventory_landscape,1.0,0.02,0.0,0.01,0.0,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9669621273166801,0.9706062461726884,1.0,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0014035000058356673,threonine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.019339242546333603,0.015513370075525619,0.02,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0014035000058356673,threonine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040290088638195,7.292714319100132e-38,0.004166666666666667,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0014035000058356673,threonine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.009669621273166801,0.010818534394774443,0.01,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0014035000058356673,threonine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
THR_INV_000002,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine(aq),0.0,0.0030618493570116353,0.0,ok,,THR_INV_000002,M_34d1e4e1238a,Threonine(aq),0.0014035000058356673,threonine,inventory_landscape,1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9630818619582665,0.9703337453646478,1.0,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0011599999997997656,threonine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,HCN(aq),0.019261637239165328,0.011536876802637002,0.02,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0011599999997997656,threonine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,C2H2(aq),0.008025682182985553,1.7035295607477478e-37,0.008333333333333333,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0011599999997997656,threonine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,NH3(aq),0.009630818619582664,0.011948908117016894,0.01,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0011599999997997656,threonine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
THR_INV_000003,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,Threonine(aq),0.0,0.006180469715698393,0.0,ok,,THR_INV_000003,M_34d1e4e1238a,Threonine(aq),0.0011599999997997656,threonine,inventory_landscape,1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0
THR_INV_000004,single_product_sensitivity,M_34d1e4e1238a.yaml,Threonine(aq),0.0,273.15,101325.0,H2O(l),0.9592326139088729,0.9700561447286339,1.0,ok,,THR_INV_000004,M_34d1e4e1238a,Threonine(aq),0.0010369170049671084,threonine,inventory_landscape,1.0,0.02,0.0125,0.01,0.625,0.0
