case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
THR_DG_000001,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m200(aq),M_66287c59ec03,0.05,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0056028330000117
THR_DG_000002,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m160(aq),M_972c5f483af4,0.05,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0054773749870946
THR_DG_000003,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m120(aq),M_ba06fb558436,0.05,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0055863750021671
THR_DG_000004,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m080(aq),M_c373a1187e77,0.05,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0060480419924715
THR_DG_000005,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_m040(aq),M_f0eaa6ffd18d,0.05,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0056660830014152
THR_DG_000006,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_000(aq),M_35eb3b536cc9,0.05,0.02,0.042,2.1,0.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0058554580027703
THR_DG_000007,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p040(aq),M_36ce83775d0d,0.05,0.02,0.042,2.1,40.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.005812125004013
THR_DG_000008,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p080(aq),M_f17094babcbc,0.05,0.02,0.042,2.1,80.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0058372920029796
THR_DG_000009,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p120(aq),M_07332a92c709,0.05,0.02,0.042,2.1,120.0,0.0,101325.0,0.0143266475644699,-1.8438554226231616,0.014999999999999993,-1.8239087409443189,True,significant,ok,0.0054653330007568
THR_DG_000010,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p160(aq),M_7914186e23d5,0.05,0.02,0.042,2.1,160.0,0.0,101325.0,0.0143266475644492,-1.843855422623789,0.01499999999997959,-1.8239087409449097,True,significant,ok,0.0055366659944411
THR_DG_000011,threonine,deltaG_sweep,Threonine(aq),Threonine__dG_p200(aq),M_b4cce681f6c2,0.05,0.02,0.042,2.1,200.0,0.0,101325.0,0.0143266363113578,-1.843855763747377,0.014999988906687646,-1.823909062128727,True,significant,ok,0.0056097919878084
THR_INV_000001,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0068859159946441
THR_INV_000002,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0030618493570116,-2.514016180400654,0.003124999999999966,-2.5051499783199107,True,significant,ok,0.0014035000058356
THR_INV_000003,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0061804697156983,-2.20897851727626,0.0062499999999999275,-2.20411998265593,True,significant,ok,0.0011599999997997
THR_INV_000004,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0093574547723019,-2.0288422632984653,0.00937499999999998,-2.0280287236002446,True,significant,ok,0.0010369170049671
THR_INV_000005,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0125944584382871,-1.899820502427098,0.012499999999999957,-1.903089986991945,True,significant,ok,0.0010836670116987
THR_INV_000006,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0152155536770921,-1.8177122395246255,0.014999999999999984,-1.8239087409443193,True,significant,ok,0.0010334169928682
THR_INV_000007,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.025,1.25,0.0,0.0,101325.0,0.0151515151515151,-1.81954393554187,0.014999999999999975,-1.8239087409443195,True,significant,ok,0.0010037909960374
THR_INV_000008,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0150880134115674,-1.821367938567038,0.014999999999999951,-1.8239087409443202,True,significant,ok,0.0012273749889573
THR_INV_000009,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.015025041736227,-1.8231843129499878,0.014999999999999973,-1.8239087409443195,True,significant,ok,0.0010512500011827
THR_INV_000010,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0375,1.875,0.0,0.0,101325.0,0.0149625935162094,-1.824993122236541,0.014999999999999963,-1.8239087409443198,True,significant,ok,0.0012099589948775
THR_INV_000011,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0416666666666666,2.083333333333333,0.0,0.0,101325.0,0.0149006622516556,-1.826794429181808,0.014999999999999972,-1.8239087409443195,True,significant,ok,0.0010362499888287
THR_INV_000012,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0458333333333333,2.291666666666667,0.0,0.0,101325.0,0.0148392415498763,-1.828588295763268,0.014999999999999979,-1.8239087409443193,True,significant,ok,0.0009798749961191
THR_INV_000013,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.05,2.5,0.0,0.0,101325.0,0.0147783251231527,-1.8303747831935508,0.014999999999999996,-1.8239087409443189,True,significant,ok,0.0010241249983664
THR_INV_000014,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0541666666666666,2.708333333333333,0.0,0.0,101325.0,0.0147179067865903,-1.832153951932981,0.014999999999999958,-1.82390874094432,True,significant,ok,0.0009681669907877
THR_INV_000015,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0583333333333333,2.916666666666667,0.0,0.0,101325.0,0.014657980456026,-1.8339258617018446,0.014999999999999956,-1.82390874094432,True,significant,ok,0.0009706249984446
THR_INV_000016,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0625,3.125,0.0,0.0,101325.0,0.0145985401459854,-1.8356905714924256,0.015,-1.8239087409443189,True,significant,ok,0.0010122910025529
THR_INV_000017,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0666666666666666,3.333333333333333,0.0,0.0,101325.0,0.0145395799676898,-1.8374481395807938,0.014999999999999979,-1.8239087409443193,True,significant,ok,0.0010496249888092
THR_INV_000018,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0708333333333333,3.541666666666667,0.0,0.0,101325.0,0.0144810941271118,-1.8391986235383395,0.014999999999999977,-1.8239087409443193,True,significant,ok,0.0009932499960996
THR_INV_000019,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.075,3.75,0.0,0.0,101325.0,0.0144230769230769,-1.8409420802430998,0.014999999999999989,-1.823908740944319,True,significant,ok,0.0010686669993447
THR_INV_000020,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0791666666666666,3.9583333333333335,0.0,0.0,101325.0,0.014365522745411,-1.8426785658908442,0.01499999999999999,-1.823908740944319,True,significant,ok,0.0010405840002931
THR_INV_000021,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0833333333333333,4.166666666666667,0.0,0.0,101325.0,0.0143084260731319,-1.8444081360059457,0.014999999999999961,-1.82390874094432,True,significant,ok,0.0009925829945132
THR_INV_000022,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0875,4.375,0.0,0.0,101325.0,0.014251781472684,-1.8461308454520273,0.014999999999999921,-1.823908740944321,True,significant,ok,0.0010109579889103
THR_INV_000023,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0916666666666666,4.583333333333334,0.0,0.0,101325.0,0.0141955835962145,-1.8478467484424081,0.014999999999999989,-1.823908740944319,True,significant,ok,0.0015144159988267
THR_INV_000024,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.0958333333333333,4.791666666666667,0.0,0.0,101325.0,0.01413982717989,-1.84955589855035,0.01499999999999998,-1.8239087409443193,True,significant,ok,0.0009530419920338
THR_INV_000025,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.01,0.02,0.1,5.0,0.0,0.0,101325.0,0.0140845070422535,-1.851258348719076,0.01499999999999999,-1.823908740944319,True,significant,ok,0.0009846670000115
THR_INV_000026,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.0158333333333333,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009480829903623
THR_INV_000027,threonine,inventory_landscape,Threonine(aq),Threonine(aq),M_34d1e4e1238a,0.0158333333333333,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0030444489547391,-2.516491303219241,0.0031249999999999117,-2.5051499783199183,True,significant,ok,0.0011033749906346
