case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
TRY_INV_000001,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,TRY_INV_000001,M_9ee9ae6bb8b9,d38e1d72d4f8230d
TRY_INV_000002,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,TRY_INV_000002,M_9ee9ae6bb8b9,1e3a6a72ec7d09a0
TRY_INV_000003,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,TRY_INV_000003,M_9ee9ae6bb8b9,7686d2d7f95586e8
TRY_INV_000004,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,TRY_INV_000004,M_9ee9ae6bb8b9,d22d2280c8672549
TRY_INV_000005,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,TRY_INV_000005,M_9ee9ae6bb8b9,1f8fbd53e84a546d
TRY_INV_000006,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,TRY_INV_000006,M_9ee9ae6bb8b9,e20c8336c973cd7f
TRY_INV_000007,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,TRY_INV_000007,M_9ee9ae6bb8b9,63bc48bda544fc85
TRY_INV_000008,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,TRY_INV_000008,M_9ee9ae6bb8b9,1f06504f10bf6884
TRY_INV_000009,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,TRY_INV_000009,M_9ee9ae6bb8b9,f5fdc501632c044a
TRY_INV_000010,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,TRY_INV_000010,M_9ee9ae6bb8b9,fc6c653b72a6a904
TRY_INV_000011,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,TRY_INV_000011,M_9ee9ae6bb8b9,43093b6fb30cff23
TRY_INV_000012,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,TRY_INV_000012,M_9ee9ae6bb8b9,a46a47af380dab4a
TRY_INV_000013,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,TRY_INV_000013,M_9ee9ae6bb8b9,76c1177e375271cb
TRY_INV_000014,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,TRY_INV_000014,M_9ee9ae6bb8b9,9366eca23b26a097
TRY_INV_000015,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,TRY_INV_000015,M_9ee9ae6bb8b9,c7db49ddd1b5dc38
TRY_INV_000016,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,TRY_INV_000016,M_9ee9ae6bb8b9,c70896f2471853f0
TRY_INV_000017,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,TRY_INV_000017,M_9ee9ae6bb8b9,bdb52d620fa6f22e
TRY_INV_000018,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,TRY_INV_000018,M_9ee9ae6bb8b9,187be5eff9774397
TRY_INV_000019,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,TRY_INV_000019,M_9ee9ae6bb8b9,5ba8415aac32f7ef
TRY_INV_000020,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,TRY_INV_000020,M_9ee9ae6bb8b9,4b6d64dd8f4abebd
TRY_INV_000021,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,TRY_INV_000021,M_9ee9ae6bb8b9,8ab95f80390df711
TRY_INV_000022,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.08750000000000001,0.01,4.375,0.0,0.0,101325.0,TRY_INV_000022,M_9ee9ae6bb8b9,e4f754800fce0c5a
TRY_INV_000023,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.09166666666666667,0.01,4.583333333333334,0.0,0.0,101325.0,TRY_INV_000023,M_9ee9ae6bb8b9,195839486adf8309
TRY_INV_000024,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.09583333333333334,0.01,4.791666666666667,0.0,0.0,101325.0,TRY_INV_000024,M_9ee9ae6bb8b9,bd71282d2d7386a9
TRY_INV_000025,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.1,0.01,5.0,0.0,0.0,101325.0,TRY_INV_000025,M_9ee9ae6bb8b9,1e9a0013a2a7df0f
TRY_INV_000026,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0,0.01583333333333333,0.0,0.0,0.0,101325.0,TRY_INV_000026,M_9ee9ae6bb8b9,bddcb317603cf320
TRY_INV_000027,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.004166666666666667,0.01583333333333333,0.20833333333333334,0.0,0.0,101325.0,TRY_INV_000027,M_9ee9ae6bb8b9,fd61ab188c1be97b
TRY_INV_000028,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.008333333333333333,0.01583333333333333,0.4166666666666667,0.0,0.0,101325.0,TRY_INV_000028,M_9ee9ae6bb8b9,022b3fbf2f53cd13
TRY_INV_000029,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.0125,0.01583333333333333,0.625,0.0,0.0,101325.0,TRY_INV_000029,M_9ee9ae6bb8b9,400703269371f2f7
TRY_INV_000030,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.016666666666666666,0.01583333333333333,0.8333333333333334,0.0,0.0,101325.0,TRY_INV_000030,M_9ee9ae6bb8b9,259d49aea1c20d9d
TRY_INV_000031,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.020833333333333336,0.01583333333333333,1.0416666666666667,0.0,0.0,101325.0,TRY_INV_000031,M_9ee9ae6bb8b9,5c92d80d4a2426b3
TRY_INV_000032,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.025,0.01583333333333333,1.25,0.0,0.0,101325.0,TRY_INV_000032,M_9ee9ae6bb8b9,15bc29aaab2253e8
TRY_INV_000033,tryptophan,inventory_landscape,Tryptophan(aq),Tryptophan(aq),1.0,0.02,0.02916666666666667,0.01583333333333333,1.4583333333333335,0.0,0.0,101325.0,TRY_INV_000033,M_9ee9ae6bb8b9,abafb8543f2156aa
