scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,n_total_eq_mol,n_eq_mol,element_balance_relative_spread,element_total_mole_estimates
TRY_DG_000001,single_product_sensitivity,M_dc970e3155d1.yaml,Tryptophan(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9261576971214016,1.0,ok,,TRY_DG_000001,M_dc970e3155d1,Tryptophan__dG_m200(aq),0.0060072080086683,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.065333333333334,0.986666666666667,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000001,single_product_sensitivity,M_dc970e3155d1.yaml,Tryptophan(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,5.608905654101912e-70,0.02,ok,,TRY_DG_000001,M_dc970e3155d1,Tryptophan__dG_m200(aq),0.0060072080086683,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.065333333333334,5.975354156836574e-70,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000001,single_product_sensitivity,M_dc970e3155d1.yaml,Tryptophan(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0143929912390488,0.042,ok,,TRY_DG_000001,M_dc970e3155d1,Tryptophan__dG_m200(aq),0.0060072080086683,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.065333333333334,0.01533333333333333,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000001,single_product_sensitivity,M_dc970e3155d1.yaml,Tryptophan(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0531914893617021,0.05,ok,,TRY_DG_000001,M_dc970e3155d1,Tryptophan__dG_m200(aq),0.0060072080086683,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.065333333333334,0.05666666666666667,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000001,single_product_sensitivity,M_dc970e3155d1.yaml,Tryptophan(aq),0.0,273.15,101325.0,Tryptophan__dG_m200(aq),0.0,0.0062578222778473,0.0,ok,,TRY_DG_000001,M_dc970e3155d1,Tryptophan__dG_m200(aq),0.0060072080086683,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-200.0,1.065333333333334,0.006666666666666661,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000002,single_product_sensitivity,M_b2d5819f765c.yaml,Tryptophan(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9261576971214016,1.0,ok,,TRY_DG_000002,M_b2d5819f765c,Tryptophan__dG_m160(aq),0.0055542079935548,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.065333333333334,0.986666666666667,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000002,single_product_sensitivity,M_b2d5819f765c.yaml,Tryptophan(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,1.988702969093305e-67,0.02,ok,,TRY_DG_000002,M_b2d5819f765c,Tryptophan__dG_m160(aq),0.0055542079935548,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.065333333333334,2.1186315630740688e-67,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000002,single_product_sensitivity,M_b2d5819f765c.yaml,Tryptophan(aq),0.0,273.15,101325.0,C2H2(aq),0.0377697841726618,0.0143929912390488,0.042,ok,,TRY_DG_000002,M_b2d5819f765c,Tryptophan__dG_m160(aq),0.0055542079935548,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.065333333333334,0.01533333333333333,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000002,single_product_sensitivity,M_b2d5819f765c.yaml,Tryptophan(aq),0.0,273.15,101325.0,NH3(aq),0.0449640287769784,0.0531914893617021,0.05,ok,,TRY_DG_000002,M_b2d5819f765c,Tryptophan__dG_m160(aq),0.0055542079935548,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.065333333333334,0.05666666666666667,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000002,single_product_sensitivity,M_b2d5819f765c.yaml,Tryptophan(aq),0.0,273.15,101325.0,Tryptophan__dG_m160(aq),0.0,0.0062578222778473,0.0,ok,,TRY_DG_000002,M_b2d5819f765c,Tryptophan__dG_m160(aq),0.0055542079935548,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-160.0,1.065333333333334,0.006666666666666661,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000003,single_product_sensitivity,M_51c2edae6329.yaml,Tryptophan(aq),0.0,273.15,101325.0,H2O(l),0.8992805755395683,0.9261576971214016,1.0,ok,,TRY_DG_000003,M_51c2edae6329,Tryptophan__dG_m120(aq),0.0056484590022591,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.065333333333334,0.986666666666667,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
TRY_DG_000003,single_product_sensitivity,M_51c2edae6329.yaml,Tryptophan(aq),0.0,273.15,101325.0,HCN(aq),0.0179856115107913,7.051177653702866e-65,0.02,ok,,TRY_DG_000003,M_51c2edae6329,Tryptophan__dG_m120(aq),0.0056484590022591,tryptophan,deltaG_sweep,1.0,0.02,0.042,0.05,2.1,-120.0,1.065333333333334,7.511854593744791e-65,1.0421367565317484e-15,C:1.06533333e+00;H:1.06533333e+00;N:1.06533333e+00;O:1.06533333e+00
