case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
TYR_INV_000001,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,TYR_INV_000001,M_c4511b9cf656,e3ae26bea8327bbb
TYR_INV_000002,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,TYR_INV_000002,M_c4511b9cf656,94aaf141622a8150
TYR_INV_000003,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,TYR_INV_000003,M_c4511b9cf656,2051210191bf890d
TYR_INV_000004,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,TYR_INV_000004,M_c4511b9cf656,1bc64e7835f0cf78
TYR_INV_000005,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,TYR_INV_000005,M_c4511b9cf656,35c3cd99d5ef68f0
TYR_INV_000006,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,TYR_INV_000006,M_c4511b9cf656,9ff0a338bbefb9da
TYR_INV_000007,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,TYR_INV_000007,M_c4511b9cf656,483ebe77a27f10a1
TYR_INV_000008,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,TYR_INV_000008,M_c4511b9cf656,9653a86f2f0a780c
TYR_INV_000009,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,TYR_INV_000009,M_c4511b9cf656,e5e6ee79045e4337
TYR_INV_000010,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,TYR_INV_000010,M_c4511b9cf656,cf7b91245b45a7a7
TYR_INV_000011,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,TYR_INV_000011,M_c4511b9cf656,7d34d4f6a5d36c52
TYR_INV_000012,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,TYR_INV_000012,M_c4511b9cf656,ef5a8c46ad6c14b2
TYR_INV_000013,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,TYR_INV_000013,M_c4511b9cf656,ad298a70bf88b279
TYR_INV_000014,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,TYR_INV_000014,M_c4511b9cf656,806f1ac68650a3bc
TYR_INV_000015,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,TYR_INV_000015,M_c4511b9cf656,f847c9e200013f95
TYR_INV_000016,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,TYR_INV_000016,M_c4511b9cf656,5898eaab714c3932
TYR_INV_000017,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,TYR_INV_000017,M_c4511b9cf656,b5695b02cf1790fd
TYR_INV_000018,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,TYR_INV_000018,M_c4511b9cf656,6bc33481bbc3ea6e
TYR_INV_000019,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,TYR_INV_000019,M_c4511b9cf656,c636e478eb56ea32
TYR_INV_000020,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,TYR_INV_000020,M_c4511b9cf656,5ed299b2d6e5d674
TYR_INV_000021,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,TYR_INV_000021,M_c4511b9cf656,f9463aec33b98994
TYR_INV_000022,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.08750000000000001,0.01,4.375,0.0,0.0,101325.0,TYR_INV_000022,M_c4511b9cf656,75a496f17b37101e
TYR_INV_000023,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.09166666666666667,0.01,4.583333333333334,0.0,0.0,101325.0,TYR_INV_000023,M_c4511b9cf656,1648285a9daa388d
TYR_INV_000024,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.09583333333333334,0.01,4.791666666666667,0.0,0.0,101325.0,TYR_INV_000024,M_c4511b9cf656,8118ccbdd64d7e2e
TYR_INV_000025,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.1,0.01,5.0,0.0,0.0,101325.0,TYR_INV_000025,M_c4511b9cf656,20bacadcbe32f23e
TYR_INV_000026,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.0,0.01583333333333333,0.0,0.0,0.0,101325.0,TYR_INV_000026,M_c4511b9cf656,b00c5ffe529c27de
TYR_INV_000027,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.004166666666666667,0.01583333333333333,0.20833333333333334,0.0,0.0,101325.0,TYR_INV_000027,M_c4511b9cf656,23a12afd591d718a
TYR_INV_000028,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.008333333333333333,0.01583333333333333,0.4166666666666667,0.0,0.0,101325.0,TYR_INV_000028,M_c4511b9cf656,1036ea61fc754547
TYR_INV_000029,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.0125,0.01583333333333333,0.625,0.0,0.0,101325.0,TYR_INV_000029,M_c4511b9cf656,27069f0bed460346
TYR_INV_000030,tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),1.0,0.02,0.016666666666666666,0.01583333333333333,0.8333333333333334,0.0,0.0,101325.0,TYR_INV_000030,M_c4511b9cf656,2a82ef08905540c1
