study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m200(aq),M_200a70ea9867,0.0,101325.0,0.005550415997277,1.0,0.02,0.042,0.05,2.1,-200.0,TYR_DG_000001,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m160(aq),M_252f7d56235c,0.0,101325.0,0.0054986670002108,1.0,0.02,0.042,0.05,2.1,-160.0,TYR_DG_000002,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m120(aq),M_dfd7fa5cee5b,0.0,101325.0,0.0055779590038582,1.0,0.02,0.042,0.05,2.1,-120.0,TYR_DG_000003,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m080(aq),M_e7a079567d19,0.0,101325.0,0.0057336250029038,1.0,0.02,0.042,0.05,2.1,-80.0,TYR_DG_000004,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_m040(aq),M_4fd84227a7ac,0.0,101325.0,0.0055901670129969,1.0,0.02,0.042,0.05,2.1,-40.0,TYR_DG_000005,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_000(aq),M_5b10d8493b91,0.0,101325.0,0.005583457998,1.0,0.02,0.042,0.05,2.1,0.0,TYR_DG_000006,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p040(aq),M_52275a20295e,0.0,101325.0,0.0059935000026598,1.0,0.02,0.042,0.05,2.1,40.0,TYR_DG_000007,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p080(aq),M_28ddbb2cc30e,0.0,101325.0,0.0058043750032084,1.0,0.02,0.042,0.05,2.1,80.0,TYR_DG_000008,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p120(aq),M_c05a431ca2c1,0.0,101325.0,0.0058615410089259,1.0,0.02,0.042,0.05,2.1,120.0,TYR_DG_000009,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p160(aq),M_9572367f6d1a,0.0,101325.0,0.0054960410052444,1.0,0.02,0.042,0.05,2.1,160.0,TYR_DG_000010,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,deltaG_sweep,Tyrosine(aq),Tyrosine__dG_p200(aq),M_41ab90b18883,0.0,101325.0,0.0055527080112369,1.0,0.02,0.042,0.05,2.1,200.0,TYR_DG_000011,0.0081037277147487,-2.0913151596972273,0.008571428571428494,-2.066946789630617,True,significant,ok,nan,8.817006192322949e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0062393749976763,1.0,0.02,0.0,0.01,0.0,0.0,TYR_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,3.664813867694687e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0012765409919666,1.0,0.02,0.0041666666666666,0.01,0.2083333333333333,0.0,TYR_INV_000002,0.0012180267965895,-2.9143431571194496,0.0012499999999999766,-2.9030899869919518,True,significant,ok,nan,4.760030507528068e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0011196249979548,1.0,0.02,0.0083333333333333,0.01,0.4166666666666667,0.0,TYR_INV_000003,0.0024449877750611,-2.6117233080073463,0.0024999999999999823,-2.6020599913279656,True,significant,ok,nan,6.949073210367707e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0015436250105267,1.0,0.02,0.0125,0.01,0.625,0.0,TYR_INV_000004,0.003680981595092,-2.434036354020317,0.0037499999999999873,-2.4259687322722825,True,significant,ok,nan,6.538736832148139e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0011301250051474,1.0,0.02,0.0166666666666666,0.01,0.8333333333333334,0.0,TYR_INV_000005,0.0049261083743842,-2.307496037913216,0.004999999999999972,-2.3010299956639835,True,significant,ok,nan,4.3752631512321355e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0010729159985203,1.0,0.02,0.0208333333333333,0.01,1.0416666666666667,0.0,TYR_INV_000006,0.0061804697156983,-2.20897851727626,0.0062499999999999275,-2.20411998265593,True,significant,ok,nan,1.2296166008209355e-14,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0010636249935487,1.0,0.02,0.025,0.01,1.25,0.0,TYR_INV_000007,0.0074441687344913,-2.128183791421448,0.007499999999999997,-2.1249387366083,True,significant,ok,nan,5.069008350645868e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009988749952754,1.0,0.02,0.0291666666666666,0.01,1.4583333333333337,0.0,TYR_INV_000008,0.0085297950479801,-2.0690614038384134,0.008571428571428574,-2.066946789630613,True,significant,ok,nan,2.209660800106934e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009750419994816,1.0,0.02,0.0333333333333333,0.01,1.6666666666666667,0.0,TYR_INV_000009,0.0084945729117508,-2.07085845160749,0.008571428571428558,-2.066946789630614,True,significant,ok,nan,4.181019224402424e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0010645000002114,1.0,0.02,0.0375,0.01,1.875,0.0,TYR_INV_000010,0.0084596404652802,-2.0726480940842475,0.00857142857142856,-2.066946789630614,True,significant,ok,nan,4.821271647297112e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009799580002436,1.0,0.02,0.0416666666666666,0.01,2.083333333333333,0.0,TYR_INV_000011,0.0084249941493096,-2.0744303920499103,0.008571428571428556,-2.066946789630614,True,significant,ok,nan,2.1825119136090123e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009553330019116,1.0,0.02,0.0458333333333333,0.01,2.291666666666667,0.0,TYR_INV_000012,0.00839063046265,-2.0762054055404384,0.008571428571428537,-2.066946789630615,True,significant,ok,nan,3.912497874917224e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0012360000109765,1.0,0.02,0.05,0.01,2.5,0.0,TYR_INV_000013,0.0083565459610027,-2.077973193858661,0.008571428571428508,-2.0669467896306166,True,significant,ok,nan,7.360252920913272e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.00103491700429,1.0,0.02,0.0541666666666666,0.01,2.708333333333333,0.0,TYR_INV_000014,0.0083227372558085,-2.0797338155861635,0.008571428571428513,-2.066946789630616,True,significant,ok,nan,5.605657347777912e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009708750003483,1.0,0.02,0.0583333333333333,0.01,2.916666666666667,0.0,TYR_INV_000015,0.0082892010131245,-2.0814873285949456,0.008571428571428515,-2.066946789630616,True,significant,ok,nan,5.368336061968281e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0010507089900784,1.0,0.02,0.0625,0.01,3.125,0.0,TYR_INV_000016,0.0082559339525283,-2.083233790058826,0.008571428571428508,-2.0669467896306166,True,significant,ok,nan,4.9190480072831036e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009820830018725,1.0,0.02,0.0666666666666666,0.01,3.333333333333333,0.0,TYR_INV_000017,0.0082229328460484,-2.084973256464627,0.008571428571428553,-2.066946789630614,True,significant,ok,nan,2.769217777274258e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009844160085776,1.0,0.02,0.0708333333333333,0.01,3.541666666666667,0.0,TYR_INV_000018,0.0081901945171197,-2.086705783623154,0.00857142857142851,-2.066946789630616,True,significant,ok,nan,4.879879157264923e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0010533329914323,1.0,0.02,0.075,0.01,3.75,0.0,TYR_INV_000019,0.0081577158395649,-2.0884314266799064,0.008571428571428551,-2.0669467896306144,True,significant,ok,nan,2.3246002147148066e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009701250091893,1.0,0.02,0.0791666666666666,0.01,3.9583333333333335,0.0,TYR_INV_000020,0.0081254937365985,-2.0901502401256544,0.008571428571428506,-2.0669467896306166,True,significant,ok,nan,3.9993588698831884e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009570410038577,1.0,0.02,0.0833333333333333,0.01,4.166666666666667,0.0,TYR_INV_000021,0.0080935251798561,-2.0918622778067144,0.008571428571428561,-2.0669467896306135,True,significant,ok,nan,3.3546307218889595e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.00110466699698,1.0,0.02,0.0875,0.01,4.375,0.0,TYR_INV_000022,0.0080618071884447,-2.093567592935121,0.00857142857142854,-2.066946789630615,True,significant,ok,nan,3.341484145327976e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0010140419908566,1.0,0.02,0.0916666666666666,0.01,4.583333333333334,0.0,TYR_INV_000023,0.0080303368280169,-2.0952662380985076,0.008571428571428525,-2.0669467896306157,True,significant,ok,nan,4.576605285539342e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0011832500022137,1.0,0.02,0.0958333333333333,0.01,4.791666666666667,0.0,TYR_INV_000024,0.0079991112098655,-2.0969582652698624,0.008571428571428513,-2.066946789630616,True,significant,ok,nan,3.3154977115791745e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.000999750001938,1.0,0.02,0.1,0.01,5.0,0.0,TYR_INV_000025,0.0079681274900398,-2.098643725817059,0.008571428571428535,-2.066946789630615,True,significant,ok,nan,2.476991608725447e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009394170047016,1.0,0.02,0.0,0.0158333333333333,0.0,0.0,TYR_INV_000026,0.0,,0.0,,False,below_threshold,ok,nan,3.644175334248299e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0010428329987917,1.0,0.02,0.0041666666666666,0.0158333333333333,0.2083333333333333,0.0,TYR_INV_000027,0.0012111425111021,-2.916804751866189,0.0012499999999999619,-2.9030899869919566,True,significant,ok,nan,1.0972248543731841e-14,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009692909952718,1.0,0.02,0.0083333333333333,0.0158333333333333,0.4166666666666667,0.0,TYR_INV_000028,0.0024311183144246,-2.614193904977567,0.002499999999999969,-2.602059991327968,True,significant,ok,nan,7.773360561394921e-15,False
tyrosine,inventory_landscape,Tyrosine(aq),Tyrosine(aq),M_c4511b9cf656,0.0,101325.0,0.0009747919975779,1.0,0.02,0.0125,0.0158333333333333,0.625,0.0,TYR_INV_000029,0.0036600244001626,-2.4365160192994004,0.0037499999999999383,-2.4259687322722883,True,significant,ok,nan,1.3653169688761556e-14,False
