case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
VAL_INV_000001,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.0,0.01,0.0,0.0,0.0,101325.0,VAL_INV_000001,M_f9a31914e259,ff26ca2c9c222cfb
VAL_INV_000002,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.004166666666666667,0.01,0.20833333333333334,0.0,0.0,101325.0,VAL_INV_000002,M_f9a31914e259,148b8d1fa898d6ae
VAL_INV_000003,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.008333333333333333,0.01,0.4166666666666667,0.0,0.0,101325.0,VAL_INV_000003,M_f9a31914e259,8ffecfd9a4d09915
VAL_INV_000004,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.0125,0.01,0.625,0.0,0.0,101325.0,VAL_INV_000004,M_f9a31914e259,e4db762bd8e7285d
VAL_INV_000005,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.016666666666666666,0.01,0.8333333333333334,0.0,0.0,101325.0,VAL_INV_000005,M_f9a31914e259,f11e5ed48ed67e8d
VAL_INV_000006,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.020833333333333336,0.01,1.0416666666666667,0.0,0.0,101325.0,VAL_INV_000006,M_f9a31914e259,7ac96d20a6c05c1d
VAL_INV_000007,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.025,0.01,1.25,0.0,0.0,101325.0,VAL_INV_000007,M_f9a31914e259,5a595e57e7f56d0c
VAL_INV_000008,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.02916666666666667,0.01,1.4583333333333335,0.0,0.0,101325.0,VAL_INV_000008,M_f9a31914e259,14d15aa85e93ea40
VAL_INV_000009,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.03333333333333333,0.01,1.6666666666666667,0.0,0.0,101325.0,VAL_INV_000009,M_f9a31914e259,8d91505db4b68bea
VAL_INV_000010,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.0375,0.01,1.875,0.0,0.0,101325.0,VAL_INV_000010,M_f9a31914e259,a079a441358be352
VAL_INV_000011,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.04166666666666667,0.01,2.0833333333333335,0.0,0.0,101325.0,VAL_INV_000011,M_f9a31914e259,141cb289a714e750
VAL_INV_000012,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.04583333333333334,0.01,2.291666666666667,0.0,0.0,101325.0,VAL_INV_000012,M_f9a31914e259,ba8d29f47d97e5e3
VAL_INV_000013,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.05,0.01,2.5,0.0,0.0,101325.0,VAL_INV_000013,M_f9a31914e259,c38ec8da7b3396a9
VAL_INV_000014,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.05416666666666667,0.01,2.7083333333333335,0.0,0.0,101325.0,VAL_INV_000014,M_f9a31914e259,b46f439857347801
VAL_INV_000015,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.05833333333333334,0.01,2.916666666666667,0.0,0.0,101325.0,VAL_INV_000015,M_f9a31914e259,4752400909be1757
VAL_INV_000016,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.0625,0.01,3.125,0.0,0.0,101325.0,VAL_INV_000016,M_f9a31914e259,fefa6380e713bfa8
VAL_INV_000017,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.06666666666666667,0.01,3.3333333333333335,0.0,0.0,101325.0,VAL_INV_000017,M_f9a31914e259,47a85b466d6a0b45
VAL_INV_000018,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.07083333333333335,0.01,3.541666666666667,0.0,0.0,101325.0,VAL_INV_000018,M_f9a31914e259,ee414dee68ef7656
VAL_INV_000019,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.075,0.01,3.75,0.0,0.0,101325.0,VAL_INV_000019,M_f9a31914e259,e9a68ca77184af10
VAL_INV_000020,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.07916666666666668,0.01,3.9583333333333335,0.0,0.0,101325.0,VAL_INV_000020,M_f9a31914e259,26932adc6b513bfd
VAL_INV_000021,valine,inventory_landscape,Valine(aq),Valine(aq),1.0,0.02,0.08333333333333334,0.01,4.166666666666667,0.0,0.0,101325.0,VAL_INV_000021,M_f9a31914e259,a9dd72c595e650b0
