study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
valine,deltaG_sweep,Valine(aq),Valine__dG_m200(aq),M_80444b1595d4,0.0,101325.0,0.0080800410069059,1.0,0.02,0.042,0.05,2.1,-200.0,VAL_DG_000001,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m160(aq),M_0035cba8debe,0.0,101325.0,0.0061506249912781,1.0,0.02,0.042,0.05,2.1,-160.0,VAL_DG_000002,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m120(aq),M_fb7de91f1429,0.0,101325.0,0.0066017920034937,1.0,0.02,0.042,0.05,2.1,-120.0,VAL_DG_000003,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m080(aq),M_c2009bfe7a34,0.0,101325.0,0.0069003749958937,1.0,0.02,0.042,0.05,2.1,-80.0,VAL_DG_000004,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_m040(aq),M_65b30d1a9ac4,0.0,101325.0,0.0072350419941358,1.0,0.02,0.042,0.05,2.1,-40.0,VAL_DG_000005,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_000(aq),M_29b3fc659885,0.0,101325.0,0.0074724170117406,1.0,0.02,0.042,0.05,2.1,0.0,VAL_DG_000006,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p040(aq),M_231dd85e143e,0.0,101325.0,0.0062646250007674,1.0,0.02,0.042,0.05,2.1,40.0,VAL_DG_000007,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p080(aq),M_dede39794103,0.0,101325.0,0.0061467090126825,1.0,0.02,0.042,0.05,2.1,80.0,VAL_DG_000008,0.0174081237911025,-1.759248033654618,0.018,-1.744727494896694,True,significant,ok,nan,1.503203321542764e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p120(aq),M_ad9e2413646a,0.0,101325.0,0.0063784590020077,1.0,0.02,0.042,0.05,2.1,120.0,VAL_DG_000009,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p160(aq),M_eaff919525fa,0.0,101325.0,0.0065652500052237,1.0,0.02,0.042,0.05,2.1,160.0,VAL_DG_000010,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,1.5032033215427639e-15,False
valine,deltaG_sweep,Valine(aq),Valine__dG_p200(aq),M_f5fed93b2421,0.0,101325.0,0.0122029170015593,1.0,0.02,0.042,0.05,2.1,200.0,VAL_DG_000011,0.0174081237911025,-1.759248033654618,0.018000000000000002,-1.744727494896694,True,significant,ok,nan,2.7916633114365613e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0099786249920725,1.0,0.02,0.0,0.01,0.0,0.0,VAL_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,3.664813867694687e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0014482080005109,1.0,0.02,0.0041666666666666,0.01,0.2083333333333333,0.0,VAL_INV_000002,0.0017397355601948,-2.7595167594622008,0.0017857142857142397,-2.748188027006212,True,significant,ok,nan,6.489821438309871e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0011531670024851,1.0,0.02,0.0083333333333333,0.01,0.4166666666666667,0.0,VAL_INV_000003,0.0034916201117318,-2.456973013635823,0.0035714285714285323,-2.447158031342224,True,significant,ok,nan,5.2099851434923466e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0012335829960647,1.0,0.02,0.0125,0.01,0.625,0.0,VAL_INV_000004,0.0052557813594954,-2.2793627097229505,0.00535714285714282,-2.271066772286541,True,significant,ok,nan,5.446083512527038e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0011358339979778,1.0,0.02,0.0166666666666666,0.01,0.8333333333333334,0.0,VAL_INV_000005,0.0070323488045007,-2.152899596393748,0.007142857142857139,-2.146128035678238,True,significant,ok,nan,6.121060839002271e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0018000000127358,1.0,0.02,0.0208333333333333,0.01,1.0416666666666667,0.0,VAL_INV_000006,0.0088214537755822,-2.054459837239405,0.008928571428571416,-2.0492180226701824,True,significant,ok,nan,1.5356648752754455e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.001433083001757,1.0,0.02,0.025,0.01,1.25,0.0,VAL_INV_000007,0.0106232294617563,-1.9737434376601068,0.010714285714285666,-1.9700367766225588,True,significant,ok,nan,6.164411128230315e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0011523330031195,1.0,0.02,0.0291666666666666,0.01,1.4583333333333337,0.0,VAL_INV_000008,0.0124378109452736,-1.9052560487484524,0.012499999999999971,-1.9030899869919446,True,significant,ok,nan,3.755978391766698e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0012687080015894,1.0,0.02,0.0333333333333333,0.01,1.6666666666666667,0.0,VAL_INV_000009,0.014265335235378,-1.8457180179666597,0.014285714285714266,-1.8450980400142574,True,significant,ok,nan,1.9955506576714638e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010297909902874,1.0,0.02,0.0375,0.01,1.875,0.0,VAL_INV_000010,0.0149625935162094,-1.824993122236541,0.014999999999999963,-1.8239087409443198,True,significant,ok,nan,5.315781065536895e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010218340030405,1.0,0.02,0.0416666666666666,0.01,2.083333333333333,0.0,VAL_INV_000011,0.0149006622516556,-1.826794429181808,0.014999999999999982,-1.8239087409443193,True,significant,ok,nan,2.646889330232159e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010783329926198,1.0,0.02,0.0458333333333333,0.01,2.291666666666667,0.0,VAL_INV_000012,0.0148392415498763,-1.828588295763268,0.014999999999999979,-1.8239087409443193,True,significant,ok,nan,2.4163139200415577e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0009773330093594,1.0,0.02,0.05,0.01,2.5,0.0,VAL_INV_000013,0.0147783251231527,-1.8303747831935508,0.014999999999999996,-1.8239087409443189,True,significant,ok,nan,6.562894726848214e-16,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0011781659995904,1.0,0.02,0.0541666666666666,0.01,2.708333333333333,0.0,VAL_INV_000014,0.0147179067865903,-1.832153951932981,0.014999999999999972,-1.8239087409443195,True,significant,ok,nan,3.4859005842686786e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0013084999955026,1.0,0.02,0.0583333333333333,0.01,2.916666666666667,0.0,VAL_INV_000015,0.014657980456026,-1.8339258617018446,0.014999999999999954,-1.82390874094432,True,significant,ok,nan,4.122652273852369e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0011091670021414,1.0,0.02,0.0625,0.01,3.125,0.0,VAL_INV_000016,0.0145985401459854,-1.8356905714924256,0.015,-1.8239087409443189,True,significant,ok,nan,1.7288144422386864e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.001341000010143,1.0,0.02,0.0666666666666666,0.01,3.333333333333333,0.0,VAL_INV_000017,0.0145395799676898,-1.8374481395807938,0.014999999999999979,-1.8239087409443193,True,significant,ok,nan,1.5066031351940735e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0011213750112801,1.0,0.02,0.0708333333333333,0.01,3.541666666666667,0.0,VAL_INV_000018,0.0144810941271118,-1.8391986235383395,0.014999999999999987,-1.823908740944319,True,significant,ok,nan,1.714906039646258e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.001142458000686,1.0,0.02,0.075,0.01,3.75,0.0,VAL_INV_000019,0.0144230769230769,-1.8409420802430998,0.014999999999999986,-1.823908740944319,True,significant,ok,nan,1.7080354225002397e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0012084579939255,1.0,0.02,0.0791666666666666,0.01,3.9583333333333335,0.0,VAL_INV_000020,0.014365522745411,-1.8426785658908442,0.01499999999999999,-1.823908740944319,True,significant,ok,nan,8.506098193456903e-16,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0011206670023966,1.0,0.02,0.0833333333333333,0.01,4.166666666666667,0.0,VAL_INV_000021,0.0143084260731319,-1.8444081360059457,0.014999999999999958,-1.82390874094432,True,significant,ok,nan,3.600723323108612e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010264169977745,1.0,0.02,0.0875,0.01,4.375,0.0,VAL_INV_000022,0.014251781472684,-1.8461308454520273,0.014999999999999932,-1.8239087409443207,True,significant,ok,nan,6.118093627388027e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010441250051371,1.0,0.02,0.0916666666666666,0.01,4.583333333333334,0.0,VAL_INV_000023,0.0141955835962145,-1.8478467484424081,0.014999999999999989,-1.823908740944319,True,significant,ok,nan,8.405474003471217e-16,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0009807919996092,1.0,0.02,0.0958333333333333,0.01,4.791666666666667,0.0,VAL_INV_000024,0.01413982717989,-1.84955589855035,0.014999999999999977,-1.8239087409443193,True,significant,ok,nan,1.8838034039201395e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0009775409998837,1.0,0.02,0.1,0.01,5.0,0.0,VAL_INV_000025,0.0140845070422535,-1.851258348719076,0.014999999999999987,-1.823908740944319,True,significant,ok,nan,1.6679406942725347e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010486250102985,1.0,0.02,0.0,0.0158333333333333,0.0,0.0,VAL_INV_000026,0.0,,0.0,,False,below_threshold,ok,nan,3.644175334248299e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0009950829989975,1.0,0.02,0.0041666666666666,0.0158333333333333,0.2083333333333333,0.0,VAL_INV_000027,0.0017299042786299,-2.7619779271677083,0.0017857142857142694,-2.7481880270062042,True,significant,ok,nan,1.0755245538982026e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0009829580085352,1.0,0.02,0.0083333333333333,0.0158333333333333,0.4166666666666667,0.0,VAL_INV_000028,0.0034718203911584,-2.4594427504156076,0.003571428571428546,-2.447158031342222,True,significant,ok,nan,3.237775745926848e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.001089083001716,1.0,0.02,0.0125,0.0158333333333333,0.625,0.0,VAL_INV_000029,0.0052258738822436,-2.281841075455725,0.0053571428571428225,-2.2710667722865407,True,significant,ok,nan,6.714715494423187e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010170840105274,1.0,0.02,0.0166666666666666,0.0158333333333333,0.8333333333333334,0.0,VAL_INV_000030,0.0069921920522083,-2.1553866515880653,0.007142857142857095,-2.146128035678241,True,significant,ok,nan,4.999302840171999e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0013189579913159,1.0,0.02,0.0208333333333333,0.0158333333333333,1.0416666666666667,0.0,VAL_INV_000031,0.0087709039878376,-2.0569556430425053,0.008928571428571374,-2.049218022670184,True,significant,ok,nan,6.325583646326449e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010577079956419,1.0,0.02,0.025,0.0158333333333333,1.25,0.0,VAL_INV_000032,0.010562140593827,-1.9762480558669453,0.010714285714285713,-1.9700367766225568,True,significant,ok,nan,2.4078067709274576e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0009742500114953,1.0,0.02,0.0291666666666666,0.0158333333333333,1.4583333333333337,0.0,VAL_INV_000033,0.0123660346248969,-1.9077695418108935,0.012499999999999963,-1.9030899869919449,True,significant,ok,nan,2.4163139200415585e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0010274160013068,1.0,0.02,0.0333333333333333,0.0158333333333333,1.6666666666666667,0.0,VAL_INV_000034,0.0141827207185911,-1.8482404490027964,0.014285714285714225,-1.8450980400142587,True,significant,ok,nan,4.408875266210282e-15,False
valine,inventory_landscape,Valine(aq),Valine(aq),M_f9a31914e259,0.0,101325.0,0.0009822089923545,1.0,0.02,0.0375,0.0158333333333333,1.875,0.0,VAL_INV_000035,0.0160123354287747,-1.7955453208064964,0.016071428571428546,-1.7939455175668761,True,significant,ok,nan,3.9821070175144895e-15,False
