case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ALA_INV_000001,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.0,0.0,0.0,0.0,0.0,101325.0,ALA_INV_000001,M_25c207616ffd,66ae0732ab37818a
ALA_INV_000002,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0,0.0,101325.0,ALA_INV_000002,M_25c207616ffd,05c07bba5a648061
ALA_INV_000003,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0,0.0,101325.0,ALA_INV_000003,M_25c207616ffd,6b0134231c5799eb
ALA_INV_000004,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.0125,0.0,0.625,0.0,0.0,101325.0,ALA_INV_000004,M_25c207616ffd,391dda4ac0d673e5
ALA_INV_000005,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0,0.0,101325.0,ALA_INV_000005,M_25c207616ffd,8dcb6511b4cf75ae
ALA_INV_000006,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0,0.0,101325.0,ALA_INV_000006,M_25c207616ffd,15d373f8d67c8534
ALA_INV_000007,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.025,0.0,1.25,0.0,0.0,101325.0,ALA_INV_000007,M_25c207616ffd,9fd4c6145e7dd31b
ALA_INV_000008,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.02916666666666667,0.0,1.4583333333333335,0.0,0.0,101325.0,ALA_INV_000008,M_25c207616ffd,12d44053f3ce3e84
ALA_INV_000009,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.03333333333333333,0.0,1.6666666666666667,0.0,0.0,101325.0,ALA_INV_000009,M_25c207616ffd,060258b14b815379
ALA_INV_000010,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.0375,0.0,1.875,0.0,0.0,101325.0,ALA_INV_000010,M_25c207616ffd,b4cdf9518b8016fa
ALA_INV_000011,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.04166666666666667,0.0,2.0833333333333335,0.0,0.0,101325.0,ALA_INV_000011,M_25c207616ffd,88a96e9828bfac56
ALA_INV_000012,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.04583333333333334,0.0,2.291666666666667,0.0,0.0,101325.0,ALA_INV_000012,M_25c207616ffd,5c1efe3b11b6a384
ALA_INV_000013,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.05,0.0,2.5,0.0,0.0,101325.0,ALA_INV_000013,M_25c207616ffd,bdcd8d1cae046d69
ALA_INV_000014,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.05416666666666667,0.0,2.7083333333333335,0.0,0.0,101325.0,ALA_INV_000014,M_25c207616ffd,d525157ebe2fde58
ALA_INV_000015,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.05833333333333334,0.0,2.916666666666667,0.0,0.0,101325.0,ALA_INV_000015,M_25c207616ffd,d8513c6317c917fb
ALA_INV_000016,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.0625,0.0,3.125,0.0,0.0,101325.0,ALA_INV_000016,M_25c207616ffd,4aab25a8904e4271
ALA_INV_000017,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.06666666666666667,0.0,3.3333333333333335,0.0,0.0,101325.0,ALA_INV_000017,M_25c207616ffd,3e8210be8c54d6d3
ALA_INV_000018,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.07083333333333335,0.0,3.541666666666667,0.0,0.0,101325.0,ALA_INV_000018,M_25c207616ffd,adf9414f85126f57
ALA_INV_000019,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.075,0.0,3.75,0.0,0.0,101325.0,ALA_INV_000019,M_25c207616ffd,0de56402db49de2b
ALA_INV_000020,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.07916666666666668,0.0,3.9583333333333335,0.0,0.0,101325.0,ALA_INV_000020,M_25c207616ffd,7cc7433232c66ed0
ALA_INV_000021,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.08333333333333334,0.0,4.166666666666667,0.0,0.0,101325.0,ALA_INV_000021,M_25c207616ffd,5d2aadb7e4b864af
ALA_INV_000022,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.08750000000000001,0.0,4.375,0.0,0.0,101325.0,ALA_INV_000022,M_25c207616ffd,8e56536515532487
ALA_INV_000023,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.09166666666666667,0.0,4.583333333333334,0.0,0.0,101325.0,ALA_INV_000023,M_25c207616ffd,99e6a200a590fd5e
ALA_INV_000024,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.09583333333333334,0.0,4.791666666666667,0.0,0.0,101325.0,ALA_INV_000024,M_25c207616ffd,f85cc88905cac5a7
ALA_INV_000025,alanine,inventory_landscape,Alanine(aq),Alanine(aq),1.0,0.02,0.1,0.0,5.0,0.0,0.0,101325.0,ALA_INV_000025,M_25c207616ffd,ef9a6d5e2076d4c6
ALA_DG_000001,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m200(aq),1.0,0.02,0.042,0.0,2.1,-200.0,0.0,101325.0,ALA_DG_000001,M_71c27d8880c9,d854a8edf81a65ad
ALA_DG_000002,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m160(aq),1.0,0.02,0.042,0.0,2.1,-160.0,0.0,101325.0,ALA_DG_000002,M_0c4ed732043f,b8d4e888fe803557
ALA_DG_000003,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m120(aq),1.0,0.02,0.042,0.0,2.1,-120.0,0.0,101325.0,ALA_DG_000003,M_5164e0f224d2,bd94f72888ef5d22
ALA_DG_000004,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m080(aq),1.0,0.02,0.042,0.0,2.1,-80.0,0.0,101325.0,ALA_DG_000004,M_022bcb9d6ccd,2e2ac5cdd5b89d00
ALA_DG_000005,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_m040(aq),1.0,0.02,0.042,0.0,2.1,-40.0,0.0,101325.0,ALA_DG_000005,M_8e9f165af642,123000c90922d583
ALA_DG_000006,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_000(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,ALA_DG_000006,M_ebbe56efa3f6,19888fd20c069b0f
ALA_DG_000007,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p040(aq),1.0,0.02,0.042,0.0,2.1,40.0,0.0,101325.0,ALA_DG_000007,M_24fd08babd78,ff5f3ee36e7a22a2
ALA_DG_000008,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p080(aq),1.0,0.02,0.042,0.0,2.1,80.0,0.0,101325.0,ALA_DG_000008,M_d399ff6dcee1,d247aebdbc5e0580
ALA_DG_000009,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p120(aq),1.0,0.02,0.042,0.0,2.1,120.0,0.0,101325.0,ALA_DG_000009,M_7086743321f2,d2d9b9e417a11c9d
ALA_DG_000010,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p160(aq),1.0,0.02,0.042,0.0,2.1,160.0,0.0,101325.0,ALA_DG_000010,M_6889725eb5b4,f5c455e684d3300a
ALA_DG_000011,alanine,deltaG_sweep,Alanine(aq),Alanine__dG_p200(aq),1.0,0.02,0.042,0.0,2.1,200.0,0.0,101325.0,ALA_DG_000011,M_27b0c321acbf,2be4581e9e5f6e4c
