scenario,model_mode,yaml_file,target_product,T_C,T_K,P_Pa,species,X_initial,X_eq,initial_moles,solver_status,error_message,case_id,model_id,target_variant,runtime_seconds,study_id,substudy_id,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol
ALA_INV_000001,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9803921568627451,0.9803921568627452,1.0,ok,,ALA_INV_000001,M_25c207616ffd,Alanine(aq),0.024835374992107973,alanine,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
ALA_INV_000001,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.0196078431372549,0.0196078431372549,0.02,ok,,ALA_INV_000001,M_25c207616ffd,Alanine(aq),0.024835374992107973,alanine,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
ALA_INV_000001,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0,0.0,0.0,ok,,ALA_INV_000001,M_25c207616ffd,Alanine(aq),0.024835374992107973,alanine,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
ALA_INV_000001,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.0,0.0,ok,,ALA_INV_000001,M_25c207616ffd,Alanine(aq),0.024835374992107973,alanine,inventory_landscape,1.0,0.02,0.0,0.0,0.0,0.0
ALA_INV_000002,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9764035801464606,0.9802306425041186,1.0,ok,,ALA_INV_000002,M_25c207616ffd,Alanine(aq),0.0019101250072708353,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
ALA_INV_000002,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.01952807160292921,0.015650741350906095,0.02,ok,,ALA_INV_000002,M_25c207616ffd,Alanine(aq),0.0019101250072708353,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
ALA_INV_000002,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.0040683482506102524,4.9983278264211e-47,0.004166666666666667,ok,,ALA_INV_000002,M_25c207616ffd,Alanine(aq),0.0019101250072708353,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
ALA_INV_000002,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.004118616144975289,0.0,ok,,ALA_INV_000002,M_25c207616ffd,Alanine(aq),0.0019101250072708353,alanine,inventory_landscape,1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0
ALA_INV_000003,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9724473257698542,0.9800664451827241,1.0,ok,,ALA_INV_000003,M_25c207616ffd,Alanine(aq),0.0009425830066902563,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
ALA_INV_000003,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.019448946515397084,0.011627906976744186,0.02,ok,,ALA_INV_000003,M_25c207616ffd,Alanine(aq),0.0009425830066902563,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
ALA_INV_000003,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.008103727714748784,1.3571436105458056e-46,0.008333333333333333,ok,,ALA_INV_000003,M_25c207616ffd,Alanine(aq),0.0009425830066902563,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
ALA_INV_000003,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.008305647840531559,0.0,ok,,ALA_INV_000003,M_25c207616ffd,Alanine(aq),0.0009425830066902563,alanine,inventory_landscape,1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0
ALA_INV_000004,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9685230024213075,0.9798994974874372,1.0,ok,,ALA_INV_000004,M_25c207616ffd,Alanine(aq),0.0009216670005116612,alanine,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
ALA_INV_000004,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.01937046004842615,0.0075376884422110576,0.02,ok,,ALA_INV_000004,M_25c207616ffd,Alanine(aq),0.0009216670005116612,alanine,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
ALA_INV_000004,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.012106537530266345,3.167747487049486e-46,0.0125,ok,,ALA_INV_000004,M_25c207616ffd,Alanine(aq),0.0009216670005116612,alanine,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
ALA_INV_000004,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.01256281407035176,0.0,ok,,ALA_INV_000004,M_25c207616ffd,Alanine(aq),0.0009216670005116612,alanine,inventory_landscape,1.0,0.02,0.0125,0.0,0.625,0.0
ALA_INV_000005,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9646302250803859,0.9797297297297296,1.0,ok,,ALA_INV_000005,M_25c207616ffd,Alanine(aq),0.0008964589942479506,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
ALA_INV_000005,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.01929260450160772,0.003378378378378382,0.02,ok,,ALA_INV_000005,M_25c207616ffd,Alanine(aq),0.0008964589942479506,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
ALA_INV_000005,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,C2H2(aq),0.01607717041800643,9.506536457900036e-46,0.016666666666666666,ok,,ALA_INV_000005,M_25c207616ffd,Alanine(aq),0.0008964589942479506,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
ALA_INV_000005,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,Alanine(aq),0.0,0.016891891891891886,0.0,ok,,ALA_INV_000005,M_25c207616ffd,Alanine(aq),0.0008964589942479506,alanine,inventory_landscape,1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0
ALA_INV_000006,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,H2O(l),0.9607686148919136,0.9787595581988106,1.0,ok,,ALA_INV_000006,M_25c207616ffd,Alanine(aq),0.0009234579920303077,alanine,inventory_landscape,1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0
ALA_INV_000006,single_product_sensitivity,M_25c207616ffd.yaml,Alanine(aq),0.0,273.15,101325.0,HCN(aq),0.019215372297838273,4.572188045215525e-45,0.02,ok,,ALA_INV_000006,M_25c207616ffd,Alanine(aq),0.0009234579920303077,alanine,inventory_landscape,1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0
