case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ARG_INV_000001,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.0,0.0,0.0,0.0,0.0,101325.0,ARG_INV_000001,M_58b98f24a030,5917585d63f0a740
ARG_INV_000002,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0,0.0,101325.0,ARG_INV_000002,M_58b98f24a030,0c4c9ad48196e70c
ARG_INV_000003,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0,0.0,101325.0,ARG_INV_000003,M_58b98f24a030,a7d2ae245f3045a2
ARG_INV_000004,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.0125,0.0,0.625,0.0,0.0,101325.0,ARG_INV_000004,M_58b98f24a030,6ba9cd55061885a1
ARG_INV_000005,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0,0.0,101325.0,ARG_INV_000005,M_58b98f24a030,ff8dc85482d2f55a
ARG_INV_000006,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0,0.0,101325.0,ARG_INV_000006,M_58b98f24a030,b92e4c5d1199132d
ARG_INV_000007,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.025,0.0,1.25,0.0,0.0,101325.0,ARG_INV_000007,M_58b98f24a030,df45167073e4d382
ARG_INV_000008,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.02916666666666667,0.0,1.4583333333333335,0.0,0.0,101325.0,ARG_INV_000008,M_58b98f24a030,efe886f2a8e16f71
ARG_INV_000009,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.03333333333333333,0.0,1.6666666666666667,0.0,0.0,101325.0,ARG_INV_000009,M_58b98f24a030,b13d65bb80e5e57d
ARG_INV_000010,arginine,inventory_landscape,Arginine(aq),Arginine(aq),1.0,0.02,0.0375,0.0,1.875,0.0,0.0,101325.0,ARG_INV_000010,M_58b98f24a030,6b76e221e7773224
