case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ARG_DG_000001,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m200(aq),M_d1e729cbd51f,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004553291000775
ARG_DG_000002,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m160(aq),M_76b51f3c44c6,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044692919909721
ARG_DG_000003,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m120(aq),M_1d20c473ca84,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047024579980643
ARG_DG_000004,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m080(aq),M_2b60a948ccc1,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045406660065054
ARG_DG_000005,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_m040(aq),M_9176e9278e3f,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047876250027911
ARG_DG_000006,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_000(aq),M_d004f5f9d440,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044297080021351
ARG_DG_000007,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p040(aq),M_837873d9c3ce,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044661669962806
ARG_DG_000008,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p080(aq),M_55d67ea23f1f,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047576669894624
ARG_DG_000009,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p120(aq),M_529b3e75a6f1,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045070830092299
ARG_DG_000010,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p160(aq),M_b72d9a57c241,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045649999956367
ARG_DG_000011,arginine,deltaG_sweep,Arginine(aq),Arginine__dG_p200(aq),M_f72005ef8c75,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0047046249965205
ARG_INV_000001,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0053640830010408
ARG_INV_000002,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009959579911082
ARG_INV_000003,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009302500111516
ARG_INV_000004,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0011629580112639
ARG_INV_000005,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008789160056039
ARG_INV_000006,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008711670088814
ARG_INV_000007,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.025,1.25,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008534170046914
ARG_INV_000008,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008417079952778
ARG_INV_000009,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008779999916441
ARG_INV_000010,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0375,1.875,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009354159992653
ARG_INV_000011,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0416666666666666,2.083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0010336670093238
ARG_INV_000012,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0458333333333333,2.291666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009084579942282
ARG_INV_000013,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.05,2.5,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008711249975021
ARG_INV_000014,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0541666666666666,2.708333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008640409942017
ARG_INV_000015,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0583333333333333,2.916666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008455409988528
ARG_INV_000016,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0625,3.125,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008379579958273
ARG_INV_000017,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0666666666666666,3.333333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0010764999897219
ARG_INV_000018,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0708333333333333,3.541666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008575829997425
ARG_INV_000019,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.075,3.75,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008217910071834
ARG_INV_000020,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0791666666666666,3.9583333333333335,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.000852000011946
ARG_INV_000021,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0833333333333333,4.166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008340000058524
ARG_INV_000022,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0875,4.375,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008392079907935
ARG_INV_000023,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0916666666666666,4.583333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008314589940709
ARG_INV_000024,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.0958333333333333,4.791666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009675420005805
ARG_INV_000025,arginine,inventory_landscape,Arginine(aq),Arginine(aq),M_58b98f24a030,0.0,0.02,0.1,5.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008908749878173
