case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
ARG_INV_000001,ARG_INV_000001,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,5917585d63f0a740,ok,0.0053640830010408536,
ARG_INV_000002,ARG_INV_000002,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,0c4c9ad48196e70c,ok,0.0009959579911082983,
ARG_INV_000003,ARG_INV_000003,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,a7d2ae245f3045a2,ok,0.0009302500111516565,
ARG_INV_000004,ARG_INV_000004,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,6ba9cd55061885a1,ok,0.0011629580112639815,
ARG_INV_000005,ARG_INV_000005,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,ff8dc85482d2f55a,ok,0.0008789160056039691,
ARG_INV_000006,ARG_INV_000006,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,b92e4c5d1199132d,ok,0.0008711670088814571,
ARG_INV_000007,ARG_INV_000007,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,df45167073e4d382,ok,0.0008534170046914369,
ARG_INV_000008,ARG_INV_000008,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,efe886f2a8e16f71,ok,0.0008417079952778295,
ARG_INV_000009,ARG_INV_000009,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,b13d65bb80e5e57d,ok,0.0008779999916441739,
ARG_INV_000010,ARG_INV_000010,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,6b76e221e7773224,ok,0.0009354159992653877,
ARG_INV_000011,ARG_INV_000011,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,c311eaefa3061b7b,ok,0.0010336670093238354,
ARG_INV_000012,ARG_INV_000012,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,ab1c334a44d29e22,ok,0.0009084579942282289,
ARG_INV_000013,ARG_INV_000013,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,a8d742d637c237c7,ok,0.0008711249975021929,
ARG_INV_000014,ARG_INV_000014,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,42cfaf63f1be620e,ok,0.0008640409942017868,
ARG_INV_000015,ARG_INV_000015,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,74d1e9c792eb357a,ok,0.0008455409988528118,
ARG_INV_000016,ARG_INV_000016,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,55d83f22cab35c74,ok,0.0008379579958273098,
ARG_INV_000017,ARG_INV_000017,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,304dba7cdc40c4dd,ok,0.001076499989721924,
ARG_INV_000018,ARG_INV_000018,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,c19f18c77beceb8a,ok,0.0008575829997425899,
ARG_INV_000019,ARG_INV_000019,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,2db6d68b4e0f0b88,ok,0.0008217910071834922,
ARG_INV_000020,ARG_INV_000020,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,4c744365e3245935,ok,0.0008520000119460747,
ARG_INV_000021,ARG_INV_000021,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,2c76eb7fd764be2d,ok,0.0008340000058524311,
ARG_INV_000022,ARG_INV_000022,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,1d5d0bc9a582dcd3,ok,0.0008392079907935113,
ARG_INV_000023,ARG_INV_000023,M_58b98f24a030,models/M_58b98f24a030.yaml,Arginine(aq),Arginine(aq),0.0,101325.0,08f3a723c419874c,ok,0.0008314589940709993,
