case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ASP_DG_000001,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m200(aq),M_8c2f2490fa53,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0046299999958137
ASP_DG_000002,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m160(aq),M_82a85ae07985,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.00450858399563
ASP_DG_000003,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m120(aq),M_e4e053e5ba40,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0050620840047486
ASP_DG_000004,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m080(aq),M_d8f5dbd5fe13,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044785000063711
ASP_DG_000005,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_m040(aq),M_7b4502af506c,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044722500024363
ASP_DG_000006,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_000(aq),M_188f0e335dd0,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004614457997377
ASP_DG_000007,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p040(aq),M_edc9736db57f,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0044726250052917
ASP_DG_000008,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p080(aq),M_42268cdf9e22,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0049341250123688
ASP_DG_000009,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p120(aq),M_6a3284cfd345,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045632499968633
ASP_DG_000010,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p160(aq),M_ab1a251e40f1,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.004714958005934
ASP_DG_000011,asparagine,deltaG_sweep,Asparagine(aq),Asparagine__dG_p200(aq),M_95592f0f6ec2,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0049266249989159
ASP_INV_000001,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0053045829990878
ASP_INV_000002,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009563749918015
ASP_INV_000003,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008855839987518
ASP_INV_000004,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0013547919952543
ASP_INV_000005,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009065839985851
ASP_INV_000006,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008821660012472
ASP_INV_000007,asparagine,inventory_landscape,Asparagine(aq),Asparagine(aq),M_c354fc1b9c8e,0.0,0.02,0.025,1.25,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008992910006782
