case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
ASP_INV_000001,ASP_INV_000001,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,ea8388dd5c22dd6c,ok,0.005843582999659702,
ASP_INV_000002,ASP_INV_000002,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,15b9a144699f4f87,ok,0.0009605419909348711,
ASP_INV_000003,ASP_INV_000003,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,e5a679591b24521b,ok,0.0008835000044200569,
ASP_INV_000004,ASP_INV_000004,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,83a16e636a4925e3,ok,0.0008939590043155476,
ASP_INV_000005,ASP_INV_000005,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,c0a76366549bc322,ok,0.0008580829889979213,
ASP_INV_000006,ASP_INV_000006,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,ce6e6cc34a530d28,ok,0.00085479200060945,
ASP_INV_000007,ASP_INV_000007,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,3fc87609365dbf5c,ok,0.0010498329938855022,
ASP_INV_000008,ASP_INV_000008,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,57888bbed82f2bb1,ok,0.0008804160024737939,
ASP_INV_000009,ASP_INV_000009,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,437f60ebc1adcb3e,ok,0.0008695839933352545,
ASP_INV_000010,ASP_INV_000010,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,2d2bc9897836823d,ok,0.0009097080037463456,
ASP_INV_000011,ASP_INV_000011,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,6806f275d505ef8b,ok,0.0008891670004231855,
ASP_INV_000012,ASP_INV_000012,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,68fdba1c925bfad5,ok,0.0008535829983884469,
ASP_INV_000013,ASP_INV_000013,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,7553b2772bda2620,ok,0.000836124992929399,
ASP_INV_000014,ASP_INV_000014,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,c8d5df769c8849d6,ok,0.000963917002081871,
ASP_INV_000015,ASP_INV_000015,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,5da6bf0a70119d7f,ok,0.0008533330110367388,
ASP_INV_000016,ASP_INV_000016,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,67ab9ad98b9fbbd4,ok,0.0008465410064673051,
ASP_INV_000017,ASP_INV_000017,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,bb4ea71dae53562b,ok,0.0008469160093227401,
ASP_INV_000018,ASP_INV_000018,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,b711a00b485f9c81,ok,0.0008363750093849376,
ASP_INV_000019,ASP_INV_000019,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,655cb9f1e294f1a3,ok,0.0008435000054305419,
ASP_INV_000020,ASP_INV_000020,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,bf979418224b691b,ok,0.000854750003782101,
ASP_INV_000021,ASP_INV_000021,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,faaa421e3c294ff4,ok,0.0008417079952778295,
ASP_INV_000022,ASP_INV_000022,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,4320739150b35f61,ok,0.000908667003386654,
ASP_INV_000023,ASP_INV_000023,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,270f647a977bc6e7,ok,0.0008544160082237795,
ASP_INV_000024,ASP_INV_000024,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,d8de9cdaff1ce872,ok,0.0008464999991701916,
ASP_INV_000025,ASP_INV_000025,M_6af61cbef57b,models/M_6af61cbef57b.yaml,AsparticAcid(aq),AsparticAcid(aq),0.0,101325.0,7d764868f603cc9e,ok,0.0008370840077986941,
ASP_DG_000001,ASP_DG_000001,M_aa62807504ef,models/M_aa62807504ef.yaml,AsparticAcid(aq),AsparticAcid__dG_m200(aq),0.0,101325.0,f880b0850496bee8,ok,0.0044864579977001995,
ASP_DG_000002,ASP_DG_000002,M_14b3d9f882bb,models/M_14b3d9f882bb.yaml,AsparticAcid(aq),AsparticAcid__dG_m160(aq),0.0,101325.0,10ed55de5f369f5c,ok,0.004758292008773424,
ASP_DG_000003,ASP_DG_000003,M_1063b90802d3,models/M_1063b90802d3.yaml,AsparticAcid(aq),AsparticAcid__dG_m120(aq),0.0,101325.0,a557df867463deb1,ok,0.004653459007386118,
ASP_DG_000004,ASP_DG_000004,M_1dec64a15217,models/M_1dec64a15217.yaml,AsparticAcid(aq),AsparticAcid__dG_m080(aq),0.0,101325.0,4311ea7a90dfb63f,ok,0.004786749996128492,
ASP_DG_000005,ASP_DG_000005,M_cf89d0e8e894,models/M_cf89d0e8e894.yaml,AsparticAcid(aq),AsparticAcid__dG_m040(aq),0.0,101325.0,5a59aec59021dabc,ok,0.004615792000549845,
