case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
GLU_INV_000001,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.0,0.0,0.0,0.0,0.0,101325.0,GLU_INV_000001,M_31a821d98b00,6590a8425d926234
GLU_INV_000002,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0,0.0,101325.0,GLU_INV_000002,M_31a821d98b00,7564ff682d1dad70
GLU_INV_000003,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0,0.0,101325.0,GLU_INV_000003,M_31a821d98b00,1e021dc153e215fc
GLU_INV_000004,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.0125,0.0,0.625,0.0,0.0,101325.0,GLU_INV_000004,M_31a821d98b00,8e55e1057d6219e6
GLU_INV_000005,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0,0.0,101325.0,GLU_INV_000005,M_31a821d98b00,a05f1c987d768304
GLU_INV_000006,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0,0.0,101325.0,GLU_INV_000006,M_31a821d98b00,9c65a0cdae96b1a9
GLU_INV_000007,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.025,0.0,1.25,0.0,0.0,101325.0,GLU_INV_000007,M_31a821d98b00,92713ca3b05834af
GLU_INV_000008,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.02916666666666667,0.0,1.4583333333333335,0.0,0.0,101325.0,GLU_INV_000008,M_31a821d98b00,88fa508bb8147a86
GLU_INV_000009,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.03333333333333333,0.0,1.6666666666666667,0.0,0.0,101325.0,GLU_INV_000009,M_31a821d98b00,f1186e75250192c1
GLU_INV_000010,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.0375,0.0,1.875,0.0,0.0,101325.0,GLU_INV_000010,M_31a821d98b00,7cf8a38a581b0745
GLU_INV_000011,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.04166666666666667,0.0,2.0833333333333335,0.0,0.0,101325.0,GLU_INV_000011,M_31a821d98b00,bac9d060b39fc9f4
GLU_INV_000012,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.04583333333333334,0.0,2.291666666666667,0.0,0.0,101325.0,GLU_INV_000012,M_31a821d98b00,cabcf1bc9a48aa5d
GLU_INV_000013,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.05,0.0,2.5,0.0,0.0,101325.0,GLU_INV_000013,M_31a821d98b00,efaf40d87bef7868
GLU_INV_000014,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.05416666666666667,0.0,2.7083333333333335,0.0,0.0,101325.0,GLU_INV_000014,M_31a821d98b00,f5328d374b234c8b
GLU_INV_000015,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.05833333333333334,0.0,2.916666666666667,0.0,0.0,101325.0,GLU_INV_000015,M_31a821d98b00,747ea8a9ed467202
GLU_INV_000016,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.0625,0.0,3.125,0.0,0.0,101325.0,GLU_INV_000016,M_31a821d98b00,e3c2571c7e7ba95a
GLU_INV_000017,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.06666666666666667,0.0,3.3333333333333335,0.0,0.0,101325.0,GLU_INV_000017,M_31a821d98b00,32ff313b2b1744d0
GLU_INV_000018,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.07083333333333335,0.0,3.541666666666667,0.0,0.0,101325.0,GLU_INV_000018,M_31a821d98b00,d11599ac60aa40f0
GLU_INV_000019,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.075,0.0,3.75,0.0,0.0,101325.0,GLU_INV_000019,M_31a821d98b00,11be93be0ee92cdc
GLU_INV_000020,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.07916666666666668,0.0,3.9583333333333335,0.0,0.0,101325.0,GLU_INV_000020,M_31a821d98b00,883f0923666337cb
GLU_INV_000021,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.08333333333333334,0.0,4.166666666666667,0.0,0.0,101325.0,GLU_INV_000021,M_31a821d98b00,087786e35e59bf07
GLU_INV_000022,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.08750000000000001,0.0,4.375,0.0,0.0,101325.0,GLU_INV_000022,M_31a821d98b00,86e3e2631c9360cb
GLU_INV_000023,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.09166666666666667,0.0,4.583333333333334,0.0,0.0,101325.0,GLU_INV_000023,M_31a821d98b00,b44e01cf05295459
GLU_INV_000024,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.09583333333333334,0.0,4.791666666666667,0.0,0.0,101325.0,GLU_INV_000024,M_31a821d98b00,2e058f008cce6448
GLU_INV_000025,glutamicacid,inventory_landscape,GlutamicAcid(aq),GlutamicAcid(aq),1.0,0.02,0.1,0.0,5.0,0.0,0.0,101325.0,GLU_INV_000025,M_31a821d98b00,9490d38841e14703
GLU_DG_000001,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m200(aq),1.0,0.02,0.042,0.0,2.1,-200.0,0.0,101325.0,GLU_DG_000001,M_70a6c8e22371,7e6c7803463133e3
GLU_DG_000002,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m160(aq),1.0,0.02,0.042,0.0,2.1,-160.0,0.0,101325.0,GLU_DG_000002,M_3780cf991826,5b72083a4c39d4c3
GLU_DG_000003,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m120(aq),1.0,0.02,0.042,0.0,2.1,-120.0,0.0,101325.0,GLU_DG_000003,M_811376ff5945,a0d822f2c45c5a08
GLU_DG_000004,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m080(aq),1.0,0.02,0.042,0.0,2.1,-80.0,0.0,101325.0,GLU_DG_000004,M_8ee64ac99f91,09c29716fc054fff
GLU_DG_000005,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_m040(aq),1.0,0.02,0.042,0.0,2.1,-40.0,0.0,101325.0,GLU_DG_000005,M_19899125be23,31f6d15f446c7d02
GLU_DG_000006,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_000(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,GLU_DG_000006,M_09fa0120f07d,dfe34f14ae33bb6e
GLU_DG_000007,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p040(aq),1.0,0.02,0.042,0.0,2.1,40.0,0.0,101325.0,GLU_DG_000007,M_d95427c597eb,64b107c2d7b9f623
GLU_DG_000008,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p080(aq),1.0,0.02,0.042,0.0,2.1,80.0,0.0,101325.0,GLU_DG_000008,M_7de23c8ed6e8,df8e1915edf577b2
GLU_DG_000009,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p120(aq),1.0,0.02,0.042,0.0,2.1,120.0,0.0,101325.0,GLU_DG_000009,M_cb4a3b575cfd,d10efb9aafb9b824
GLU_DG_000010,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p160(aq),1.0,0.02,0.042,0.0,2.1,160.0,0.0,101325.0,GLU_DG_000010,M_1ddad49816ef,4b07911c7f6c3ee6
GLU_DG_000011,glutamicacid,deltaG_sweep,GlutamicAcid(aq),GlutamicAcid__dG_p200(aq),1.0,0.02,0.042,0.0,2.1,200.0,0.0,101325.0,GLU_DG_000011,M_06a4c136b2e8,8b7c396f19d91032
