case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
GLU_INV_000001,GLU_INV_000001,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,6590a8425d926234,ok,0.005345458994270302,
GLU_INV_000002,GLU_INV_000002,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,7564ff682d1dad70,ok,0.0009637909970479086,
GLU_INV_000003,GLU_INV_000003,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,1e021dc153e215fc,ok,0.0008903749985620379,
GLU_INV_000004,GLU_INV_000004,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,8e55e1057d6219e6,ok,0.0008827499987091869,
GLU_INV_000005,GLU_INV_000005,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,a05f1c987d768304,ok,0.0009919160074787214,
GLU_INV_000006,GLU_INV_000006,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,9c65a0cdae96b1a9,ok,0.0008653749973746017,
GLU_INV_000007,GLU_INV_000007,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,92713ca3b05834af,ok,0.0008475840004393831,
GLU_INV_000008,GLU_INV_000008,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,88fa508bb8147a86,ok,0.0008564589952584356,
GLU_INV_000009,GLU_INV_000009,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,f1186e75250192c1,ok,0.0008432499889750034,
GLU_INV_000010,GLU_INV_000010,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,7cf8a38a581b0745,ok,0.0008374169992748648,
GLU_INV_000011,GLU_INV_000011,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,bac9d060b39fc9f4,ok,0.0008523750002495944,
GLU_INV_000012,GLU_INV_000012,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,cabcf1bc9a48aa5d,ok,0.0008622919995104894,
GLU_INV_000013,GLU_INV_000013,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,efaf40d87bef7868,ok,0.001096082996809855,
GLU_INV_000014,GLU_INV_000014,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,f5328d374b234c8b,ok,0.0008970409980975091,
GLU_INV_000015,GLU_INV_000015,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,747ea8a9ed467202,ok,0.0008790840074652806,
GLU_INV_000016,GLU_INV_000016,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,e3c2571c7e7ba95a,ok,0.0008669169910717756,
GLU_INV_000017,GLU_INV_000017,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,32ff313b2b1744d0,ok,0.0008701249898876995,
GLU_INV_000018,GLU_INV_000018,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,d11599ac60aa40f0,ok,0.0008518749964423478,
GLU_INV_000019,GLU_INV_000019,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,11be93be0ee92cdc,ok,0.0008570420031901449,
GLU_INV_000020,GLU_INV_000020,M_31a821d98b00,models/M_31a821d98b00.yaml,GlutamicAcid(aq),GlutamicAcid(aq),0.0,101325.0,883f0923666337cb,ok,0.0009084579942282289,
