study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m200(aq),M_941c33478081,0.0,101325.0,0.0045147500059101,1.0,0.02,0.042,0.0,2.1,-200.0,GLY_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m160(aq),M_6aa5c8f8b581,0.0,101325.0,0.0049722919939085,1.0,0.02,0.042,0.0,2.1,-160.0,GLY_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m120(aq),M_1c6233b310ac,0.0,101325.0,0.0045786670089,1.0,0.02,0.042,0.0,2.1,-120.0,GLY_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m080(aq),M_59889c0c0415,0.0,101325.0,0.0045712919963989,1.0,0.02,0.042,0.0,2.1,-80.0,GLY_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_m040(aq),M_7ad1c218c125,0.0,101325.0,0.0046082909975666,1.0,0.02,0.042,0.0,2.1,-40.0,GLY_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_000(aq),M_a93047354a8f,0.0,101325.0,0.0044513749890029,1.0,0.02,0.042,0.0,2.1,0.0,GLY_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p040(aq),M_1404202326c6,0.0,101325.0,0.0049896249984158,1.0,0.02,0.042,0.0,2.1,40.0,GLY_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p080(aq),M_c734cb64f667,0.0,101325.0,0.0045979999995324,1.0,0.02,0.042,0.0,2.1,80.0,GLY_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p120(aq),M_43695fe267df,0.0,101325.0,0.0045274579897522,1.0,0.02,0.042,0.0,2.1,120.0,GLY_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
glycine,deltaG_sweep,Glycine(aq),Glycine__dG_p160(aq),M_09570386979c,0.0,101325.0,0.0048852079926291,1.0,0.02,0.042,0.0,2.1,160.0,GLY_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
