case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
HIS_INV_000001,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0,0.0,0.0,0.0,0.0,101325.0,HIS_INV_000001,M_b113d255bb9d,e7eea0705177dc50
HIS_INV_000002,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0,0.0,101325.0,HIS_INV_000002,M_b113d255bb9d,7eca404b0ff1506c
HIS_INV_000003,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0,0.0,101325.0,HIS_INV_000003,M_b113d255bb9d,6a24af1f5f6c4eb2
HIS_INV_000004,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0125,0.0,0.625,0.0,0.0,101325.0,HIS_INV_000004,M_b113d255bb9d,058069ef265f6081
HIS_INV_000005,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0,0.0,101325.0,HIS_INV_000005,M_b113d255bb9d,5546835282c2393a
HIS_INV_000006,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0,0.0,101325.0,HIS_INV_000006,M_b113d255bb9d,0d18d09d0accdc3c
HIS_INV_000007,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.025,0.0,1.25,0.0,0.0,101325.0,HIS_INV_000007,M_b113d255bb9d,919c28f11323cf00
HIS_INV_000008,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.02916666666666667,0.0,1.4583333333333335,0.0,0.0,101325.0,HIS_INV_000008,M_b113d255bb9d,cfdeada9c5a967cf
HIS_INV_000009,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.03333333333333333,0.0,1.6666666666666667,0.0,0.0,101325.0,HIS_INV_000009,M_b113d255bb9d,1eb2e39ac3d7fefe
HIS_INV_000010,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0375,0.0,1.875,0.0,0.0,101325.0,HIS_INV_000010,M_b113d255bb9d,ad0ca9b83ea51eb5
HIS_INV_000011,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.04166666666666667,0.0,2.0833333333333335,0.0,0.0,101325.0,HIS_INV_000011,M_b113d255bb9d,3346d3f537b79ef2
HIS_INV_000012,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.04583333333333334,0.0,2.291666666666667,0.0,0.0,101325.0,HIS_INV_000012,M_b113d255bb9d,1271d5be072ad942
HIS_INV_000013,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.05,0.0,2.5,0.0,0.0,101325.0,HIS_INV_000013,M_b113d255bb9d,cdae35c823e9b0c1
HIS_INV_000014,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.05416666666666667,0.0,2.7083333333333335,0.0,0.0,101325.0,HIS_INV_000014,M_b113d255bb9d,a88101593f2db066
HIS_INV_000015,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.05833333333333334,0.0,2.916666666666667,0.0,0.0,101325.0,HIS_INV_000015,M_b113d255bb9d,5cf876ce36012f53
HIS_INV_000016,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.0625,0.0,3.125,0.0,0.0,101325.0,HIS_INV_000016,M_b113d255bb9d,82c327d47bb86d48
HIS_INV_000017,histidine,inventory_landscape,Histidine(aq),Histidine(aq),1.0,0.02,0.06666666666666667,0.0,3.3333333333333335,0.0,0.0,101325.0,HIS_INV_000017,M_b113d255bb9d,8c6a461186cde2af
