study_id,substudy_id,target_product,target_variant,model_id,T_C,P_Pa,runtime_seconds,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,case_id,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,error_message,element_balance_relative_spread,suspect_balance
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m200(aq),M_6387c2527f93,0.0,101325.0,0.0046366659953491,1.0,0.02,0.042,0.0,2.1,-200.0,HIS_DG_000001,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m160(aq),M_6e35453e2641,0.0,101325.0,0.0047457079926971,1.0,0.02,0.042,0.0,2.1,-160.0,HIS_DG_000002,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m120(aq),M_b928fb036b92,0.0,101325.0,0.0048996659897966,1.0,0.02,0.042,0.0,2.1,-120.0,HIS_DG_000003,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m080(aq),M_3cf40f04aa7d,0.0,101325.0,0.0049647080013528,1.0,0.02,0.042,0.0,2.1,-80.0,HIS_DG_000004,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_m040(aq),M_384ef57a2c08,0.0,101325.0,0.0047602499980712,1.0,0.02,0.042,0.0,2.1,-40.0,HIS_DG_000005,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_000(aq),M_b523a2c99228,0.0,101325.0,0.0047276249970309,1.0,0.02,0.042,0.0,2.1,0.0,HIS_DG_000006,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p040(aq),M_c509c6a73671,0.0,101325.0,0.0050237500108778,1.0,0.02,0.042,0.0,2.1,40.0,HIS_DG_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p080(aq),M_76aefa92e69c,0.0,101325.0,0.0045994589891051,1.0,0.02,0.042,0.0,2.1,80.0,HIS_DG_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p120(aq),M_f4c393140d0e,0.0,101325.0,0.0049812080105766,1.0,0.02,0.042,0.0,2.1,120.0,HIS_DG_000009,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p160(aq),M_622b79fabd9c,0.0,101325.0,0.0047207919997163,1.0,0.02,0.042,0.0,2.1,160.0,HIS_DG_000010,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,deltaG_sweep,Histidine(aq),Histidine__dG_p200(aq),M_adc129284044,0.0,101325.0,0.0046143340005073,1.0,0.02,0.042,0.0,2.1,200.0,HIS_DG_000011,0.0,,0.0,,False,below_threshold,ok,nan,2.718060135617141e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0058141250046901,1.0,0.02,0.0,0.0,0.0,0.0,HIS_INV_000001,0.0,,0.0,,False,below_threshold,ok,nan,0.0,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0010506249964237,1.0,0.02,0.0041666666666666,0.0,0.2083333333333333,0.0,HIS_INV_000002,0.0,,0.0,,False,below_threshold,ok,nan,1.0840257360050348e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0009271250019082,1.0,0.02,0.0083333333333333,0.0,0.4166666666666667,0.0,HIS_INV_000003,0.0,,0.0,,False,below_threshold,ok,nan,5.18224037426328e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0009015000105137,1.0,0.02,0.0125,0.0,0.625,0.0,HIS_INV_000004,0.0,,0.0,,False,below_threshold,ok,nan,3.2258296115016613e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0008754169975873,1.0,0.02,0.0166666666666666,0.0,0.8333333333333334,0.0,HIS_INV_000005,0.0,,0.0,,False,below_threshold,ok,nan,1.4993365605870281e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0008792089938651,1.0,0.02,0.0208333333333333,0.0,1.0416666666666667,0.0,HIS_INV_000006,0.0,,0.0,,False,below_threshold,ok,nan,3.8400027753248004e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0011253749980824,1.0,0.02,0.025,0.0,1.25,0.0,HIS_INV_000007,0.0,,0.0,,False,below_threshold,ok,nan,2.3373116307898003e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0011360829957993,1.0,0.02,0.0291666666666666,0.0,1.4583333333333337,0.0,HIS_INV_000008,0.0,,0.0,,False,below_threshold,ok,nan,2.9629462769980332e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0009105000062845,1.0,0.02,0.0333333333333333,0.0,1.6666666666666667,0.0,HIS_INV_000009,0.0,,0.0,,False,below_threshold,ok,nan,8.432073604748025e-16,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.000879667000845,1.0,0.02,0.0375,0.0,1.875,0.0,HIS_INV_000010,0.0,,0.0,,False,below_threshold,ok,nan,1.4697988032862584e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0009485409973422,1.0,0.02,0.0416666666666666,0.0,2.083333333333333,0.0,HIS_INV_000011,0.0,,0.0,,False,below_threshold,ok,nan,3.555502308061724e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0008883339905878,1.0,0.02,0.0458333333333333,0.0,2.291666666666667,0.0,HIS_INV_000012,0.0,,0.0,,False,below_threshold,ok,nan,4.7915802157395315e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0008576669933972,1.0,0.02,0.05,0.0,2.5,0.0,HIS_INV_000013,0.0,,0.0,,False,below_threshold,ok,nan,1.452628256518896e-15,False
histidine,inventory_landscape,Histidine(aq),Histidine(aq),M_b113d255bb9d,0.0,101325.0,0.0010202080011367,1.0,0.02,0.0541666666666666,0.0,2.708333333333333,0.0,HIS_INV_000014,0.0,,0.0,,False,below_threshold,ok,nan,1.8604202740033653e-15,False
