case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
HIS_INV_000001,HIS_INV_000001,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,e7eea0705177dc50,ok,0.0058141250046901405,
HIS_INV_000002,HIS_INV_000002,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,7eca404b0ff1506c,ok,0.0010506249964237213,
HIS_INV_000003,HIS_INV_000003,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,6a24af1f5f6c4eb2,ok,0.00092712500190828,
HIS_INV_000004,HIS_INV_000004,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,058069ef265f6081,ok,0.0009015000105137005,
HIS_INV_000005,HIS_INV_000005,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,5546835282c2393a,ok,0.0008754169975873083,
HIS_INV_000006,HIS_INV_000006,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,0d18d09d0accdc3c,ok,0.000879208993865177,
HIS_INV_000007,HIS_INV_000007,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,919c28f11323cf00,ok,0.0011253749980824068,
HIS_INV_000008,HIS_INV_000008,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,cfdeada9c5a967cf,ok,0.0011360829957993701,
HIS_INV_000009,HIS_INV_000009,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,1eb2e39ac3d7fefe,ok,0.0009105000062845647,
HIS_INV_000010,HIS_INV_000010,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,ad0ca9b83ea51eb5,ok,0.0008796670008450747,
HIS_INV_000011,HIS_INV_000011,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,3346d3f537b79ef2,ok,0.0009485409973422065,
HIS_INV_000012,HIS_INV_000012,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,1271d5be072ad942,ok,0.0008883339905878529,
HIS_INV_000013,HIS_INV_000013,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,cdae35c823e9b0c1,ok,0.000857666993397288,
HIS_INV_000014,HIS_INV_000014,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,a88101593f2db066,ok,0.0010202080011367798,
HIS_INV_000015,HIS_INV_000015,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,5cf876ce36012f53,ok,0.000929834000999108,
HIS_INV_000016,HIS_INV_000016,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,82c327d47bb86d48,ok,0.0008705000072950497,
HIS_INV_000017,HIS_INV_000017,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,8c6a461186cde2af,ok,0.000862916000187397,
HIS_INV_000018,HIS_INV_000018,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,e019f315f2896c02,ok,0.0008484169957228005,
HIS_INV_000019,HIS_INV_000019,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,beece3e35441d2ae,ok,0.0008425840060226619,
HIS_INV_000020,HIS_INV_000020,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,a2a094571e0e49b5,ok,0.0008450830064248294,
HIS_INV_000021,HIS_INV_000021,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,5733a1d523f1a30b,ok,0.0008501669944962487,
HIS_INV_000022,HIS_INV_000022,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,86172c59fdce90c2,ok,0.0009517079888610169,
HIS_INV_000023,HIS_INV_000023,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,aa048fc3aac2ca56,ok,0.000880290986970067,
HIS_INV_000024,HIS_INV_000024,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,b2ff59a895def327,ok,0.0008710830006748438,
HIS_INV_000025,HIS_INV_000025,M_b113d255bb9d,models/M_b113d255bb9d.yaml,Histidine(aq),Histidine(aq),0.0,101325.0,ebc8998e82a441d7,ok,0.0008642079919809476,
HIS_DG_000001,HIS_DG_000001,M_6387c2527f93,models/M_6387c2527f93.yaml,Histidine(aq),Histidine__dG_m200(aq),0.0,101325.0,849547662316f2cd,ok,0.004636665995349176,
HIS_DG_000002,HIS_DG_000002,M_6e35453e2641,models/M_6e35453e2641.yaml,Histidine(aq),Histidine__dG_m160(aq),0.0,101325.0,54088337109a02c8,ok,0.004745707992697135,
HIS_DG_000003,HIS_DG_000003,M_b928fb036b92,models/M_b928fb036b92.yaml,Histidine(aq),Histidine__dG_m120(aq),0.0,101325.0,a13fd6147b702a5a,ok,0.004899665989796631,
HIS_DG_000004,HIS_DG_000004,M_3cf40f04aa7d,models/M_3cf40f04aa7d.yaml,Histidine(aq),Histidine__dG_m080(aq),0.0,101325.0,6b798bb0b27fce41,ok,0.004964708001352847,
HIS_DG_000005,HIS_DG_000005,M_384ef57a2c08,models/M_384ef57a2c08.yaml,Histidine(aq),Histidine__dG_m040(aq),0.0,101325.0,36c9db3fe976e441,ok,0.004760249998071231,
