case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
ISO_INV_000001,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0,0.0,0.0,0.0,0.0,101325.0,ISO_INV_000001,M_d10749d93c61,6087dcef363e3630
ISO_INV_000002,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0,0.0,101325.0,ISO_INV_000002,M_d10749d93c61,37de8ec47505de38
ISO_INV_000003,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0,0.0,101325.0,ISO_INV_000003,M_d10749d93c61,a78d5674e8b30457
ISO_INV_000004,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0125,0.0,0.625,0.0,0.0,101325.0,ISO_INV_000004,M_d10749d93c61,0c3b040f657d4d9c
ISO_INV_000005,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0,0.0,101325.0,ISO_INV_000005,M_d10749d93c61,e07d472dda22b590
ISO_INV_000006,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0,0.0,101325.0,ISO_INV_000006,M_d10749d93c61,82c5edd6f5517dad
ISO_INV_000007,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.025,0.0,1.25,0.0,0.0,101325.0,ISO_INV_000007,M_d10749d93c61,8dbcd243e2ae86e3
ISO_INV_000008,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.02916666666666667,0.0,1.4583333333333335,0.0,0.0,101325.0,ISO_INV_000008,M_d10749d93c61,55b69827d0571971
ISO_INV_000009,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.03333333333333333,0.0,1.6666666666666667,0.0,0.0,101325.0,ISO_INV_000009,M_d10749d93c61,623fe74889e8cf93
ISO_INV_000010,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0375,0.0,1.875,0.0,0.0,101325.0,ISO_INV_000010,M_d10749d93c61,13e4613db0d96e8a
ISO_INV_000011,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.04166666666666667,0.0,2.0833333333333335,0.0,0.0,101325.0,ISO_INV_000011,M_d10749d93c61,3dcacc2bf0b0d4cf
ISO_INV_000012,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.04583333333333334,0.0,2.291666666666667,0.0,0.0,101325.0,ISO_INV_000012,M_d10749d93c61,ecdea205aad22f16
ISO_INV_000013,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.05,0.0,2.5,0.0,0.0,101325.0,ISO_INV_000013,M_d10749d93c61,1a853cf7d58e5760
ISO_INV_000014,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.05416666666666667,0.0,2.7083333333333335,0.0,0.0,101325.0,ISO_INV_000014,M_d10749d93c61,f408c7caa0e13a26
ISO_INV_000015,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.05833333333333334,0.0,2.916666666666667,0.0,0.0,101325.0,ISO_INV_000015,M_d10749d93c61,4e0a20fb94c7527c
ISO_INV_000016,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.0625,0.0,3.125,0.0,0.0,101325.0,ISO_INV_000016,M_d10749d93c61,2da426613a30c265
ISO_INV_000017,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.06666666666666667,0.0,3.3333333333333335,0.0,0.0,101325.0,ISO_INV_000017,M_d10749d93c61,50f2dd0982823958
ISO_INV_000018,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.07083333333333335,0.0,3.541666666666667,0.0,0.0,101325.0,ISO_INV_000018,M_d10749d93c61,f11e697b9907ba5d
ISO_INV_000019,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.075,0.0,3.75,0.0,0.0,101325.0,ISO_INV_000019,M_d10749d93c61,39f7a7c65c218ec7
ISO_INV_000020,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.07916666666666668,0.0,3.9583333333333335,0.0,0.0,101325.0,ISO_INV_000020,M_d10749d93c61,5b295d0b8df3f368
ISO_INV_000021,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.08333333333333334,0.0,4.166666666666667,0.0,0.0,101325.0,ISO_INV_000021,M_d10749d93c61,c81d2e4d15a50630
ISO_INV_000022,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.08750000000000001,0.0,4.375,0.0,0.0,101325.0,ISO_INV_000022,M_d10749d93c61,47fc977e1ea16d22
ISO_INV_000023,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.09166666666666667,0.0,4.583333333333334,0.0,0.0,101325.0,ISO_INV_000023,M_d10749d93c61,67928d02c59f3eca
ISO_INV_000024,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.09583333333333334,0.0,4.791666666666667,0.0,0.0,101325.0,ISO_INV_000024,M_d10749d93c61,52afbfda4d7fdae1
ISO_INV_000025,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),1.0,0.02,0.1,0.0,5.0,0.0,0.0,101325.0,ISO_INV_000025,M_d10749d93c61,b518f71ac1e012a6
ISO_DG_000001,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m200(aq),1.0,0.02,0.042,0.0,2.1,-200.0,0.0,101325.0,ISO_DG_000001,M_94833c315665,e5540495849b5a33
ISO_DG_000002,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m160(aq),1.0,0.02,0.042,0.0,2.1,-160.0,0.0,101325.0,ISO_DG_000002,M_bec6fc80b6e7,69fc534c21797ba3
ISO_DG_000003,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m120(aq),1.0,0.02,0.042,0.0,2.1,-120.0,0.0,101325.0,ISO_DG_000003,M_f9467c700dd1,9caa1178aa1b2908
ISO_DG_000004,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m080(aq),1.0,0.02,0.042,0.0,2.1,-80.0,0.0,101325.0,ISO_DG_000004,M_654a3ce1800f,af06b02958d6b009
ISO_DG_000005,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m040(aq),1.0,0.02,0.042,0.0,2.1,-40.0,0.0,101325.0,ISO_DG_000005,M_c196dee483e1,47b7d5474f968a76
ISO_DG_000006,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_000(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,ISO_DG_000006,M_4242b6c93a22,7c0d85de59cbf4a3
