case_id,study_id,substudy_id,target_product,target_variant,model_id,NH3_mol,HCN_mol,C2H2_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,X_eq,log10_X_eq,n_eq_mol,log10_n_eq_mol,formed_bool,formation_call,solver_status,runtime_seconds
ISO_DG_000001,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m200(aq),M_94833c315665,0.0,0.02,0.042,2.1,-200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0046132499992381
ISO_DG_000002,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m160(aq),M_bec6fc80b6e7,0.0,0.02,0.042,2.1,-160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045737500040559
ISO_DG_000003,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m120(aq),M_f9467c700dd1,0.0,0.02,0.042,2.1,-120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048680000036256
ISO_DG_000004,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m080(aq),M_654a3ce1800f,0.0,0.02,0.042,2.1,-80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045787499984726
ISO_DG_000005,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_m040(aq),M_c196dee483e1,0.0,0.02,0.042,2.1,-40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045738749904558
ISO_DG_000006,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_000(aq),M_4242b6c93a22,0.0,0.02,0.042,2.1,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0048870840109884
ISO_DG_000007,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p040(aq),M_846a3e625d8b,0.0,0.02,0.042,2.1,40.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0046002079907339
ISO_DG_000008,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p080(aq),M_1bd956b20d01,0.0,0.02,0.042,2.1,80.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045255830045789
ISO_DG_000009,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p120(aq),M_c324085c6c4b,0.0,0.02,0.042,2.1,120.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0046671250020153
ISO_DG_000010,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p160(aq),M_8bcded5611dd,0.0,0.02,0.042,2.1,160.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0045339160133153
ISO_DG_000011,isoleucine,deltaG_sweep,Isoleucine(aq),Isoleucine__dG_p200(aq),M_fc374e8cae1c,0.0,0.02,0.042,2.1,200.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0049776250089053
ISO_INV_000001,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0,0.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0054790830035926
ISO_INV_000002,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0041666666666666,0.2083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0010081670043291
ISO_INV_000003,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0083333333333333,0.4166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.000909791997401
ISO_INV_000004,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0125,0.625,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008841670060064
ISO_INV_000005,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0166666666666666,0.8333333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0013339580036699
ISO_INV_000006,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0208333333333333,1.0416666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009571249975124
ISO_INV_000007,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.025,1.25,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008879579982021
ISO_INV_000008,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0291666666666666,1.4583333333333337,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008977079996839
ISO_INV_000009,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0333333333333333,1.6666666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.000894208002137
ISO_INV_000010,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0375,1.875,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008473749912809
ISO_INV_000011,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0416666666666666,2.083333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0010483750083949
ISO_INV_000012,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0458333333333333,2.291666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009794579964363
ISO_INV_000013,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.05,2.5,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008547500037821
ISO_INV_000014,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0541666666666666,2.708333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009302499965997
ISO_INV_000015,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0583333333333333,2.916666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009112909901887
ISO_INV_000016,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0625,3.125,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009287090069847
ISO_INV_000017,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0666666666666666,3.333333333333333,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008647079957881
ISO_INV_000018,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0708333333333333,3.541666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008547080069547
ISO_INV_000019,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.075,3.75,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0009544170025037
ISO_INV_000020,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0791666666666666,3.9583333333333335,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008468330051982
ISO_INV_000021,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0833333333333333,4.166666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008577499975217
ISO_INV_000022,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0875,4.375,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008754580048844
ISO_INV_000023,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0916666666666666,4.583333333333334,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008787080005276
ISO_INV_000024,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.0958333333333333,4.791666666666667,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008475419890601
ISO_INV_000025,isoleucine,inventory_landscape,Isoleucine(aq),Isoleucine(aq),M_d10749d93c61,0.0,0.02,0.1,5.0,0.0,0.0,101325.0,0.0,,0.0,,False,below_threshold,ok,0.0008431659953203
