case_id,scenario_id,model_id,yaml_path,target_product,target_variant,T_C,P_Pa,case_hash,status,runtime_seconds,error_message
LEU_INV_000001,LEU_INV_000001,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,308633194cb83ba2,ok,0.005257541008177213,
LEU_INV_000002,LEU_INV_000002,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,4584c6c5408fe638,ok,0.0010309999925084412,
LEU_INV_000003,LEU_INV_000003,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,03f219cb883b95e6,ok,0.0008882910042302683,
LEU_INV_000004,LEU_INV_000004,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,c4570e36291b8e86,ok,0.0008892500045476481,
LEU_INV_000005,LEU_INV_000005,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,d84ed05bc5986410,ok,0.0012427080073393881,
LEU_INV_000006,LEU_INV_000006,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,84bee8cbbcb4df2a,ok,0.0010022080095950514,
LEU_INV_000007,LEU_INV_000007,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,883ca88d5a7b5d90,ok,0.0009485829941695556,
LEU_INV_000008,LEU_INV_000008,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,b609d62f67a12d45,ok,0.0008673340053064749,
LEU_INV_000009,LEU_INV_000009,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,d6738b4ff1b201aa,ok,0.0008597080013714731,
LEU_INV_000010,LEU_INV_000010,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,a617bd5811c5f082,ok,0.0008484169957228005,
LEU_INV_000011,LEU_INV_000011,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,b141da753bf67e5c,ok,0.0008632079989183694,
LEU_INV_000012,LEU_INV_000012,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,14b5f90df7ee29b9,ok,0.0009809170005610213,
LEU_INV_000013,LEU_INV_000013,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,00e798529b311249,ok,0.0008729580004001036,
LEU_INV_000014,LEU_INV_000014,M_2a835c89809e,models/M_2a835c89809e.yaml,Leucine(aq),Leucine(aq),0.0,101325.0,2493e1378ef847f7,ok,0.0008698750025359914,
