case_id,study_id,substudy_id,target_product,target_variant,H2O_mol,HCN_mol,C2H2_mol,NH3_mol,C2H2_over_HCN,deltaG_offset_kJ_mol,T_C,P_Pa,scenario_id,model_id,case_hash
LYS_INV_000001,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0,0.0,0.0,0.0,0.0,101325.0,LYS_INV_000001,M_730bb12e01ab,924bc12f45b7a6ca
LYS_INV_000002,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.004166666666666667,0.0,0.20833333333333334,0.0,0.0,101325.0,LYS_INV_000002,M_730bb12e01ab,140d237e07032970
LYS_INV_000003,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.008333333333333333,0.0,0.4166666666666667,0.0,0.0,101325.0,LYS_INV_000003,M_730bb12e01ab,12c43f808a396707
LYS_INV_000004,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0125,0.0,0.625,0.0,0.0,101325.0,LYS_INV_000004,M_730bb12e01ab,f2b558167824d2a8
LYS_INV_000005,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.016666666666666666,0.0,0.8333333333333334,0.0,0.0,101325.0,LYS_INV_000005,M_730bb12e01ab,e44caaf889f0002a
LYS_INV_000006,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.020833333333333336,0.0,1.0416666666666667,0.0,0.0,101325.0,LYS_INV_000006,M_730bb12e01ab,4f494cc5febcc763
LYS_INV_000007,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.025,0.0,1.25,0.0,0.0,101325.0,LYS_INV_000007,M_730bb12e01ab,7f22e8fe65aa72c1
LYS_INV_000008,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.02916666666666667,0.0,1.4583333333333335,0.0,0.0,101325.0,LYS_INV_000008,M_730bb12e01ab,8c889023c25f159e
LYS_INV_000009,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.03333333333333333,0.0,1.6666666666666667,0.0,0.0,101325.0,LYS_INV_000009,M_730bb12e01ab,e8b98236115d39d3
LYS_INV_000010,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0375,0.0,1.875,0.0,0.0,101325.0,LYS_INV_000010,M_730bb12e01ab,410a61e5fb7be4f6
LYS_INV_000011,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.04166666666666667,0.0,2.0833333333333335,0.0,0.0,101325.0,LYS_INV_000011,M_730bb12e01ab,a40cd00f21270515
LYS_INV_000012,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.04583333333333334,0.0,2.291666666666667,0.0,0.0,101325.0,LYS_INV_000012,M_730bb12e01ab,1bc4367a46a9f83a
LYS_INV_000013,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.05,0.0,2.5,0.0,0.0,101325.0,LYS_INV_000013,M_730bb12e01ab,eea41f3b712ef8eb
LYS_INV_000014,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.05416666666666667,0.0,2.7083333333333335,0.0,0.0,101325.0,LYS_INV_000014,M_730bb12e01ab,e246e379c3e1e862
LYS_INV_000015,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.05833333333333334,0.0,2.916666666666667,0.0,0.0,101325.0,LYS_INV_000015,M_730bb12e01ab,25df0335cd61530b
LYS_INV_000016,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.0625,0.0,3.125,0.0,0.0,101325.0,LYS_INV_000016,M_730bb12e01ab,8e15393834362f5b
LYS_INV_000017,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.06666666666666667,0.0,3.3333333333333335,0.0,0.0,101325.0,LYS_INV_000017,M_730bb12e01ab,71f2bc3f38cdb877
LYS_INV_000018,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.07083333333333335,0.0,3.541666666666667,0.0,0.0,101325.0,LYS_INV_000018,M_730bb12e01ab,3631f71f29cf8c2a
LYS_INV_000019,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.075,0.0,3.75,0.0,0.0,101325.0,LYS_INV_000019,M_730bb12e01ab,c125d1f1e6921f66
LYS_INV_000020,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.07916666666666668,0.0,3.9583333333333335,0.0,0.0,101325.0,LYS_INV_000020,M_730bb12e01ab,53029792c89e91c1
LYS_INV_000021,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.08333333333333334,0.0,4.166666666666667,0.0,0.0,101325.0,LYS_INV_000021,M_730bb12e01ab,8da0ced047dcce92
LYS_INV_000022,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.08750000000000001,0.0,4.375,0.0,0.0,101325.0,LYS_INV_000022,M_730bb12e01ab,b467a01bbf6281b3
LYS_INV_000023,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.09166666666666667,0.0,4.583333333333334,0.0,0.0,101325.0,LYS_INV_000023,M_730bb12e01ab,e9254b42139a0f6c
LYS_INV_000024,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.09583333333333334,0.0,4.791666666666667,0.0,0.0,101325.0,LYS_INV_000024,M_730bb12e01ab,1d43a36e95e8611e
LYS_INV_000025,lysine,inventory_landscape,Lysine(aq),Lysine(aq),1.0,0.02,0.1,0.0,5.0,0.0,0.0,101325.0,LYS_INV_000025,M_730bb12e01ab,96eb886aa55db893
LYS_DG_000001,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m200(aq),1.0,0.02,0.042,0.0,2.1,-200.0,0.0,101325.0,LYS_DG_000001,M_27d21f8fc956,cbea40c5c58c77ab
LYS_DG_000002,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m160(aq),1.0,0.02,0.042,0.0,2.1,-160.0,0.0,101325.0,LYS_DG_000002,M_c8e32c6be7ad,af90e471eeb345f5
LYS_DG_000003,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m120(aq),1.0,0.02,0.042,0.0,2.1,-120.0,0.0,101325.0,LYS_DG_000003,M_7feae772d5cf,50299af7fce19634
LYS_DG_000004,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m080(aq),1.0,0.02,0.042,0.0,2.1,-80.0,0.0,101325.0,LYS_DG_000004,M_0ae6e4caf8d4,9470d9caf07d06e7
LYS_DG_000005,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_m040(aq),1.0,0.02,0.042,0.0,2.1,-40.0,0.0,101325.0,LYS_DG_000005,M_c873ea435fcc,38d2c0b2c44d1345
LYS_DG_000006,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_000(aq),1.0,0.02,0.042,0.0,2.1,0.0,0.0,101325.0,LYS_DG_000006,M_01e4d0d684eb,941b9153e935ada3
LYS_DG_000007,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p040(aq),1.0,0.02,0.042,0.0,2.1,40.0,0.0,101325.0,LYS_DG_000007,M_bff3d5d0aaa9,91e353698d266e41
LYS_DG_000008,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p080(aq),1.0,0.02,0.042,0.0,2.1,80.0,0.0,101325.0,LYS_DG_000008,M_f88afb06b490,5a1a05df20aa258f
LYS_DG_000009,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p120(aq),1.0,0.02,0.042,0.0,2.1,120.0,0.0,101325.0,LYS_DG_000009,M_3d3519a3d7d0,7ee7b1f7770dcb82
LYS_DG_000010,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p160(aq),1.0,0.02,0.042,0.0,2.1,160.0,0.0,101325.0,LYS_DG_000010,M_aa42e7938809,ef6919d9cd64c5b2
LYS_DG_000011,lysine,deltaG_sweep,Lysine(aq),Lysine__dG_p200(aq),1.0,0.02,0.042,0.0,2.1,200.0,0.0,101325.0,LYS_DG_000011,M_99cffa65d1dd,04d3200a1f17059d
